MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x0A\x08リュール\n¿Jean? ¿Es que no te dan verdura\nen la cafetería?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リュール\nJean... Eso es tan bonito...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06ジャン\n¡¿Eh?! ¡¿Está llorando?!\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リュール\nLos testimonios sobre familias felices\nme llegan al corazón...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06ジャン\nGracias, Divinidad.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06ジャン\nTome este emplasto. Viene bien\npara la inflamación alrededor de los ojos.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リュール\nGracias, Jean. Es justo lo que necesitaba.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x0A\x08リュール\nTe he traído una cosa, Jean.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06ジャン\n¿Hierbas medicinales? ¡Oh! ¡Cuántas!\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08リュール\nHe encontrado un sitio donde abundan\nen el bosque y he recogido las que he podido.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06ジャン\nGuau... Muchas gracias. Esto les va a venir\nde maravilla en casa.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リュール\nLo que dijiste sobre tus padres me impresionó.\nQuisiera ayudar a tu familia en todo lo posible.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06ジャン\nMuchas gracias, Divinidad.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06ジャン\n¿Qué le ha pasado a su brazo?\nEstá lleno de arañazos.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08リュール\nEs que, tras encontrar las hierbas,\ntropecé y caí rodando por una ladera.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06ジャン\n¡Oh, no! Siéntese aquí. \x0E\x0A\x00\x0C\x04Lo\x04La sanaré de inmediato.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リュール\nNo es nada, de verdad.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06ジャン\nPor favor, Divinidad. No puedo permitir\nque esas heridas se infecten.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リュール\nDe acuerdo. Adelante.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06ジャン\nVeamos...\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06ジャン\n¿Sabe, Divinidad? Creo que hice bien\nen abandonar la isla para \x0E\x0A\x000\x16acompañarlo\x16acompañarla.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08リュール\n¿Sí?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06ジャン\nEs una persona muy generosa,\nsalvo con usted \x0E\x0A\x00\x18\nmismo\nmisma.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06ジャン\nMientras permanezca a su lado, no importa\nlo poco que se cuide; yo velaré por usted.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06ジャン\nQuiero devolverle toda la amabilidad\nque muestra conmigo multiplicada por cien.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08リュール\nCaramba...\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06ジャン\nBueno, esto ya está.\nLas heridas deberían sanar en nada.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リュール\n¡Gracias! Yo también me alegro\nde que nos acompañes.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x0A\x08リュール\nHoy sí que hemos tenido una recogida exitosa.\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x08\x06ジャン\nEn gran medida, gracias a usted.\n¿No está agotad\x0E\x0A\x00\x08\x02o\x02a de tanto esfuerzo?\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08リュール\nLa he pasado bien contigo.\nPodría haber seguido horas y horas.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x08\x06ジャン\nVaya, parece que se ha lastimado otra vez.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08リュール\nAh, no. Esto me lo hice durante la última batalla\npor acudir en ayuda de un aliado.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08リュール\nMe lo traté justo después, aunque parece\nque me ha quedado esta marca.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x08\x06ジャン\nPruebe este ungüento. Lo hice con las hierbas\nque recogimos la última vez.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x08\x06ジャン\nÚnteselo para que se alivie el enrojecimiento.\nHay que dejar que se seque.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08リュール\nGracias.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x08\x06ジャン\nSi resulta herid\x0E\x0A\x00\x08\x02o\x02a o se ve en apuros,\nsepa que siempre podrá contar conmigo.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x08\x06ジャン\nQuiero que confíe en mí de la misma forma\nque los demás confían en usted.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リュール\nPero, Jean, ¿es que no te das cuenta?\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0A\x08リュール\nYa lo hago.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x08\x06ジャン\n¿De veras?\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08リュール\nDe entre todos los que componen el ejército,\nsé que siempre puedo encomendarme a ti.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08リュール\nDe hecho, creo que mereces\nser el portador del Anillo del Pacto.\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x08\x06ジャン\nNo sé yo... Un objeto tan valioso debería\nreservarse para alguien más digno.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08リュール\nNo se me ocurre nadie más digno de llevarlo\nque tú. Al fin y al cabo, siempre velas por mí.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x08\x06ジャン\nBueno... supongo que tiene sentido.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x08\x06ジャン\nGracias. A partir de ahora, puede considerarme\nsu médico personal.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nNo esperaba otra cosa.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x08\x06ジャン\nPero, para estar a la altura, tengo que ponerme\na estudiar y adquirir experiencia desde ya.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x08\x06ジャン\n¡El médico personal de su Divinidad\nno puede permitirse ni el más mínimo fallo!\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nTómate tu tiempo. Cuando termine la guerra,\nespero requerir menos cuidados paliativos.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x08\x06ジャン\nCierto. Ejem... Dragón Divino \x0E\x06\x03\x00...\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x08\x06ジャン\nGracias por creer en mí. Me esforzaré para\nllegar a ser un médico digno de atenderl\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
