MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0A\x08パネトネ\nDisculpa, Boucheron. ¿Tendrías un momento?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08パネトネ\n¡No veo la hora de empezar!\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0C\nブシュロン\n¡Por la educación!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0C\nブシュロン\nLos cubiertos se usan de fuera hacia dentro\nen el orden en que se sirven los platos.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08パネトネ\n¡Entendido! Veamos...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08パネトネ\n¡Ah! ¿Por qué tiene que ser tan resbaladiza\nla comida firenesa? No se queda en el tenedor...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nブシュロン\nEse trozo es un poco grande. Mejor córtalo\ncon el cuchillo. Así queda más elegante.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08パネトネ\nTrozos pequeños... Caramba, qué difícil...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nブシュロン\nDijiste que te costaba, pero no sospechaba\nque tuvieses tan poca experiencia.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08パネトネ\nQuizá debería beber agua\npara calmar los nervios.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08パネトネ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nブシュロン\nEspera, ¡no! ¡Esa agua es para enjuagarse\nlos dedos, no para beber!\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08パネトネ\n¡Oh! ¡Qué confuso!\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nブシュロン\n¿Cómo haces para comer en la corte de Solm?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08パネトネ\nSiempre me las he arreglado imitando\nlo que hacen los demás.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nブシュロン\nPues eso también tiene su mérito.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08パネトネ\nQuizá nunca llegue a dominar las normas\nde protocolo...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nブシュロン\nNo te rindas. A todo el mundo le cuesta\naprender esas cosas.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08パネトネ\nA decir verdad, me crie en un hogar\nque distaba mucho de ser perfecto.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08パネトネ\nQuizá haya pecado de arrogancia\nal pretender codearme con la nobleza...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nブシュロン\nTus orígenes no importan.\nSi deseas aprender, yo te enseñaré.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nブシュロン\nPuede que cometas algún error aquí y allá,\npero yo te ayudaré hasta que lo domines.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08パネトネ\n¿De veras?\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nブシュロン\nClaro. De los errores se aprende, ¿no?\nEmpecemos de nuevo desde el principio.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08パネトネ\nTienes razón. Y yo que casi me había dado\npor vencida...\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08パネトネ\n¡Desde ahora, las cosas van a cambiar!\n¡Te demostraré mi valía, Boucheron!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0A\x08パネトネ\nAntes de comer, hay que sentarse\ncon la espalda recta y ofrecer una oración.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08パネトネ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08パネトネ\nSegún las benevolentes costumbres firenesas,\nse debe dar las gracias a los alimentos.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08パネトネ\nY mostrar gratitud a la flora y la fauna que\ncomponen cada platillo. Qué bella tradición...\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x02\x0C\nブシュロン\n¿Estás practicando las normas de etiqueta\nque vimos el otro día?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08パネトネ\n¡Sí! Mira, por favor.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08パネトネ\nObserva con qué exquisitez empleo cuchillo\ny tenedor para degustar este platillo.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08パネトネ\nPrimero uso los cubiertos de fuera...\nCorto la comida en trozos pequeños...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08パネトネ\n¡Y listo!\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nブシュロン\nFelicidades, Panette. Todavía vacilas\nun poco, pero has progresado mucho.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08パネトネ\nGracias, Boucheron.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08パネトネ\nLa etiqueta siempre me había generado\nfrustración. Deseaba dejar atrás mi pasado.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08パネトネ\nPero, gracias a tu tutela, ¡por primera vez\nhe disfrutado aprendiendo las buenas maneras!\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08パネトネ\nTe debo mi éxito enteramente a ti.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nブシュロン\nNo, tú eres quien se ha esforzado.\nEstoy orgulloso de ti.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nブシュロン\nDiría que ahora es mi turno de aprender\nlas normas de protocolo de Solm.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08パネトネ\n¿Cómo?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nブシュロン\nNo lo habrás olvidado... Acordamos enseñarnos\nlas costumbres de nuestros respectivos países.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08パネトネ\nAh, sí. Ahora lo recuerdo.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08パネトネ\nSolm es un reginato sui géneris... Su nobleza\ncarece de un código de conducta rígido.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08パネトネ\nSe considera de buen gusto disfrutar\nen compañía: canto, baile y jolgorio...\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08パネトネ\nNo obstante, en ciertas ocasiones\nse debe mostrar algo de solemnidad.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nブシュロン\nQué interesante.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nブシュロン\nAunque cada país tiene sus costumbres,\ntodos tenemos algo en común.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08パネトネ\nLa bondad.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nブシュロン\nSí. Esa es la base de la etiqueta,\ncon independencia del país.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nブシュロン\nY, en esa faceta, Panette, te doy un diez.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08パネトネ\nLo mismo te digo, mi querido Boucheron.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0C\nブシュロン\nNunca me habría dado cuenta\nsi no lo hubieras mencionado. Gracias.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0A\x08パネトネ\nGracias a ti. Parece que estoy más cerca\nde ser una mujer noble modélica.\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0C\nブシュロン\nHablando de lo cual, me gustaría saber más\nsobre las costumbres y la etiqueta de Solm.\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x0A\x08パネトネ\n¡Por supuesto! Sigamos aprendiendo juntos\na ser amables con el prójimo.\x0E\x04\x00\x00
