MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06クラン\x022\n\x0E\x03\x02\x08\x06クラン\nDivinidad, ¿qué hace?\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06クラン\x022\n\x0E\x03\x02\x0A\x08リュール\n¿Clanne?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06クラン\nUgh...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リュール\nPsst... Clanne... ¡Clanne!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06クラン\n¡Ah! ¡Lo siento, su Divinidad!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08リュール\n¿Todo bien? Estabas totalmente ido.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06クラン\nEstoy bien. Solo me había distraído un poco.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リュール\nDe acuerdo. Escucha, me parece\nque te estás exigiendo demasiado.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06クラン\n¿Qué? ¡No, no! Solo estaba...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06クラン\nYo... no...\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08リュール\nAdmítelo. Te desvives tanto por servirme\nque te estás agotando.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06クラン\n¿Qué? ¡No! ¡Para nada! En todo caso,\n¡no hago lo suficiente!\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06クラン\n¡Endóseme más responsabilidades!\n¡Haré lo que sea por el Dragón Divino!\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06クラン\nLo digo en serio. Haré todo lo que me pida.\n¡Adelante! ¡Ordéneme lo que sea!\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08リュール\nBien. Si insistes...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リュール\nTe ordeno que descanses un poco.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06クラン\n(...)\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06クラン\n¡No vale! ¡Eso es trampa!\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リュール\nLo siento. Eres insustituible.\nNo puedo dejar que te fatigues así.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08リュール\nDebes tomarte un descanso para que puedas\nestar listo si las cosas se tuercen.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06クラン\nPero... Pero...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08リュール\nDescansa, Clanne. Es una orden.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06クラン\nDe acuerdo.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x08\x06クラン\nSi insiste, me acostaré un ratito...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06クラン\x022\n\x0E\x03\x02\x0A\x08リュール\nClanne. Estás radiante y lleno de energía.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06クラン\nSí, me siento mucho mejor\nahora que he descansado un poco.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08リュール\nBien. Por favor, intenta no exigirte demasiado\nde aquí en adelante. ¿Entendido?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06クラン\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06クラン\nEs que, como ya le dije, los sirvientes\nhemos esperado mil años a que despertara.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06クラン\nY es tan increíble como imaginé que sería.\nNo, ¡aún más!\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06クラン\nPero... le he fallado.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06クラン\nSe suponía que debía facilitarle la vida...\n¡y solo he logrado darle más preocupaciones!\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06クラン\nLo siento muchísimo.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リュール\n¿Que lo sientes? Si lo estás haciendo\nde maravilla, Clanne.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08リュール\nVer cuánto te esmeras me llena de dicha.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06クラン\n¿De veras?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nSí. Y eso no es todo.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リュール\nSé que siempre has estado ahí para ayudarme.\nDesde el momento en que desperté.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08リュール\nMe conmueve ver lo muchísimo\nque te preocupas por mí.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06クラン\nSí, bueno... Por supuesto, yo...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06クラン\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リュール\n¿Clanne? ¿Estás llorando?\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06クラン\nEs que... me alegro tanto.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06クラン\nEl Dragón Divino reconoce mi labor...\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06クラン\nSeguiré esforzándome al máximo\npara hacerle la vida más fácil.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08リュール\nTe lo agradezco. Pero, por favor...\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06クラン\nSí, sí... Ya lo sé. Me aseguraré\nde no exigirme demasiado.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08リュール\nMe alegra oír eso.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06クラン\x022\n\x0E\x03\x02\x08\x06クラン\nDragón Divino, ¿puedo hablar con usted?\nEs sobre un asunto serio.\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リュール\nPor supuesto, Clanne. ¿De qué se trata?\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x08\x06クラン\nDesde niño me había preguntado\ncómo sería el Dragón Divino.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x08\x06クラン\nHice muchas conjeturas acerca de usted\ny de cómo sería su personalidad.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08リュール\n¿Y bien? ¿Estoy a la altura de tus expectativas?\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x08\x06クラン\nCreo que... lo mejor habría sido no \x0E\x0A\x00(\x12conocerlo\x12conocerla.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リュール\n¿Eh?\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x08\x06クラン\n(...)\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x08\x06クラン\nSi me hubiera pasado la vida \x0E\x0A\x00$\x10viéndolo\x10viéndola dormir,\ncomo quienes me precedieron, no estaría tan...\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08リュール\n¿Clanne?\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x08\x06クラン\nSé que, dada mi condición de siervo\ndel Dragón Divino, no debería decir estas cosas.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x08\x06クラン\nPero... quisiera...\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x08\x06クラン\nQuisiera ser un gran siervo, como el que\nimaginaba que sería una vez despertara.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x08\x06クラン\nQuisiera que recurriera a mí en caso\nde necesidad... pero no soy tan fuerte.\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08リュール\nA ver, Clanne...\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08リュール\nYo te he considerado siempre\nun siervo ejemplar.\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x08\x06クラン\nEso mismo pensaba yo mientras permanecía\nen letargo, pero ahora...\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x08\x06クラン\nlo único que hago es buscar la forma\nde servirle mejor, si es que soy capaz.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nClanne...\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nTienes toda la razón: deberías servirme\nmejor que hasta ahora.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x08\x06クラン\nAh, ¿de veras?\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08リュール\nDesde luego, y ya iba siendo hora\nde resolver esta cuestión.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x08\x06クラン\n¿Eh?\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nComo siervo del Dragón Divino, tienes el deber\nde ser mi mano derecha, pero no lo eres.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x08\x06クラン\n¿Que no...? ¿Cómo que...? Pero yo lo intento...\nEs decir... ¿A qué se refiere?\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0A\x08リュール\nA mi siervo le corresponde algún distintivo\ndigno de la importantísima labor que realiza.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0A\x08リュール\nToma. Este es el Anillo del Pacto.\nSolo tengo uno y te lo has ganado con creces.\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0A\x08リュール\nSabes lo que esto implica, ¿verdad?\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x08\x06クラン\n(...)\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x08\x06クラン\nUn segundo... que me mareo...\x0E\x04\x00\x00
MID_RELIANCE_S_#031	\x0E\x03\x02\x0A\x08リュール\nClanne, te tambaleas. Haz el favor de sentarte.\x0E\x04\x00\x00
MID_RELIANCE_S_#032	\x0E\x03\x02\x08\x06クラン\n¿Quiere entregarme el Anillo del Pacto?\nVamos... Solo lo dice para animarme.\x0E\x04\x00\x00
MID_RELIANCE_S_#033	\x0E\x03\x02\x0A\x08リュール\nSolo puedo sellar el pacto con mi aliado\nmás afín. ¿Aceptas?\x0E\x04\x00\x00
MID_RELIANCE_S_#034	\x0E\x03\x02\x08\x06クラン\nO sea... si lo dice en serio, claro que acepto.\nYa veo que no lo estoy soñando.\x0E\x04\x00\x00
MID_RELIANCE_S_#035	\x0E\x03\x02\x0A\x08リュール\nLa mayoría no es capaz de anteponer\nel amor por el prójimo al suyo propio.\x0E\x04\x00\x00
MID_RELIANCE_S_#036	\x0E\x03\x02\x0A\x08リュール\nPero tú sí, Clanne. Doy gracias por contar\ncon tus servicios... y con tu amistad.\x0E\x04\x00\x00
MID_RELIANCE_S_#037	\x0E\x03\x02\x08\x06クラン\n¡Lo mismo digo!\x0E\x04\x00\x00
MID_RELIANCE_S_#038	\x0E\x03\x02\x08\x06クラン\nDragón Divino \x0E\x06\x03\x00, me honra\ncon este cometido. Siempre seré su siervo.\x0E\x04\x00\x00
