MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x02\x0C\nエーティエ\nOtra cena repleta de platillos deliciosos.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0C\nエーティエ\nEh, tú, elusiana. Tenemos que hablar.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDisculpa, creo que no te he oído.\n¿Qué has dicho?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nエーティエ\nLo has oído perfectamente.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nエーティエ\n¿Por qué antes de la batalla estuviste tres\nhoras sacándole brillo a los cubiertos?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNo veo por qué eso es de tu incumbencia.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cゴルドマリー\nPero, ya que preguntas, ¿por qué te pasas\ntú las horas entrenando?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nエーティエ\n¿Qué clase de pregunta es esa?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nエーティエ\n¡Estamos en guerra! Los cubiertos no te\nsalvarán en una batalla, los músculos sí.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0E\x0Cゴルドマリー\nPerdona, ¿qué?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nエーティエ\n¿Acaso crees que doblar bien la ropa\nte ayudará a luchar contra las aberraciones?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cゴルドマリー\nPerdona, ¿qué? ¿Qué?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nエーティエ\nQué... Qué... ¡Deja de repetirte!\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\n¿Estás insinuando que no soy capaz\nde sobrevivir una guerra?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0E\x0Cゴルドマリー\nSi eso es lo que piensas de mí,\ntendré que pedirte que te apartes de mi vista.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nエーティエ\n¡¿Cómo dices?!\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cゴルドマリー\nSoy la viva imagen de la gracia y la elegancia.\nMi aspecto es perfecto.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMe temo que, de tanto entrenar, el sudor\nha estropeado tu sentido de la estética.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nエーティエ\nPero bueno... ¡¿A ti qué te pasa?!\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJusto iba a preguntarte lo mismo.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nHola, Etie. Gracias por reunirte conmigo.\nEsperaba que pudiéramos hablar.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nエーティエ\nNo sé para qué me has hecho venir,\npero más vale que sea algo importante.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cゴルドマリー\nSé que te parecerá raro, pero\n¿podrías darme las manos?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nエーティエ\n¿Para qué?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cゴルドマリー\nFui injusta contigo. Quizá, si puedo sentir\ntu fuerza, aprenderé a entenderte.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cゴルドマリー\nPor eso quiero notar cómo son tus manos.\nApagaré la luz para que puedas relajarte.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nエーティエ\nMmm, bueno, de acuerdo...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEres muy fuerte. Se nota por los callos\nde tus manos que te esfuerzas mucho.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nエーティエ\nSí...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cゴルドマリー\nAhora que he visto tu dedicación creo\nque ya te entiendo mejor. Gracias.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cゴルドマリー\nToma mis manos, si quieres. Así quizá tú\ntambién me entiendas un poco más a mí.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nエーティエ\n¿Eso funciona de verdad?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nSolo hay un modo de averiguarlo.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nエーティエ\n¡Vaya! Tienes una piel muy suave.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cゴルドマリー\nObviamente.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nエーティエ\nEs increíble. Debes de dedicarle\nmucho esfuerzo para tenerla así.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cゴルドマリー\nSiento todo esto. Sé que no es un método\nconvencional de conocer a alguien.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nエーティエ\nJe, je, pues no. Pero al final he aprendido\nmás de ti de lo que esperaba.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nエーティエ\nMe has enseñado que la vida es mucho más\nque la guerra. Hay que estar listos para la paz.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cゴルドマリー\n¿Lo ves?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cゴルドマリー\nResulta que, al final, hasta podemos\naprender la una de la otra.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cゴルドマリー\nPuedo darte consejos de moda\nsi tú me das alguno a mí para ejercitarme.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nエーティエ\n¡Claro! Me encanta entrenar a la gente.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nエーティエ\nEntre tú y yo, también tomo un suplemento\nproteico. Te daré un poco si quieres.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEso sería maravilloso. Si quieres alguna crema\npara las manos, conozco varias muy buenas.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nエーティエ\nMíranos, nunca imaginé que llegaríamos\na llevarnos bien.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nエーティエ\nHasta debería darte las gracias\npor llevarte la última papa al horno.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNo me las des. Te la robé al fin y al cabo.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMe gustaría conocerte mejor, Etie.\nEspero que tú sientas lo mismo.\x0E\x04\x00\x00
