MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x08\x06クラン\n¡Muy bien! Sigue así. ¡Sé que puedes!\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06クラン\nParece muy... caro.\nCreo que no puedo aceptarlo.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nシトリニカ\nNo me ha costado tantísimo...\n¡Además, te lo has ganado a base de bien!\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06クラン\nLo siento, Citrinne. Lo de ayudar a la flor\nno lo he hecho buscando ninguna recompensa.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06クラン\nEspero que no se lo tome a mal.\nEs que... Vaya, de verdad que lo siento.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nシトリニカ\nNo pasa nada, Clanne. No estoy enojada.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nシトリニカ\nSiento haber ensombrecido tu buena acción.\nHe vuelto a meter la pata, como siempre.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06クラン\n¿A qué se refiere?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nシトリニカ\nCuando tengo un buen gesto, solo pongo\nde manifiesto mi posición privilegiada.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nシトリニカ\nTengo que prestar más atención.\nLo intento, pero... no sirve de nada.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06クラン\n¿Citrinne? ¿Está usted bien?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nシトリニカ\nNo te preocupes por mí. Hasta otra ocasión.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nシトリニカ\nMe alegra mucho ver lo sana que está la flor.\nBien hecho, Clanne.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06クラン\nOh, Citrinne...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x04\x03\x04
MID_RELIANCE_A_#002	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\n¡Oh, Clanne! Me alegro de verte.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06クラン\n¡Hola, Citrinne! Cuánto tiempo.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nシトリニカ\nQuería preguntarte por aquella flor.\n¿Sigue bien?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06クラン\nMe temo que no. Ha comenzado a marchitarse\nde nuevo y no sé qué hacer esta vez.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nシトリニカ\n¡Oh, no! Qué lástima...\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06クラン\nNo pasa nada. Supongo que es ley de vida.\nLa naturaleza sigue su curso.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nシトリニカ\nNo te rindas, Clanne. Algo se nos ocurrirá.\nDeja que piense...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nシトリニカ\n¡Podría importar un fertilizante rico\nen nutrientes! Quizá eso baste para...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06クラン\nCitrinne...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nシトリニカ\nSí, claro. No todo se puede arreglar con dinero.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nシトリニカ\nPero ¡debo hacer algo! Todo tu trabajo\nse va a echar a perder... Estarás muy afligido.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06クラン\nEn realidad, estoy agradecido.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nシトリニカ\n¿Y eso?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06クラン\nCuidar a esa flor juntos nos ha ayudado\na conocernos mejor. Doy gracias por eso.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nシトリニカ\nOh, Clanne... Eres tan adorable.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06クラン\nEsta vez tengo yo algo para usted.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06クラン\nSon semillas de la flor silvestre.\nLas recogí antes de que volviese a marchitarse.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nシトリニカ\n¡Así que puede continuar viviendo! ¡Maravilloso!\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nシトリニカ\nEsto vale más que cualquier joya. ¡Me encanta!\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nシトリニカ\n¿Me ayudarás a sembrarlas?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06クラン\n¡Claro! Podemos esparcirlas por el Somniel.\nPronto habrá flores silvestres por doquier.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nシトリニカ\n¡Sí! Y otra cosa, Clanne...\nA cambio, espero que aceptes este regalo.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06クラン\n¿Otra vez el broche? Creía que...\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nシトリニカ\nEsta vez no se trata de una recompensa.\nSimplemente quiero que lo tengas.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06クラン\nDe acuerdo. Si lo plantea así, lo acepto.\nMuchas gracias, Citrinne.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nシトリニカ\nGracias a ti por aceptarlo, Clanne.\x0E\x04\x00\x00
