MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x00\x10\nディミトリ\x023\n\x0E\x03\x00\x0E\x08クロード\x024\n\x0E\x03\x02\x0A\x08リュール\nEn este brazalete hay un Emblema,\naunque noto una presencia un tanto... compleja.\x0E\x04\x02\x00
MID_OP1_2_#022	\x0E\x03\x02\x10\x0Eエーデルガルト\nAunque la verdadera celebración llegó al final.\nAquella noche festejamos en grande.\x0E\x04\x00\x00
MID_OP1_2_#023	\x0E\x03\x02\x0A\x08クロード\nDimitri parece muy estirado, pero no te dejes\nengañar por las apariencias, \x0E\x06\x03\x00.\x0E\x04\x02\x00
MID_OP1_2_#024	Entre tú y yo, en las fiestas se convierte\nen una verdadera bestia.\x0E\x04\x02\x00
MID_OP1_2_#025	Todavía no puedo creer que no expulsaran\na toda su clase por las locuras que hizo.\x0E\x04\x00\x00
MID_OP1_2_#026	\x0E\x03\x02\x0A\x08リュール\nSeguro que fue una noche memorable.\x0E\x04\x00\x00
MID_OP1_2_#027	\x0E\x03\x02\x0C\nディミトリ\nAún no lo conoces; es un bromista redomado.\nNo te creas ni la mitad de lo que dice.\x0E\x04\x00\x00
MID_OP1_2_#028	\x0E\x03\x02\x0A\x08クロード\nNo seas rancio. Por lo menos un tercio\nde lo que digo merece ser escuchado.\x0E\x04\x00\x00
MID_OP1_2_#029	\x0E\x03\x02\x10\x0Eエーデルガルト\nUn tercio es menos de la mitad. Lo sabes, ¿no?\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ベレト\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x00\x10\nディミトリ\x023\n\x0E\x03\x00\x0E\x08クロード\x024\n\x0E\x03\x02\x08\x06ベレト\nVeo que hemos ganado unos aliados\nde confianza.\x0E\x04\x00\x00
MID_OP2_#002	\x0E\x03\x02\x10\x0Eエーデルガルト\n¡Profesor! ¿Tú también estás aquí?\nAhora sí que estoy motivada.\x0E\x04\x02\x00
MID_OP2_#003	¡Será todo un honor luchar a tu lado!\x0E\x04\x00\x00
MID_OP2_#004	\x0E\x03\x02\x08\x06ベレト\nSi eso crees, entonces tendré\nque asegurarme de dar lo mejor de mí.\x0E\x04\x00\x00
MID_OP2_#005	\x0E\x03\x02\x0C\nディミトリ\nEste rencuentro me recuerda al día\nque conocimos al profesor.\x0E\x04\x00\x00
MID_OP2_#006	\x0E\x03\x02\x10\x0Eエーデルガルト\n¿Te refieres a aquella noche que los bandidos\natacaron nuestro campamento?\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x02\x0C\nディミトリ\nEso es. Solo que, en esta ocasión, Claude\nno podrá hacer una "retirada estratégica".\x0E\x04\x00\x00
MID_OP2_#008	\x0E\x03\x02\x0A\x08クロード\nSupongo que ahora debemos permanecer\ntodos juntos, ¿no?\x0E\x04\x02\x00
MID_OP2_#009	Odio decir esto, pero tendremos que aprender\na llevarnos mejor si vamos a formar equipo.\x0E\x04\x00\x00
MID_OP2_#010	\x0E\x03\x02\x08\x06ベレト\nExacto. Y lo harán.\x0E\x04\x00\x00
MID_OP2_#011	\x0E\x03\x02\x10\x0Eエーデルガルト\nCierto. Ninguno de nosotros\npuede lograr nada en solitario.\x0E\x04\x02\x00
MID_OP2_#012	Pero, unidos e integrados en este ejército,\ncreo que la derrota es impensable.\x0E\x04\x02\x00
MID_OP2_#013	No quiero pecar de arrogante, pero confío\nen las enseñanzas de nuestro profesor.\x0E\x04\x02\x00
MID_OP2_#014	¿No estás de acuerdo?\x0E\x04\x00\x00
MID_OP2_#015	\x0E\x03\x02\x08\x06ベレト\nClaro. Me siento orgulloso de todos ustedes.\nEsta vez, lucharemos juntos hasta el final.\x0E\x04\x00\x00
MID_OP3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x00\x10\nディミトリ\x023\n\x0E\x03\x00\x0E\x08クロード\x024\n\x0E\x03\x02\x10\x0Eエーデルガルト\nPermite que lo anuncie formalmente,\n\x0E\x06\x03\x00.\x0E\x04\x02\x00
MID_OP3_#002	Ponemos nuestro poder a tu disposición.\nPor favor, úsalo bien.\x0E\x04\x00\x00
MID_OP3_#003	\x0E\x03\x02\x0C\nディミトリ\nNo temas; la victoria será nuestra.\nEstamos aquí para ayudar.\x0E\x04\x00\x00
MID_OP3_#004	\x0E\x03\x02\x0A\x08クロード\nY, si las tácticas convencionales de estos dos\nfallan, yo siempre me guardo un as en la manga.\x0E\x04\x00\x00
MID_OP3_#005	\x0E\x03\x02\x0A\x08リュール\nMe tranquiliza oír eso. Muchas gracias.\x0E\x04\x02\x00
MID_OP3_#006	Haré todo lo que esté en mis manos\npara ayudarlos a luchar hombro con hombro.\x0E\x04\x00\x00
