MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x10\nブシュロン\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nVaaaya...\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nブシュロン\nLa verdad es que ninguno en especial.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cアルフレッド\nYa, siempre dices lo mismo.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cアルフレッド\nAlgún truco tiene que haber...\n¿O insinúas que te han salido así porque sí?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0E\x0Cアルフレッド\n¿Cómo es posible?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0E\x0Cアルフレッド\nMmm... Mmm... Mmmmmm...\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0C\nブシュロン\n(...)\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0C\nブシュロン\nEso ya...\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0E\x0Cアルフレッド\n¿"Eso ya" qué? ¿Tiene algo de especial\neste músculo?\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0C\nブシュロン\nNo, mi señor. Digo que eso ya\nme hace cosquillas.\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x0E\x0Cアルフレッド\n¡Oh! Pero ¿por qué no has dicho nada?\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x10\nブシュロン\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\n¡Despierta, Boucheron, que ya ha salido el sol!\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nブシュロン\nPríncipe Alfred... buenos días.\n¿Le toca el turno matutino de patrulla?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nNo. Hoy no patrullo.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nブシュロン\n¿Y qué hace aquí tan temprano?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cアルフレッド\nEs que no me pienso perder ni un solo segundo\nde tu rutina diaria.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nブシュロン\n¿Quiere presenciar mi rutina diaria?\n¿Con qué motivo?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cアルフレッド\nPues para desentrañar el misterio\nde esos músculos, naturalmente.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nブシュロン\n¿Cómo?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0E\x0Cアルフレッド\nSegún me dijiste, no haces nada especial\npara estar tan fornido.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cアルフレッド\nPor tanto, el secreto está en tu rutina cotidiana,\n¡y eso es lo que voy a observar!\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nブシュロン\nBueno, tiene sentido... más o menos.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cアルフレッド\nMe alegra que convengas en ello.\n¡Empecemos!\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cアルフレッド\nSimplemente vive tu vida como siempre,\ncomo si no te estuviera observando.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nブシュロン\nDe acuerdo. Entonces, con la venia de su alteza,\nlo primero que haré es volverme a dormir.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cアルフレッド\nAdelante. Yo me siento por aquí a tomar notas.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x04\x03\x04
MID_RELIANCE_B_#017	\x0E\x03\x02\x0E\x0Cアルフレッド\nMediodía. Boucheron lee un libro.\nIgnoro cómo le sirve para ganar músculo.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cアルフレッド\nNi siquiera es de tapa dura.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nブシュロン\nNo... ¡No! Pobre Fifi...\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cアルフレッド\nSe pone a llorar. Qué blandengue.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x04\x03\x04
MID_RELIANCE_B_#022	\x0E\x03\x02\x0E\x0Cアルフレッド\nEsto huele a pista definitiva. La pesca ha de ser\nla clave para ponerse tan musculoso.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nブシュロン\n¡Ja! ¡Ya te tengo!\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0E\x0Cアルフレッド\nPero no tiene sentido. En el gimnasio se suda\nmucho más que él ahí sentado con la caña.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0E\x0Cアルフレッド\nAunque ciertamente parece ser\nuna actividad entretenida.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x04\x03\x04
MID_RELIANCE_B_#027	\x0E\x03\x02\x0E\x0Cアルフレッド\nNo lo entiendo.\x0E\x04\x00\x00
MID_RELIANCE_B_#028	\x0E\x03\x02\x0E\x0Cアルフレッド\nLlevo todo el día observándote y no te he visto\nderramar ni una gota de sudor.\x0E\x04\x00\x00
MID_RELIANCE_B_#029	\x0E\x03\x02\x0C\nブシュロン\nLamento que no haya podido sacarle partido.\nHa desperdiciado la jornada entera.\x0E\x04\x00\x00
MID_RELIANCE_B_#030	\x0E\x03\x02\x0E\x0Cアルフレッド\nBueno, yo no diría tanto. Además,\nsí que le he sacado partido.\x0E\x04\x00\x00
MID_RELIANCE_B_#031	\x0E\x03\x02\x0E\x0Cアルフレッド\nPor ejemplo, he recordado cuán agradable\nes pasar el tiempo con un viejo amigo.\x0E\x04\x00\x00
MID_RELIANCE_B_#032	\x0E\x03\x02\x0C\nブシュロン\nEs muy amable, mi señor.\x0E\x04\x00\x00
MID_RELIANCE_B_#033	\x0E\x03\x02\x0E\x0Cアルフレッド\nLo único que lamento es haberme quedado\nmirando en lugar de involucrarme.\x0E\x04\x00\x00
MID_RELIANCE_B_#034	\x0E\x03\x02\x0C\nブシュロン\nBueno, no dude en acompañarme en mi rutina\ndiaria cuando le plazca. Sería divertido.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x10\nブシュロン\x022
MID_RELIANCE_A_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nPescar es más complicado\nde lo que parece, ¿eh?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\n¿Tienes algún consejo? Por ejemplo, ¿cómo tiro\nde la caña para contraer los bíceps al máximo?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nブシュロン\nMe temo que no. Cuando pesco, me concentro\nexclusivamente en el corcho.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cアルフレッド\n¿Y cómo lo haces?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nブシュロン\nCon paciencia, supongo.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cアルフレッド\n"Con paciencia"... Entendido.\nYa verás qué paciente soy...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0E\x0Cアルフレッド\nPaciencia... Paciencia... ¡Paciencia!\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cアルフレッド\nUgh...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cアルフレッド\nSe me ocurre algo mejor.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0E\x0Cアルフレッド\nConseguimos una red grande, la tiramos al agua\ny la sacamos a golpe de músculo.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cアルフレッド\n¡Imagina el montón de peces\nque atraparíamos de una vez!\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nブシュロン\nObtendríamos un botín considerable, pero eso\nno sería pescar, sino más bien rastrear.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cアルフレッド\nYa, tienes razón.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nブシュロン\nSi la pesca lo aburre, entreténgase\ncon otras actividades. No me ofendo.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cアルフレッド\nQué bien me conoces. Para serte franco,\nlo de quedarse sentado no va conmigo.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0E\x0Cアルフレッド\nAunque tampoco quiero renunciar a la pesca.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nブシュロン\n¿Por qué no, si me permite la pregunta?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cアルフレッド\nPorque es una excusa para pasar\ntiempo contigo, Boucheron.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nブシュロン\nYa veo...\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cアルフレッド\nSiempre hemos sido amigos, pero últimamente\nno hemos hecho casi nada juntos.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0E\x0Cアルフレッド\nPor eso trato de aprovechar al máximo\nlos momentos como este.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0E\x0Cアルフレッド\nAsí que me quedaré aquí sentadito pescando,\n¡y qué importa si no muerden el anzuelo!\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nブシュロン\nJe.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nブシュロン\nImagino que simplemente poseo una complexión\nfuerte de nacimiento.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nブシュロン\nDe lo cual no puedo sino alegrarme,\npues tal don me permite protegerlo.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0E\x0Cアルフレッド\nBoucheron, ¡creo que he sentido un jalón!\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0C\nブシュロン\nY de un pez grande, diría yo.\nNo deje que escape.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0E\x0Cアルフレッド\n¡Eso intento, pero temo que se rompa el sedal!\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0C\nブシュロン\n¡Yo lo ayudo! ¡Este lo sacamos juntos!\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x0E\x0Cアルフレッド\n¡Con tu apoyo, seguro que sí!\n¡Ya eres nuestro, pececito!\x0E\x04\x00\x00
