MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x0A\x08リュール\nMauvier, siento curiosidad...\n¿Qué cosas te gustan?\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x08\x06モーヴ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x08\x06モーヴ\nDivinidad... ¿Me darías el anillo?\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\n¡¿Eh?! Este...\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nEste anillo representa los lazos que me unen\ncon la persona a la que yo considere especial.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08リュール\nRecibirlo de mis manos equivale a sellar\nnuestro vínculo.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08リュール\n¿Estás seguro de que es lo que quieres?\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x08\x06モーヴ\nClaro que sí.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x08\x06モーヴ\nTú me salvaste... En cuerpo y alma.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x08\x06モーヴ\nLo que al principio era gratitud sin más\nse acabó convirtiendo en afecto genuino.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x08\x06モーヴ\nY, al ver el Anillo del Pacto,\npor fin he abierto los ojos.\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x08\x06モーヴ\nMe he dado cuenta de que debo\npermanecer a tu lado...\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x0A\x08リュール\nMauvier...\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x08\x06モーヴ\nSin embargo, me temo que no soy digno\nde llevar este anillo. Aún no.\x0E\x04\x00\x00
MID_RELIANCE_S_#031	\x0E\x03\x02\x08\x06モーヴ\nPero algún día lo seré.\n¿Me harías el favor de dármelo?\x0E\x04\x00\x00
MID_RELIANCE_S_#032	\x0E\x03\x02\x0A\x08リュール\n(...)\x0E\x04\x00\x00
MID_RELIANCE_S_#033	\x0E\x03\x02\x0A\x08リュール\nTe confieso que ya había estado a punto\nde ofrecerte el anillo anteriormente.\x0E\x04\x00\x00
MID_RELIANCE_S_#034	\x0E\x03\x02\x08\x06モーヴ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_S_#035	\x0E\x03\x02\x0A\x08リュール\nAdemás de ser un hombre valiente, aguerrido\ny tierno, tienes un corazón de oro que cautiva.\x0E\x04\x00\x00
MID_RELIANCE_S_#036	\x0E\x03\x02\x0A\x08リュール\nNunca he logrado reunir el valor para dártelo;\nme alegra mucho que me lo hayas pedido.\x0E\x04\x00\x00
MID_RELIANCE_S_#037	\x0E\x03\x02\x0A\x08リュール\n¿Qué crees que pensará Veyle de todo esto?\x0E\x04\x00\x00
MID_RELIANCE_S_#038	\x0E\x03\x02\x08\x06モーヴ\nMe dijo hace poco que solo desea\nnuestro bienestar y felicidad.\x0E\x04\x00\x00
MID_RELIANCE_S_#039	\x0E\x03\x02\x0A\x08リュール\nAh, ¿sí? Qué típico de Veyle. Ya se olía\nlo que ni tú ni yo nos atrevíamos a admitir.\x0E\x04\x00\x00
MID_RELIANCE_S_#040	\x0E\x03\x02\x0A\x08リュール\nEn fin, me toca armarme de valor.\x0E\x04\x00\x00
MID_RELIANCE_S_#041	\x0E\x03\x02\x0A\x08リュール\nMauvier, te ruego que aceptes este anillo\ny seas mi compañero.\x0E\x04\x00\x00
MID_RELIANCE_S_#042	\x0E\x03\x02\x08\x06モーヴ\nLo acepto. Es un honor.\x0E\x04\x00\x00
MID_RELIANCE_S_#043	\x0E\x03\x02\x0A\x08リュール\nEspero que valores este anillo y el vínculo\nque representa por siempre jamás.\x0E\x04\x00\x00
MID_RELIANCE_S_#044	\x0E\x03\x02\x08\x06モーヴ\nLo prometo, Dragón Divino \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_RELIANCE_S_#045	\x0E\x03\x02\x08\x06モーヴ\nJamás pensé que conocería la felicidad, y ahora\nno siento otra cosa. Siempre estaré a tu lado.\x0E\x04\x00\x00
