MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x06\x04エル\nEs un honor conocerte, Emblema Dimitri.\nGracias por prestarnos tu ayuda.\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0A\x08クロード\nIncluso rodeados de rivales sedientos de sangre,\ntu talento para escapar encaja con mi estrategia.\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x0C\nグレゴリー\n¿De qué estrategia hablas?\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x0A\x08クロード\nTe infiltras en las filas enemigas y creas\nun alboroto. ¡Y entonces ataco yo por un flanco!\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x0C\nグレゴリー\nAjá, excelente plan... No, un momento...\n¿El único que va a jugarse el cuello soy yo?\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x0C\nマデリーン\nSé que todavía estoy aprendiendo,\npero mis padres eran excelentes caballeros.\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x10\x0Eエーデルガルト\nY sus enseñanzas se reflejan en ti. Estoy segura\nde que se enorgullecen de ti, allá donde estén.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x0C\nマデリーン\nMe gustaría saber más de ti, Edelgard.\n¿Cómo eran tus padres?\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x10\x0Eエーデルガルト\nMi madre falleció cuando yo era niña. Mi padre\nera demasiado benévolo para un emperador.\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x10\x0Eエーデルガルト\n¿Por qué sonríes así, Madeline?\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x0C\nマデリーン\nPorque, a tu lado, comprendo lo que debe\nsentirse al tener una hermana mayor.\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x0C\nマデリーン\nSé que nuestros orígenes son muy distintos,\npero... siempre he deseado tener hermanos.\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x10\x0Eエーデルガルト\nTe entiendo. Eres un sol, Madeline.\nHablar contigo me hace muy feliz.\x0E\x04\x00\x00
