MID_WU_C_1_IN_#001	Hoolaa. Aquí estoy.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	¿Sabe qué? Da igual.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	Siga durmiendo.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	L\x0E\x0A\x00\x08\x02o\x02a arroparé y l\x0E\x0A\x00\x08\x02o\x02a dejaré descansar.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	Buenos días, Divinidad.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	Sé que le cuesta mantener abiertos\nesos ojos tan cansados.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	¡Pero le prometo que nos espera\nun día fabuloso!\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	Ya sabía yo que se encontraría aquí.\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	Ja, ja. L\x0E\x0A\x00\x08\x02o\x02a conozco demasiado bien.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	No le avergüenza que l\x0E\x0A\x00\x08\x02o\x02a haya sorprendido\ndurmiendo, ¿verdad?\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	Oooh...\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	Soy su mayor fan.\nNo tiene nada de qué preocuparse.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	Duerme como un tronco.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	Exactamente igual que cuando cuidaba de usted.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	Quiero decirle algo...\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	Todo ese tiempo que estuvo durmiendo...\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	Creo que, en el fondo, sabía que seríamos\naliad\x0E\x0A\x00\x08\x02o\x02as para siempre.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	Ja, ja. ¡Buenos días!\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	Pensé que sería bueno dejarl\x0E\x0A\x00\x08\x02o\x02a dormir,\npero no.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	¡Su aliada favorita l\x0E\x0A\x00\x08\x02o\x02a está esperando!\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	¡A levantarse!\x0E\x04\x00\x00
