MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x08\x06モーヴ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06モーヴ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nヴァンドレ\nYo sugerí que, de no dar ejemplo con la ladrona,\nla reputación de la guardia quedaría dañada.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nヴァンドレ\nEl asunto me preocupaba enormemente.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06モーヴ\n¿Y qué ocurrió?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nヴァンドレ\nPues que, a la mañana siguiente, el tenedor\nvolvía a estar en el sitio que le correspondía.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nヴァンドレ\nNunca se supo por qué lo robó\nni qué pretendía lograr con esa acción.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nヴァンドレ\nEl caso es que la reina Lumera entendió\nla situación y supo resolverla con discreción.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06モーヴ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nヴァンドレ\nAsí era la reina Lumera. Siempre amable;\nsiempre buscaba la solución más pacífica.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nヴァンドレ\nEra una persona realmente maravillosa\na la que todos respetaban y adoraban.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06モーヴ\nSi por entonces hubiera sabido\ncuánto llegaría a lamentar lo que hice...\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nヴァンドレ\nTú proteges a la gente. Estás cumpliendo\nsu voluntad aun sin proponértelo.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06モーヴ\nMe alegra que pienses así,\npero sigo sin estar de acuerdo.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06モーヴ\nSi te hubiera conocido antes,\nmi vida habría sido tan distinta...\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nヴァンドレ\nQuizá un poco tarde, pero ya nos conocemos,\nasí que estás en la senda adecuada.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x08\x06モーヴ\nMe temo que no todos me aceptarán\ntal y como soy.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x08\x06モーヴ\nPero juro que me ganaré su confianza,\ndel mismo modo que me he ganado la tuya.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x08\x06モーヴ\nLo haré porque es mi deber... y por la reina.\x0E\x04\x00\x00
