MAID_LueurWearM	Hábito divino
MAID_H_BrodiaCasual1M	Ropa de la plebe brodiana. De vocación práctica, el tejido es fácil de lavar\ny sus colores sobrios disimulan las manchas. La estola se puede quitar.
MAID_BrodiaCasual1F	Falda cavernaria
MAID_H_BrodiaCasual1F	Ropa de la plebe brodiana. De vocación práctica, el tejido es fácil de lavar\ny sus colores sobrios disimulan las manchas. La hebilla es de hueso.
MAID_BrodiaCasual2	Set salvaje
MAID_H_BrodiaCasual2	Ropa de la plebe brodiana. Este diseño tradicional está revestido\ncon lana de alpaca para abrigarse. (Incluye dos modelos.)
MAID_BrodiaCasual2M	Estola salvaje
MAID_H_BrodiaCasual2M	Ropa de la plebe brodiana. Este diseño tradicional está revestido\ncon lana de alpaca para abrigarse. Lo usan las tribus nómadas de Brodia.
MAID_BrodiaCasual2F	Falda salvaje
MAID_H_BrodiaCasual2F	Ropa de la plebe brodiana. Este diseño tradicional está revestido\ncon lana de alpaca para abrigarse. El calzado está diseñado para escalar.
MAID_BrodiaCasual3	Set rupestre
MAID_BrodiaCasual3M	Estola rupestre
MAID_H_BrodiaCasual3M	Ropa de Brodia enviada como símbolo de amistad. Elaborada con material\nrecio, antepone comodidad a elegancia. El pantalón es muy resistente.
MAID_BrodiaCasual3F	Falda rupestre
MAID_H_BrodiaCasual3F	Ropa de Brodia enviada como símbolo de amistad. Elaborada con material\nrecio, antepone comodidad a elegancia. El estampado ahuyenta el mal.
MAID_SolumFormal1	Set mediodía
MAID_H_SolumFormal1	Ropa de la nobleza de Solm. El tejido ligero y transpirable resulta\nideal para el clima cálido del reginato. (Incluye dos modelos.)
MAID_SolumFormal1M	Chaleco mediodía
MAID_H_SolumFormal1M	Ropa de la nobleza de Solm diseñada para andar por la arena. El tejido\nligero y transpirable resulta ideal para el clima cálido del reginato.
MAID_SolumFormal1F	Falda mediodía
MAID_H_SolumFormal1F	Ropa de la nobleza de Solm. El tejido ligero y transpirable es ideal para\nel clima cálido del reginato. Va con un capote a juego para salir al sol.
MAID_SolumFormal2	Set alba
MAID_H_SolumFormal2	Ropa de la nobleza de Solm. Suele usarse en celebraciones. Se dice que\nun atuendo vistoso ayuda a llegar al paraíso. (Incluye dos modelos.)
MAID_SolumFormal2M	Chaleco alba
MAID_H_SolumFormal2M	Ropa de la nobleza de Solm. Se dice que las prendas vistosas ayudan\na llegar al paraíso. Se lleva en fiestas y en paseos al amanecer.
MAID_SolumFormal2F	Falda alba
MAID_H_SolumFormal2F	Ropa de la nobleza de Solm. Se dice que las prendas vistosas ayudan\na llegar al paraíso. Diseñada para bailar con estilo en las fiestas.
MAID_SolumFormal3	Set ocaso
MAID_SolumFormal3M	Chaleco ocaso
MAID_H_SolumFormal3M	Ropa de Solm enviada como símbolo de amistad. Inspirado en una leyenda\nfamosa, se cree que su portador se enriquece. Tiene éxito en el extranjero.
MAID_SolumFormal3F	Falda ocaso
MAID_H_SolumFormal3F	Ropa de Solm enviada como símbolo de amistad. Inspirada en el vestido\nde una princesa de leyenda, se cree que su portador se enriquece.
MAID_SolumCasual1	Set vespertino
MAID_H_SolumCasual1	Ropa de la plebe de Solm. Se usa una tela de gran tamaño para envolver\nlos hombros y la cintura como es tradición. (Incluye dos modelos.)
MAID_SolumCasual1M	Manto vespertino
MAID_H_SolumCasual1M	Ropa de la plebe de Solm. Uno de los pasatiempos de allí\nes llevar a los amigos a comprar el tejido perfecto por un buen precio.
MAID_SolumCasual1F	Cinto vespertino
MAID_H_SolumCasual1F	Ropa de la plebe de Solm. Se usa la misma tela para envolver los hombros\ny la cintura. El color de la tela lo elige cada cual según la ocasión.
MAID_SolumCasual2	Set arena
MAID_H_SolumCasual2	Ropa de la plebe de Solm decorada con motivos tradicionales.\nLos zapatos son transpirables y de gran calidad. (Incluye dos modelos.)
MAID_SolumCasual2M	Manto arena
MAID_H_SolumCasual2M	Ropa de la plebe de Solm decorada con motivos tradicionales.\nLos zapatos son transpirables y de gran calidad.
MAID_SolumCasual2F	Cinto arena
MAID_H_SolumCasual2F	Ropa de la plebe de Solm decorada con motivos tradicionales.\nLos zapatos de gran calidad son ideales para pasear por la arena.
MAID_SolumCasual3	Set dunar
MAID_SolumCasual3M	Manto dunar
MAID_H_SolumCasual3M	Ropa de Solm enviada como símbolo de amistad. Los dibujos de dunas\nrepresentan la eternidad; el entrelazado, un vínculo de amistad.
MAID_SolumCasual3F	Cinto dunar
MAID_H_SolumCasual3F	Ropa de Solm enviada como símbolo de amistad. Los dibujos de dunas\nrepresentan la eternidad; el entrelazado de la falda, un vínculo de amistad.
MAID_IrcionFormal1	Set esmeralda
MAID_H_IrcionFormal1	Ropa de la nobleza elusiana. Se fabrica con tela de calidad forrada\nde lana para proteger del viento y el frío. (Incluye dos modelos.)
MAID_IrcionFormal1M	Trenca esmeralda
MAID_H_IrcionFormal1M	Ropa de la nobleza elusiana. Las prendas exteriores están forradas\nde lana, lo cual permite llevar ropa más ligera debajo.
MAID_IrcionFormal1F	Túnica esmeralda
MAID_H_IrcionFormal1F	Ropa de la nobleza elusiana. Se fabrica con tela de calidad forrada\nde lana. El encaje se suele coser a mano.
MAID_IrcionFormal2	Set lanudo
MAID_H_IrcionFormal2	Ropa de la nobleza elusiana. El abrigo se teje mediante una técnica\ntradicional que puede llevar varios meses. (Incluye dos modelos.)
MAID_IrcionFormal2M	Trenca lanuda
MAID_H_IrcionFormal2M	Ropa de la nobleza elusiana. El abrigo se compone de varias capas\nque dan como resultado un tejido resistente a la lluvia y la nieve.
MAID_IrcionFormal2F	Túnica lanuda
MAID_H_IrcionFormal2F	Ropa de la nobleza elusiana. El laborioso proceso para tejer\nsus múltiples capas a veces causa listas de espera de varios años.
MAID_IrcionFormal3	Set estelar
MAID_IrcionFormal3M	Trenca estelar
MAID_H_IrcionFormal3M	Ropa de Elusia enviada como símbolo de amistad. Los materiales\nrepresentan el cielo estrellado. Se exhibe en museos por su gran calidad.
MAID_IrcionFormal3F	Túnica estelar
MAID_H_IrcionFormal3F	Ropa de Elusia enviada como símbolo de amistad. Los materiales\nrepresentan el cielo estrellado y son de una calidad superior.
MAID_IrcionCasual1	Set arbóreo
MAID_H_IrcionCasual1	Ropa de la plebe elusiana. Las distintas tonalidades de verde\npueden ayudar a camuflarse en el bosque. (Incluye dos modelos.)
MAID_IrcionCasual1M	Abrigo arbóreo
MAID_H_IrcionCasual1M	Ropa de la plebe elusiana. Las distintas tonalidades de verde\npueden ayudar a camuflarse en el bosque. La suelen llevar los leñadores.
MAID_IrcionCasual1F	Bufanda arbórea
MAID_H_IrcionCasual1F	Ropa de la plebe elusiana. Las distintas tonalidades de verde pueden\nayudar a camuflarse en el bosque. La bufanda tiene un diseño antiguo.
MAID_IrcionCasual2	Set helecho
MAID_H_IrcionCasual2	Ropa de la plebe elusiana. Los cuatro colores se entremezclan\npara formar un patrón que se cree que trae suerte. (Incluye dos modelos.)
MAID_IrcionCasual2M	Abrigo helecho
MAID_H_IrcionCasual2M	Ropa de la plebe elusiana. Los cuatro colores se entremezclan\npara formar un patrón que se cree que trae suerte. Típica de la primavera.
MAID_IrcionCasual2F	Bufanda helecho
MAID_H_IrcionCasual2F	Ropa de la plebe elusiana. Los cuatro colores se entremezclan para formar\nun patrón que se cree que trae suerte. La bufanda es larguísima.
MAID_IrcionCasual3	Set invernal
MAID_IrcionCasual3M	Abrigo invernal
MAID_H_IrcionCasual3M	Ropa de Elusia enviada como símbolo de amistad. Los símbolos antiguos\ndel diseño representan el poder mágico y la belleza de Elusia.
MAID_IrcionCasual3F	Bufanda invernal
MAID_H_IrcionCasual3F	Ropa de Elusia enviada como símbolo de amistad. El turquesa se\nconsigue con tinte mágico fabricado con la corteza de coníferas.
MAID_LithosFormal1	Set pulcro
MAID_H_LithosFormal1	Ropa del clero de Lythos, formal y de diario. El exquisito bordado\nde las mangas rinde homenaje al Dragón Divino. (Incluye dos modelos.)
MAID_LithosFormal1M	Túnica pulcra
MAID_H_LithosFormal1M	Ropa del clero de Lythos, formal y de diario. El exquisito bordado\nde las mangas rinde homenaje al Dragón Divino.
MAID_LithosFormal1F	Vestido pulcro
MAID_H_LithosFormal1F	Ropa del clero de Lythos, formal y de diario. El bordado que homenajea\nal Dragón Divino solo lo pueden coser quienes sean puros de corazón.
MAID_LithosFormal2	Set gélido
MAID_H_LithosFormal2	Ropa del clero de Lythos. Se hace con una técnica exclusiva de Lythos\npara lograr que el tejido refleje la luz. (Incluye dos modelos.)
MAID_LithosFormal2M	Túnica gélida
MAID_H_LithosFormal2M	Ropa del clero de Lythos. Se hace con una técnica exclusiva para\nlograr que el tejido refleje la luz. Aunque no lo parezca, es muy liviana.
MAID_LithosFormal2F	Vestido gélido
MAID_H_LithosFormal2F	Ropa del clero de Lythos. Se hace con una técnica exclusiva para\nlograr que el tejido refleje la luz y se reserva para las ocasiones especiales.
MAID_LithosFormal3	Set lacustre
MAID_H_LithosFormal3	Ropa del clero de Lythos. El color de la tela representa el poder\ndel Dragón Divino; el estampado, la armonía. (Incluye dos modelos.)
MAID_LithosFormal3M	Túnica lacustre
MAID_H_LithosFormal3M	Ropa del clero de Lythos. El color de la tela representa el poder\ndel Dragón Divino. El estampado simboliza el respeto por los Emblemas.
MAID_LithosFormal3F	Vestido lacustre
MAID_H_LithosFormal3F	Ropa del clero de Lythos. El color de la tela representa el poder\ndel Dragón Divino. El estampado rinde homenaje a los caídos en la guerra.
MAID_Swimwear1	Set de baño
MAID_H_Swimwear1	Traje de baño sencillo, diseñado para nadar, ejercitarse y broncearse.\nIdeal para ponerse en forma con estilo. (Incluye dos modelos.)
MAID_Swimwear1M	Short de baño
MAID_H_Swimwear1M	Traje de baño sencillo, diseñado para nadar, ejercitarse y broncearse.\nIncluye un collar que realza el conjunto.
MAID_Swimwear1F	Bikini con pareo
MAID_H_Swimwear1F	Traje de baño sencillo, diseñado para nadar, ejercitarse y broncearse\nmientras se realza la autoestima. El pareo viene en distintos colores.
MAID_Swimwear2	Set recatado
MAID_H_Swimwear2	Traje de baño que cubre buena parte del cuerpo. Pensado para\nquienes prefieren comodidad y funcionalidad. (Incluye dos modelos.)
MAID_Swimwear2M	Traje entero
MAID_H_Swimwear2M	Traje de baño básico para nadar, ejercitarse y broncearse.\nLa camisa a juego es cómoda y está diseñada para secarse rápidamente.
MAID_Swimwear2F	Traje de baño
MAID_H_Swimwear2F	Traje de baño básico para quienes buscan comodidad y funcionalidad.\nAl tomar el sol, deja unas marcas muy características.
MAID_Swimwear3	Set juvenil
MAID_H_Swimwear3	Traje de baño muy colorido para jóvenes expresivos,\ndiseñado para llamar la atención. (Incluye dos modelos.)
MAID_Swimwear3M	Pareo y collar
MAID_H_Swimwear3M	Traje de baño muy adornado para jóvenes. El collar está hecho\nde flores tropicales frescas que nunca se marchitan.
MAID_Swimwear3F	Bikini con falda
MAID_H_Swimwear3F	Traje de baño muy adornado para jóvenes. El hermoso lazo\nde la parte frontal está sujeto muy firmemente.
MAID_Exercisewear	Ropa deportiva
MAID_H_Exercisewear	Ropa diseñada por la tienda de accesorios para el ejercicio, fabricada\ncon un material duradero que seca el sudor de forma natural.
MAID_NormalGlasses	Lentes simples
MAID_H_NormalGlasses	Instrumento óptico creado por hábiles artesanos de Elusia.\nLos lentes están pulidos para ser tan claros como el hielo.
MAID_LowerEdgeGlasses	Lentes cuadrados
MAID_H_LowerEdgeGlasses	Unos lentes cuya montura no molesta al mirar hacia arriba.\nLos suele llevar gente que quiere presumir sus ojos.
MAID_BigSunglasses	Lentes grandes
MAID_H_BigSunglasses	Lentes que protegen del sol. Gracias a su gran tamaño,\ncubren los ojos por completo y permiten ir de incógnito.
MAID_BlackTabbyGlasses	Lentes gruesos
MAID_H_BlackTabbyGlasses	Modelo con montura negra y gruesa que puede molestar en las orejas\nsi se lleva mucho tiempo, aunque para alguna gente vale la pena.
MAID_ColoredSunglasses	Lentes tintados
MAID_H_ColoredSunglasses	Unos lentes de sol con cristales degradados de color marrón.\nNo protegen de la luz tanto como otros, pero quedan bien.
MAID_SkullMask	Calavera
MAID_H_SkullMask	Peculiar máscara con el diseño de una calavera. Los habitantes de Solm\nlas decoran con sus propios diseños y se las ponen para un festival.
MAID_FancyDressMask	Antifaz
MAID_H_FancyDressMask	Complemento que se lleva en los bailes de máscaras de Firene\ndonde gente de todo tipo se junta de forma anónima.
MAID_Eyepatch	Parche
MAID_H_Eyepatch	Se usa para ocultar un ojo. Se cree que los primeros que empezaron a\nusarlo fueron los soldados de Brodia para esconder sus heridas de guerra.
MAID_Mascot_SilkHat	Sombrero de copa
MAID_H_Mascot_SilkHat	Para el espíritu guardián más perceptivo. Este elegante tocado\nda un aire distinguido e incluso realza la postura de quien lo lleva.
MAID_Mascot_Sunglasses	Lentes de sol
MAID_H_Mascot_Sunglasses	Complemento indispensable para soportar con estilo el calor estival.\nPara el espíritu guardián que quiere acentuar su lado más fabuloso.
MAID_Mascot_Flower	Guirnalda floral
MAID_H_Mascot_Flower	Elaborada con flores del prado donde a \x0E\x06\x05\x00 le gusta sestear.\nSu delicado aroma tiene el don de aportar sensación de tranquilidad.
MAID_Mascot_Wig	Peluca bicolor
MAID_H_Mascot_Wig	Peluca que imita el estilo de \x0E\x06\x03\x00. Aparte de si le queda\nbien o no, está claro que a \x0E\x06\x05\x00 le encanta llevarla.
MAID_Mascot_Eyebrows	Cejas vistosas
MAID_H_Mascot_Eyebrows	Imponentes cejas que llevan la comunicación facial al siguiente nivel.\nCon ellas, no quedará duda de si \x0E\x06\x05\x00 se ha sorprendido.
MAID_Mascot_Butterfly	Mariposa
MAID_H_Mascot_Butterfly	Una mariposa se ha posado sobre la cola de \x0E\x06\x05\x00 y allí\nse ha quedado. Está tan quieta que hay quien duda de si será de verdad.
MAID_Mascot_Ribbon	Lazo trasero
MAID_H_Mascot_Ribbon	Es tan ligero que \x0E\x06\x05\x00 incluso olvida que lo lleva.\nEs divertido ver sus saltos de sorpresa cada vez que vuelve a verlo.
MAID_Mascot_Bell	Cascabel
MAID_H_Mascot_Bell	Lazo hecho con un cordón blanco y rojo. Tiene prendido un cascabel\nque emite un alegre tintineo al correr o caminar.
MAID_Mascot_Feather	Alas lanudas
MAID_H_Mascot_Feather	Hechas de ligerísimas plumas, parecen flotar con la brisa. ¡Pero cuidado!\nQuien las lleve jamás debería olvidar que no permiten volar.
MAID_Mascot_BackAcce	Atuendo formal
MAID_H_Mascot_BackAcce	Atuendo al estilo del Dragón Divino adaptado especialmente para el\nespíritu guardián, que lo lleva con orgullo y algo de nostalgia.
MAID_Costume_Marth	Estilo Marth
MAID_H_Costume_Marth	Inspirado en Marth, el Emblema de los Orígenes. Héroe entre héroes.
MAID_Costume_Siglud	Estilo Sigurd
MAID_H_Costume_Siglud	Inspirado en Sigurd, el Emblema de la Guerra Santa.\nCaballero de corazón puro que desciende de un poderoso linaje.
MAID_Costume_Celica	Estilo Celica
MAID_H_Costume_Celica	Inspirado en Celica, el Emblema de los Ecos.\nPrincesa de un país próspero.
MAID_Costume_Micaiah	Estilo Micaiah
MAID_H_Costume_Micaiah	Inspirado en Micaiah, el Emblema del Alba.\nPoseedora de misteriosos poderes.
MAID_Costume_Roy	Estilo Roy
MAID_H_Costume_Roy	Inspirado en Roy, el Emblema del Sello. Un noble valiente e inteligente.
MAID_Costume_Lin	Estilo Lyn
MAID_H_Costume_Lin	Inspirado en Lyn, el Emblema de la Llama. Diestra espadachina\nque procede de una tribu nómada de las llanuras.
MAID_Costume_Ike	Estilo Ike
MAID_H_Costume_Ike	Inspirado en Ike, el Emblema del Resplandor.\nFamoso jefe de un grupo mercenario con una fuerza sin igual.
MAID_Costume_Lucina	Estilo Lucina
MAID_H_Costume_Lucina	Inspirado en Lucina, el Emblema del Despertar.\nPrincesa que nunca se rinde y cree que es posible cambiar el destino.
MAID_Costume_Leaf	Estilo Leif
MAID_H_Costume_Leaf	Inspirado en Leif, el Emblema de la Genealogía.\nPríncipe valeroso por cuyas venas corre la sangre de dos cruzados.
MAID_Costume_Kamui	Estilo Corrin
MAID_H_Costume_Kamui	Inspirado en Corrin, el Emblema de los Sinos.\nPrincesa que desciende de Dragones Primigenios.
MAID_Costume_Eirik	Estilo Eirika
MAID_H_Costume_Eirik	Inspirado en Eirika, el Emblema de lo Sagrado.\nPrincesa compasiva que blande su espada para lograr la paz.
