MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x0A\x08リュール\nHola, Rosado.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08リュール\nTe sigo, Rosado.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x0A\x08リュール\nRosado, tu último paisaje es portentoso.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\nLo he visto expuesto en la cafetería. Todo el\nmundo se quedaba mirándolo boquiabierto.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08ロサード\n¡Cuánto me alegro! ¿Ves como\nla caminata valió la pena?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リュール\nSí, aunque casi me ahogo en el río\naquel que tuvimos que cruzar.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リュール\n¿Y recuerdas la manada de lobos que nos\nperseguía? ¡Pensé que nos iban a comer!\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08リュール\nPor fortuna, ya no son más que anécdotas del\nviaje. Aquella vista lo compensó todo, sin duda.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ロサード\nGracias por haberme acompañado.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ロサード\nSin ti, nunca habría dibujado ese paisaje.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リュール\nOye, quería preguntarte... ¿Lo único que\nte apasiona de pintar son las "cosas lindas"?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ロサード\n¿Cómo?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08リュール\nEs que, viéndote dibujar, el otro día pensé\nque no solo disfrutabas del reconocimiento.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ロサード\nSupongo... ¿que sí?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ロサード\nEl mundo está lleno de rincones hermosos, pero\nmucha gente solo llega a ver una pequeña parte.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リュール\nCierto. Visitarlos todos resultaría\nuna misión imposible.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ロサード\nY eso es una lástima, ¿no crees?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ロサード\nQue existan cosas únicas, diferentes y llenas\nde belleza... para las que no tenemos ni nombre.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08ロサード\nSi puedo llevarle al público una pizca de toda\nla diversidad que alberga el mundo, seré feliz.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ロサード\nAsí habré contribuido a fomentar el interés\ny el respeto por lo diferente.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08リュール\nExhibir lo desconocido para abrir mentes...\nNo te tenía por un pensador tan profundo.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ロサード\n¡Ja! Quizá solo lo digo para impresionarte.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リュール\nSé que no es así... Te respeto mucho, Rosado.\nMás, si cabe, ahora que te conozco mejor.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08ロサード\nGracias. Tus palabras me llenan de orgullo.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ロサード\n¿Me acompañarás la próxima vez que busque\nalgún nuevo paisaje que dibujar?\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08リュール\nMe encantaría. ¡Estoy deseando ver qué nueva\nmaravilla me muestras!\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x0A\x08ロサード\nBuenas, Divinidad.\nMe encuentras adorable, ¿no?\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リュール\nTotalmente. Eres encantador.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08ロサード\nMe alegra que estemos de acuerdo.\nEso simplifica las cosas.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08ロサード\nComo ahora mismo soy la persona más linda\nque conoces, quería regalarte una cosa.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08リュール\nPues... está bien.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08ロサード\nAquí tienes. ¿Qué te parece, Divinidad?\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リュール\n¿Una horquilla para el cabello? Qué bonita.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08ロサード\nY de la mejor calidad. Me la traje de mi tierra,\nla aldea de las hadas.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08リュール\nTe lo agradezco, pero ¿cómo es que te ha dado\npor regalármela?\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08ロサード\nPorque, cuando te la pongas, tú mism\x0E\x0A\x00\x08\x02o\x02a te verás\ncomo la persona más adorable a la que conoces.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リュール\n¿\x0E\x0A\x00\x0C\x04El\x04La más adorable? ¿Yo?\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08ロサード\nExacto. Como experto que soy en la materia,\nsé bien de lo que hablo.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0A\x08ロサード\nDe hecho, no solo tú te considerarías\n\x0E\x0A\x00\x0C\x04el\x04la más adorable: yo también.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08リュール\n(...)\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08ロサード\nSeguro que sabes lo que me cuesta admitirlo.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08ロサード\nPero es lo que hay. Fíjate si eres especial\npara mí, Divinidad.\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nQué lindo.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08ロサード\n¿Cómo?\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nMe alegra que hayas sacado el tema, Rosado,\nporque el sentimiento es mutuo.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nEres mi mejor amigo y me considero afortunad\x0E\x0A\x00\x08\x02o\x02a\nde formar parte de tu vida.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08ロサード\nAy, Divinidad...\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08リュール\nPor eso... yo también quiero hacerte un regalo.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08ロサード\n¿El Anillo del Pacto? ¡Con lo valioso que es!\n¿Seguro que estás dispuest\x0E\x0A\x00\x08\x02o\x02a a entregármelo?\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nNo bastaba con cualquier cosa bonita.\nEste gesto refleja mejor lo que siento.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08ロサード\nEn tal caso, lo acepto con gusto. Es un anillo\nmuy bonito, como cabía esperar viniendo de ti.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0A\x08ロサード\nY, como pega con todo, pienso lucirlo\nallá adonde vaya.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0A\x08リュール\nNada me haría más feliz.\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0A\x08ロサード\nSirva este anillo como símbolo de nuestra\namistad eterna, \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x0A\x08ロサード\nMientras lo lleve puesto, sabrás que puedes\ncontar conmigo pase lo que pase.\x0E\x04\x00\x00
