MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nHas progresado mucho en el campo de batalla.\nNoto una mejora ostensible de tus habilidades.\x0E\x04\x00\x00
MID_GR_Chloe_A_#004	\x0E\x03\x02\x08\x06クロエ\nMe parece un buen enfoque. Pelearé sabiendo\nque me respaldan mis amigos, incluido tú.\x0E\x04\x00\x00
MID_GR_Diamand_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nConque eres el Emblema Héctor...\nTu mera presencia transmite confianza.\x0E\x04\x00\x00
MID_GR_Diamand_C_#002	\x0E\x03\x02\x0A\x08ヘクトル\nGracias. ¡Te demostraré que mi armadura\ny mi hacha no son de atrezo!\x0E\x04\x00\x00
MID_GR_Diamand_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\n¡Con qué maestría aprovechas tu peso\nen combate! Podríamos pelear alguna vez.\x0E\x04\x00\x00
MID_GR_Diamand_B_#002	\x0E\x03\x02\x0A\x08ヘクトル\nTú también te desenvuelves de maravilla.\nMe recuerdas a un buen amigo mío.\x0E\x04\x00\x00
MID_GR_Diamand_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nPese a todas las batallas que he librado, aún\ndudo si algún día estaré a la altura de mi padre.\x0E\x04\x00\x00
MID_GR_Diamand_A_#002	\x0E\x03\x02\x0A\x08ヘクトル\nYa lo estás. Solo con verte atacar, queda claro\nque tienes las hechuras de un magnífico rey.\x0E\x04\x00\x00
MID_GR_Diamand_A_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nTe lo agradezco. Por encima de todo, deseo que\nmi poder contribuya al progreso de mi reino.\x0E\x04\x00\x00
MID_GR_Diamand_A_#004	\x0E\x03\x02\x0A\x08ヘクトル\nCon esa forma de pensar, me apunto a la causa\nde cabeza. ¡Cómo admiro tus ideales!\x0E\x04\x00\x00
MID_GR_Umber_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08アンバー\nEstá claro que eres especial, Héctor,\npero tu hacha lo es aún más. ¡Parece legendaria!\x0E\x04\x00\x00
MID_GR_Umber_C_#002	\x0E\x03\x02\x0A\x08ヘクトル\n¡Buena observación! Esta hacha tiene su\nhistoria... que también incluye pasajes oscuros.\x0E\x04\x00\x00
MID_GR_Umber_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nSe te dan bien los animales. A mí, al revés:\n¡una vez me cayó encima un caballo con alas!\x0E\x04\x00\x00
MID_GR_Umber_B_#002	\x0E\x03\x02\x0A\x08アンバー\n¿Un caballo con alas? ¡Ah, un pegaso! Los amo,\ny eso que me he llevado más de una patada...\x0E\x04\x00\x00
MID_GR_Umber_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nTú participaste en algún torneo, ¿no es cierto?\nApuesto a que tuviste una competencia feroz.\x0E\x04\x00\x00
MID_GR_Umber_A_#002	\x0E\x03\x02\x0A\x08アンバー\nAsí es. Con arrojo, quedé en segunda posición\n¡y me nombraron vasallo del príncipe Diamant!\x0E\x04\x00\x00
MID_GR_Umber_A_#003	\x0E\x03\x02\x0A\x08アンバー\nYa que sacas el tema, imagino que te divierte\nlo de luchar en torneos, ¿no?\x0E\x04\x00\x00
MID_GR_Umber_A_#004	\x0E\x03\x02\x0A\x08ヘクトル\n¡Claro! En mi mundo, nos pasábamos los ratos\nlibres peleando en el coliseo. ¡Qué recuerdos!\x0E\x04\x00\x00
MID_GR_Jade_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nMe siento honrada de luchar a su lado,\nlord Héctor. Prometo que no lo decepcionaré.\x0E\x04\x00\x00
MID_GR_Jade_C_#002	\x0E\x03\x02\x0A\x08ヘクトル\nNo te pongas tan formal, que somos aliados.\nPuedes relajarte.\x0E\x04\x00\x00
MID_GR_Jade_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nEstoy pasando por un bache creativo.\n¿Me hablarías de tu mundo para inspirarme?\x0E\x04\x00\x00
MID_GR_Jade_B_#002	\x0E\x03\x02\x0A\x08ヘクトル\nSin problema. A ver... ¡Te contaré la primera vez\nque entrené con mi amigo Eliwood!\x0E\x04\x00\x00
MID_GR_Jade_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nTú ganaste un torneo de lucha, ¿verdad?\n¿Cómo lograste derrotar a todos tus rivales?\x0E\x04\x00\x00
MID_GR_Jade_A_#002	\x0E\x03\x02\x0A\x08ジェーデ\nMi punto fuerte es la defensa. Bastó con detener\nsus ataques y responder a la mínima ocasión.\x0E\x04\x00\x00
MID_GR_Jade_A_#003	\x0E\x03\x02\x0A\x08ヘクトル\nBuena táctica. Gracias a esta armadura, lo mío\ntambién es la defensa. ¿Nos batimos en duelo?\x0E\x04\x00\x00
MID_GR_Jade_A_#004	\x0E\x03\x02\x0A\x08ジェーデ\nPara mí, entrenar contigo sería el mayor\nde los honores, Héctor. Comencemos.\x0E\x04\x00\x00
MID_GR_Staluke_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nEl príncipe Alcryst, ¿verdad? Yo soy Héctor.\n¡Espero que nos entendamos en combate!\x0E\x04\x00\x00
MID_GR_Staluke_C_#002	\x0E\x03\x02\x0C\nスタルーク\nCuánta efusividad hacia alguien tan inhábil\ncomo yo... No me lo esperaba.\x0E\x04\x00\x00
MID_GR_Staluke_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nSi tienes tiempo, te reto a un duelo.\nMe gustaría dar unos cuantos hachazos.\x0E\x04\x00\x00
MID_GR_Staluke_B_#002	\x0E\x03\x02\x0C\nスタルーク\nImagino que mi aislamiento ha despertado\ntu empatía. Me postro ante tu bondad, Héctor.\x0E\x04\x00\x00
MID_GR_Staluke_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nPosees mucho más talento del que te otorgas.\nLo sabes, ¿verdad?\x0E\x04\x00\x00
MID_GR_Staluke_A_#002	\x0E\x03\x02\x0C\nスタルーク\nMe congratula que lo pienses,\naunque palidezco al lado de mi hermano.\x0E\x04\x00\x00
MID_GR_Staluke_A_#003	\x0E\x03\x02\x0A\x08ヘクトル\nSé lo que sientes; yo también tenía un hermano\nmayor. Pero no olvides tus puntos fuertes.\x0E\x04\x00\x00
MID_GR_Staluke_A_#004	\x0E\x03\x02\x0C\nスタルーク\nHéctor... Te lo agradezco. Me esforzaré\npor decepcionarte lo mínimo posible.\x0E\x04\x00\x00
MID_GR_Lapis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x08\x06ラピス\nEstás hecho un armario, Héctor. Me recuerdas\nal oso más grande al que me enfrenté.\x0E\x04\x00\x00
MID_GR_Lapis_C_#002	\x0E\x03\x02\x0A\x08ヘクトル\nEs un cumplido, ¿no? El caso es que una vez\nsobreviví al choque contra un caballo alado.\x0E\x04\x00\x00
MID_GR_Lapis_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x08\x06ラピス\nTienes la armadura plagada de arañazos.\nSerá de llevarla puesta siempre, como yo.\x0E\x04\x00\x00
MID_GR_Lapis_B_#002	\x0E\x03\x02\x0A\x08ヘクトル\nSí, ya forma parte de mí. En mi mundo,\nme protegió de los asesinos del Colmillo Negro.\x0E\x04\x00\x00
