MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x06\x04エル\nEn la última batalla rendiste a un gran nivel, Ike.\nParece obvio que eres muy fuerte.\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x08\x06アイク\nMentiría si lo negase, aunque diría que algunos\nde mis compañeros sufrieron más que yo.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x08\x06アイク\nYo me limitaba a seguir el camino que creía\ncorrecto. Sin ellos, no habría conseguido nada.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nPara ti, tus amigos son lo primero, ¿verdad?\nContigo a mi lado, puedo luchar hasta el final.\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x0C\nグレゴリー\n¡Eh, tú! ¡El de la cinta en la cabeza!\n¡Has peleado de maravilla, en serio!\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x08\x06アイク\n¿"El de la cinta"? Ah, esto...\nPor cierto, llámame Ike.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x0C\nグレゴリー\nGracias por rescatarme antes. De no ser por ti,\nme habría metido en un buen lío...\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x08\x06アイク\nNo fue nada. Además, parecía que lo tenías\ntodo controlado.\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x0C\nグレゴリー\nNo sabes cuánto detesto pelear. Estoy harto de\npasar miedo y sufrir calamidades de todo tipo.\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x08\x06アイク\nY aun así no dudas en darlo todo en\nel campo de batalla. Muestras gran arrojo.\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x0C\nグレゴリー\nNo creas; lo hago porque no me queda más\nremedio. En el fondo, solo soy un cobarde.\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x08\x06アイク\nFaltas a la verdad. Eres un aliado muy valioso;\nconfiaré en ti hasta el final.\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x08\x06アイク\nLa soltura con la que te manejas en combate\nrevela mucha práctica.\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x0C\nマデリーン\n¡Entreno a diario! Mis padres eran caballeros\ninigualables. Quiero que se enorgullezcan de mí.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x0C\nマデリーン\n¡Tu fuerza es impresionante! ¿Sigues algún tipo\nde entrenamiento específico?\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x08\x06アイク\nNo... Hago lo mismo que tú: practico a diario,\nesforzándome por llegar a la altura de mi padre.\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x08\x06アイク\nTe has batido con una temeridad insólita.\n¿Ha ocurrido algo? Si es así, puedes decírmelo...\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x0C\nマデリーン\nCreo que me ha podido la impaciencia. Deseo\nconvertirme cuanto antes en una gran caballero.\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x08\x06アイク\nBien, pero no te excedas. Es importante conocer\ntus límites para seguir progresando.\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x0C\nマデリーン\nSí, me parece que tienes razón. Si no te importa,\n¿podrías ser mi tutor de ahora en adelante?\x0E\x04\x00\x00
