MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x06\x04エル\nTe comportas con más gracia y decoro que yo...\nMe gustaría aprender de ti.\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nラファール\n¿Alguna vez te peleabas con tu hermano? Antes\nodiaba a Nel, pero eso es cosa del pasado.\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x0C\nエイリーク\nSiempre le gustó bastante hacerme rabiar,\npero nunca dejé de quererlo por eso.\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x0C\nエイリーク\nSi tanto te preocupa tu relación con Nel,\nhabla con ella. Al fin y al cabo, son familia.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x0C\nラファール\nNo, en realidad ya no discutimos... Pero, si en\nel futuro surge algún problema, recurriré a ti.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nPareces un tanto tímida, Eirika. Creo que\npodrías mostrarte más firme y decidida.\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x0C\nエイリーク\n¿Es necesario? Me contento con intentar\nayudarlos a todos en lo que necesiten.\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nMe gustaría saludar a tu hermano también,\npero solo lo veo en las batallas. ¿Cómo es?\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x0C\nエイリーク\nEphraim es fuerte y amable, pero se empeña\nen tratarme como si fuera una niña.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nMis aliados son como mi verdadera familia.\nHaría lo que fuera con tal de verlos a salvo.\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x0C\nエイリーク\nComparto tu punto de vista, y creo que\nes un ideal que nos hace más fuertes.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x0C\nエイリーク\nSiempre que necesites proteger a tus seres\nqueridos, ahí estaré, Zelestia. Cuenta conmigo.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nGracias. Pero has de saber que a ti también\nquiero protegerte, Eirika. Para mí eres familia.\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nQué ropajes tan llamativos, Gregory...\n¿Son un atuendo típico de tu patria?\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x0C\nグレゴリー\nNo... El motivo no tiene nada de exótico. Solo\nme visto así para asustar a nuestros enemigos.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nDudo que necesites ataviarte de forma especial\npara ahuyentar al enemigo. Fuerza no te falta...\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x0C\nグレゴリー\nGracias, aunque estoy seguro de que, si me\nataviara a mi gusto, no parecería muy temible...\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nグレゴリー\nAfirmas que soy fuerte, Eirika, pero creo que\nme valoras en exceso. Me superan muchos...\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x0C\nエイリーク\nPermíteme que discrepe. Si fueras tan débil\ncomo aseguras, ¿seguirías luchando todavía?\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x0C\nエイリーク\nIncluso cuando huyes, es para volver a combatir\nmás adelante. Podría aprender tanto de ti...\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x0C\nグレゴリー\nMe halagas. Y, cuando me confío demasiado,\ntiendo a cometer errores... ¡Pero gracias aun así!\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nマデリーン\nEres una princesa, ¿verdad, Eirika? Como\ncaballero, ¡espero aprender mucho de ti!\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x0C\nエイリーク\nSí, pero trátame sin formalismos. Aquí solo soy\ntu aliada: luchamos hombro con hombro.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nマデリーン\nProcuro estar siempre alerta, como buena\ncaballero, pero tu amabilidad me desarma...\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x0C\nエイリーク\nA falta de fuerza física, poseo otras virtudes.\nLa cuestión es ser fiel a una misma.\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nマデリーン\nHe visto todo tipo de nobles. Unos muy dignos,\notros muy amables, como tú y el Dragón Divino.\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x0C\nマデリーン\nResulta difícil saber cómo debo comportarme...\nAspiro a que toda la nobleza confíe en mí.\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x0C\nエイリーク\nNo creo que haga falta darle tantas vueltas.\nBusca a alguien que congenie contigo y ayúdale.\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x0C\nエイリーク\nSi esa persona confía en ti, ya la imitarán otros.\nAsí es como una logra rodearse de aliados.\x0E\x04\x00\x00
