MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ユナカ\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08セアダス\nYunaka, he oído que sabes\nhacer imitaciones, ¿es verdad?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08セアダス\nAunque aún no hemos ensayado el baile,\nestoy seguro de que lo harás bien, Yunaka.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08セアダス\nNo es fácil montar un espectáculo en tiempos\ntan difíciles. Te sientes culpable por divertirte...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08セアダス\npero la gente necesita distraerse\ny recordar que aún se puede ser feliz.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08セアダス\nEste espectáculo tiene que ser un éxito\npor el bien de todos. ¿Me ayudarás?\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06ユナカ\nEntiendo lo que dices y lo respeto.\nDe acuerdo, lo haré lo mejor que pueda.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08セアダス\nGracias. No puedo hacerlo sin ti, Yunaka.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08セアダス\nJuntos lograremos que este espectáculo\nsea memorable.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ユナカ\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x08\x06ユナカ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08セアダス\n¿Qué ocurre, Yunaka?\n¿Qué ha sido de tu alegría desbordante?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06ユナカ\nNo puedo hacerlo.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06ユナカ\n¡No puedo actuar delante de tanta gente!\nMe voy, lo siento.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08セアダス\n¡¿Cómo?!\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08セアダス\nAntes estabas totalmente emocionada\npor salir al escenario. ¿Qué ha pasado?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06ユナカ\nPorque me elegiste como protagonista\ny me dijiste muchas cosas halagadoras...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06ユナカ\nNunca he tenido a tanta gente\ndependiendo de mí. ¿Y si las decepciono?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06ユナカ\nHan venido a divertirse. ¿Podrán disfrutar\nde la obra con alguien como yo en escena?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08セアダス\nYunaka, ¿acaso no disfrutaste actuando\ny bailando en los ensayos?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06ユナカ\nClaro que disfruté.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08セアダス\nEn ese caso, si tú disfrutas en el escenario,\nel público también lo hará.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08セアダス\nSi no confías en ti misma,\n¿al menos podrías confiar en mí?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08セアダス\nTe prometo que todo el mundo\nse la va a pasar genial.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06ユナカ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08セアダス\nTengo los ojos cerrados...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08セアダス\nAquí está mi mano. Si confías en mí,\ntómala y no la sueltes nunca.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06ユナカ\nEsas son tus líneas... ¿Por qué...?\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08セアダス\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06ユナカ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06ユナカ\nSi esto es lo que quieres realmente...\nEstoy dispuesta a confiar en ti.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08セアダス\nGracias por darme la mano.\nTu destino es subir a ese escenario, Yunaka.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06ユナカ\nTe veo tan seguro\nque eso me hace sentir mejor.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08セアダス\nPronto todos verán la talentosa actriz\nque sé que eres.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06ユナカ\nGracias, Seadall.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06ユナカ\nVamos, no les hagamos esperar más.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06ユナカ\nHa venido mucha gente dispuesta\na divertirse.\x0E\x04\x00\x00
