MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nマデリーン\x022\n\x0E\x03\x02\x0A\x08リュール\nGracias por entrenar conmigo, Madeline.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nマデリーン\nNo, más bien al contrario: pensaba en lo feliz\nque me siento por estar en su mundo.\x0E\x04\x02\x00
MID_RELIANCE_A_#007	Mentiría si dijera que no tenía mis dudas\ny reservas.\x0E\x04\x02\x00
MID_RELIANCE_A_#008	Pero, al estar aquí con usted, sé que lograré\nconvertirme en la caballero de mis sueños.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リュール\nMe alegra oírte decir eso.\x0E\x04\x02\x00
MID_RELIANCE_A_#010	Y lamento haberte pedido que abandonaras\ntu hogar.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nマデリーン\nNo se disculpe. Desde que llegué,\nhe madurado mucho, y ahora...\x0E\x04\x02\x00
MID_RELIANCE_A_#012	¡Argh!\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\n¡Un insecto! Tranquila, Madeline, yo me ocupo.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nマデリーン\nNo... Permítame a mí.\x0E\x04\x02\x00
MID_RELIANCE_A_#015	Sé que puedo hacerlo...\n¡Fuera! ¡Chu, chu!\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08リュール\n¡Bravo! Has estado genial.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nマデリーン\nUf... No sabe el miedo que he pasado...\x0E\x04\x02\x00
MID_RELIANCE_A_#018	Pero no tanto como la última vez, que conste.\x0E\x04\x02\x00
MID_RELIANCE_A_#019	Me alegro de estar aquí, y de aprender a superar\nmis miedos junto a aliados que adoro y respeto.\x0E\x04\x02\x00
MID_RELIANCE_A_#020	De no haber viajado a este mundo,\ndudo mucho que hubiera mejorado tanto.\x0E\x04\x02\x00
MID_RELIANCE_A_#021	Y a eso es a lo que me refería antes, Divinidad.\nGracias por todo.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08リュール\nGracias a ti por ser tan buena caballero\ny compañera de práctica.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nマデリーン\nJa, ja. Sí, intentaré sobresalir siempre\nen ambas cosas.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08リュール\nNo lo dudo ni por un segundo.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nマデリーン\x022\n\x0E\x03\x02\x0A\x08リュール\nMadeline, ¿qué haces despierta tan tarde?\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0C\nマデリーン\nOh, hola, Divinidad. Es que... no consigo dormir.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08リュール\nVaya, lo siento. ¿Hay algo que te preocupe?\x0E\x04\x02\x00
MID_RELIANCE_S_#004	No quiero ser \x0E\x0A\x000\x16entrometido\x16entrometida, pero, cuando algo\nme aflige, me ayuda desahogarme con alguien.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0C\nマデリーン\nSí, supongo que tiene razón.\x0E\x04\x02\x00
MID_RELIANCE_S_#006	El caso es que... no dejo de pensar en Mauvier.\nEn el de mi mundo, claro.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リュール\nAh, ya veo...\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0C\nマデリーン\nNo es que me arrepienta de haber venido aquí,\npero siento como si le hubiera fallado.\x0E\x04\x02\x00
MID_RELIANCE_S_#009	Si hubiera visto aquel bastón de teletransporte\nantes... Si hubiera sido lo bastante fuerte...\x0E\x04\x02\x00
MID_RELIANCE_S_#010	Quizá él aún seguiría entre nosotros.\x0E\x04\x02\x00
MID_RELIANCE_S_#011	Estos pensamientos me atormentan noche\ntras noche cuando intento dormir.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リュール\nMadeline...\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0C\nマデリーン\nPerdón, ignore lo que he dicho.\nSé que no sirve de nada darle más vueltas.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08リュール\nQuizá, pero sé cómo te sientes. Yo también\nme lamento por lo sucedido a mi madre.\x0E\x04\x02\x00
MID_RELIANCE_S_#015	Cuanto más intento reprimir esos pensamientos,\ncon más fuerza surgen en mi mente.\x0E\x04\x02\x00
MID_RELIANCE_S_#016	Pero no te preocupes: puedes venir a verme\nsiempre que la estés pasando mal.\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0C\nマデリーン\nSe lo agradezco, pero no me resulta tan fácil\ncomo venir a entrenar con usted.\x0E\x04\x02\x00
MID_RELIANCE_S_#018	Usted es el Dragón Divino y yo, una caballero.\nNo puedo pedirle que comparta mi tragedia.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nQuizá no pensarías lo mismo si en lugar de ser\nuna simple caballero fueras... mi caballero.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0C\nマデリーン\n¿Disculpe?\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nSiento soltártelo así, de repente, pero es algo\nque llevo sopesando desde hace algún tiempo.\x0E\x04\x02\x00
MID_RELIANCE_S_#022	Eres servicial, intrépida, digna de confianza...\n¿Quién mejor que tú para ser mi mano derecha?\x0E\x04\x02\x00
MID_RELIANCE_S_#023	De este modo, yo también podré prestarte\nmi ayuda. Así que, por favor, acepta esto.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0C\nマデリーン\n¡El Anillo del Pacto! Pero, Divinidad...\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\nMauvier siempre guardará un lugar especial\nen tu corazón, y no quiero que eso cambie.\x0E\x04\x02\x00
MID_RELIANCE_S_#026	Tu lealtad hacia él es infinita, y jamás osaría\npedirte que te desprendieras de ella.\x0E\x04\x02\x00
MID_RELIANCE_S_#027	Te ofrezco este anillo para que veas que eres\ntan importante para mí como él lo es para ti.\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0C\nマデリーン\nOh...\x0E\x04\x02\x00
MID_RELIANCE_S_#029	No puedo expresar con palabras\nlo feliz que me siento.\x0E\x04\x02\x00
MID_RELIANCE_S_#030	Pero... ¿de verdad puedo aceptar\nsu ofrecimiento?\x0E\x04\x00\x00
MID_RELIANCE_S_#031	\x0E\x03\x02\x0A\x08リュール\nSolo tú puedes responder a eso.\x0E\x04\x00\x00
MID_RELIANCE_S_#032	\x0E\x03\x02\x0C\nマデリーン\n(...) Tiene razón...\x0E\x04\x02\x00
MID_RELIANCE_S_#033	Mauvier me dijo que quería que fuera feliz.\x0E\x04\x02\x00
MID_RELIANCE_S_#034	Si en estos momentos está velando por mí,\naceptará cualquier decisión que tome.\x0E\x04\x02\x00
MID_RELIANCE_S_#035	Así que... Divinidad...\x0E\x04\x02\x00
MID_RELIANCE_S_#036	Sí, ¡acepto este anillo y servirle como caballero!\x0E\x04\x00\x00
MID_RELIANCE_S_#037	\x0E\x03\x02\x0A\x08リュール\nGracias, Madeline. \x0E\x0A\x00\x1C\x0CJuntos\x0CJuntas nos enfrentaremos\nsin temor a lo que nos depare el futuro.\x0E\x04\x00\x00
MID_RELIANCE_S_#038	\x0E\x03\x02\x0C\nマデリーン\nSí, y yo prometo convertirme en una caballero\ndigna de este honor.\x0E\x04\x00\x00
MID_RELIANCE_S_#039	\x0E\x03\x02\x0C\nマデリーン\nMe haré más fuerte para proteger\x0E\x0A\x00\x0C\x04lo\x04la y que\npodamos disfrutar de una vida larga y feliz.\x0E\x04\x00\x00
