MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x12\x0Cオルテンシア\x022\n\x0E\x03\x02\x0C\nスタルーク\nPrincesa Hortensia, ¿tendrías un momento?\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0C\nスタルーク\nNo me creo que haya tenido el descaro\nde pedírtelo. Qué bochorno... Te dejo en paz.\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x01\x0C\nスタルーク\n\x0E\x03\x02\x0E\x0Cオルテンシア\n¡Espera! ¡Yo no he dicho eso!\x0E\x04\x00\x00
MID_RELIANCE_C_#024	\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x02\x0C\nスタルーク\nNo pasa nada, de verdad.\nOlvidemos esta conversación.\x0E\x04\x00\x00
MID_RELIANCE_C_#025	\x0E\x03\x02\x0C\nスタルーク\nNo volveré a molestarte de nuevo con\nmis patéticas aflicciones. Te doy mi palabra.\x0E\x04\x00\x00
MID_RELIANCE_C_#026	\x0E\x03\x01\x0C\nスタルーク\n\x0E\x03\x02\x0E\x0Cオルテンシア\n¡Espera! ¡Príncipe Alcryst!\x0E\x04\x00\x00
MID_RELIANCE_C_#027	\x0E\x03\x02\x0E\x0Cオルテンシア\nY yo que creí que se ofendería y me soltaría\nalgún improperio. Está peor de lo que pensaba...\x0E\x04\x00\x00
MID_RELIANCE_C_#028	\x0E\x03\x02\x0E\x0Cオルテンシア\nTendré que cambiar de estrategia\nla próxima vez que hablemos.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x12\x0Cオルテンシア\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nPríncipe Alcryst.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nスタルーク\n(...)\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\n¡Oye, sé que me estás oyendo!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nスタルーク\n¡Princesa Hortensia!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nスタルーク\nPor favor, no hables conmigo.\nSolo servirá para amargarte el día.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cオルテンシア\nSiempre tan alegre y positivo, ¿eh?\nPues justo de eso quería hablar contigo.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cオルテンシア\nVoy a conseguir que empieces a confiar\nen ti mismo, tal y como me pediste.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nスタルーク\n¿Qué? ¿¡De verdad!? ¡Oh, gracias!\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nスタルーク\n¿Qué te ha hecho cambiar de opinión?\nLa otra vez, parecías muy reacia...\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cオルテンシア\nEstaba bromeando, pero se me fue\nde las manos. Perdona.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cオルテンシア\nAunque no me guste Brodia,\ntú y yo somos amigos.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cオルテンシア\nY, cuando un amigo está en apuros,\ntienes que ayudarlo. No hay más.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nスタルーク\nHortensia, yo... Yo...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0E\x0Cオルテンシア\nOye, ¿a qué vienen esos lagrimones?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cオルテンシア\nEstás tan adorable cuando te pones así...\nBueno, ¿qué? ¿Empezamos?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nスタルーク\nN-no, no te acerques más.\nY tampoco me mires así, por favor...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0E\x0Cオルテンシア\n¿Eh?\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cオルテンシア\n¿Se puede saber qué pasa ahora?\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cオルテンシア\n¿¡Tanta historia para al final\nrechazar mi ofrecimiento!?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nスタルーク\nMe has llamado amigo...\nY has accedido a ayudarme...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nスタルーク\nPrincesa Hortensia... Eres, sin atisbo de duda,\nuna persona maravillosa.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0C\nスタルーク\nPero, cuanto más excepcional te encuentro,\nmayor es mi desesperación...\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0E\x0Cオルテンシア\n¿Cómo?\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0C\nスタルーク\nTu corazón rezuma tanta bondad... A su lado,\n¡el mío parece una excrecencia ponzoñosa!\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0C\nスタルーク\n¡Así que no te acerques a mí ¡Ten piedad!\n¡Lo siento muchísimooo!\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x01\x0C\nスタルーク\n\x0E\x03\x02\x0E\x0Cオルテンシア\nEste chico ha logrado elevar la autocrítica\na una forma de arte...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x12\x0Cオルテンシア\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nHola, príncipe Alcryst.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nスタルーク\n¡Princesa Hortensia!\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nEspera, antes de que huyas, quiero decirte\nque he decidido no intentar ayudarte más.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cオルテンシア\nHiciera lo que hiciera, dudo que empezases\na actuar con confianza de buenas a primeras.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nスタルーク\nCreo que es la decisión correcta.\nSé que fui yo quien solicitó tu ayuda, pero...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cオルテンシア\nSí, y me pareció una grosería.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nスタルーク\nTe entiendo. Y te pido disculpas de nuevo.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nスタルーク\nPara compensártelo, puedes ignorarme\npor completo de ahora en adelante.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0E\x0Cオルテンシア\nNo, me niego.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nスタルーク\n¿Eh?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cオルテンシア\nEres un pesimista redomado,\ny me temo que eso nunca va a cambiar.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0E\x0Cオルテンシア\nSeas como seas, te acepto tal cual eres.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nスタルーク\n¿Qué...?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0E\x0Cオルテンシア\nAcudiste a mí en busca de ayuda\npara superar tu falta de autoestima.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cオルテンシア\nY supongo te mueve el interés\npor relacionarte más con la gente, ¿no?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nスタルーク\nP-pues... sí.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nスタルーク\nSi creyese más en mí mismo, creo que sería\ncapaz de trabar amistades con más facilidad...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0E\x0Cオルテンシア\nEntiendo lo que dices, pero no te hace falta\ncambiar para conseguir eso.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cオルテンシア\nEs verdad que no eres la persona más positiva...\n¿Y qué? También tienes tus virtudes.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cオルテンシア\nPor eso acepto tu amistad tal y como eres.\nNo tienes que cambiar.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nスタルーク\n¿De veras? Gracias, princesa Hortensia...\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cオルテンシア\nSolo digo la verdad.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nスタルーク\nEres tan amable, y tu corazón desprende\ntanta compasión... Pero no...\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nスタルーク\nEsta vez no me apartaré de tu lado.\nCreo que por fin logro entenderte.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0E\x0Cオルテンシア\n¡Eh! ¿Qué te parece?\n¡Me estás mirando a los ojos!\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nスタルーク\nSí, quiero enmendar mis errores...\nLamento haberte rehuido de ese modo.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0E\x0Cオルテンシア\nOye, te estás acercando mucho...\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0E\x0Cオルテンシア\nE-espera, no es apropiado que un príncipe\ncomo tú me mire así...\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0E\x0Cオルテンシア\n¡Eso solo lo hago yo!\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x01\x0E\x0Cオルテンシア\n\x0E\x03\x02\x0C\nスタルーク\n¿Princesa Hortensia?\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0C\nスタルーク\nAhora sé lo que se siente al hablar conmigo...\x0E\x04\x00\x00
