MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nCielos, Lapis, ¿qué bebes?\nEl aroma es embriagador.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06ラピス\nEs decir, no le hace falta buscar hojas por ahí\ncuando puede comprar un buen té en la tienda.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06ラピス\nY lo mismo con los medicamentos: tiene todas\nlas pomadas y ungüentos que necesita, ¿no?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08セリーヌ\nEn circunstancias normales, y siempre y cuando\nreine la paz, estás sin duda en lo cierto.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08セリーヌ\nPero vivimos una época de calamidades\nen la que todo conocimiento resulta útil.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08セリーヌ\nCreo que puedo aprender mucho de ti,\ny estoy ansiosa por absorber tu sabiduría.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06ラピス\nSi así lo desea, alteza...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06ラピス\nCompartiré con usted mis experiencias\nde todos estos años...\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06ラピス\n¡Uy! Quería decir "las experiencias\nde mis amigos"...\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08セリーヌ\nEres muy amable, Lapis.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x02\x0A\x08セリーヌ\nEntonces... hay que secar la hierba y después\nvolver a humedecerla justo antes de su uso.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08セリーヌ\nEl musgo se seca y se machaca para tratar\ndolencias estomacales. Sí, diría que sí.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08セリーヌ\nY, por supuesto, con estas hojas\nse elabora ese té tan delicioso.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x08\x06ラピス\n¿Qué está anotando, princesa Céline?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08セリーヌ\nAh, hola, Lapis. Trato de preservar\ntoda la sabiduría que has compartido conmigo.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08セリーヌ\nMe preguntaba si podrías leer las notas\npara comprobar que no haya olvidado nada.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06ラピス\nClaro. Pero... ¿puedo preguntar\npor qué lo está haciendo?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08セリーヌ\nSupongo que me preparo para lo peor.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06ラピス\n¿Qué quiere decir? Tenemos reservas de sobra\ntanto de alimentos como de medicamentos...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08セリーヌ\nAh, no hablo de nosotros, sino del pueblo.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06ラピス\n¿Por qué cree que les hace falta?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08セリーヌ\nFirene es una tierra fértil, pero no podemos\ndar por sentado que siempre será así.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08セリーヌ\nToda suerte de calamidades podrían\nasolar nuestra nación.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08セリーヌ\nDe suceder algo así, tus conocimientos\nresultarían vitales.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06ラピス\nN-no sabía que tuviera planes tan grandes\ncuando me pidió que le enseñara lo que sé.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08セリーヌ\nBueno, no pretendo abusar de tu sabiduría.\nPlaneo entrevistar a otras personas también.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08セリーヌ\nBastante tienes con tus ocupaciones cotidianas,\nasí que trataré de no distraerte en exceso.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06ラピス\nNo, si no pasa nada. Es un placer ayudarla,\nasí que distráigame tanto como quiera.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06ラピス\nSi las habilidades que me permitieron sobrevivir\nen tierras inhóspitas vienen bien aquí...\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06ラピス\nPues eso, ¡que me encantaría compartirlas!\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08セリーヌ\nMil gracias, Lapis.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08セリーヌ\nAunque... pensaba que todo lo que sabes\nlo habías aprendido de tus amistades.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06ラピス\n¡¡¡Ay!!!\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06ラピス\nL-lo siento... Le he mentido.\nTodos mis conocimientos son de primera mano.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08セリーヌ\n¿De veras? No tienes por qué avergonzarte.\nLa experiencia directa es mucho más valiosa.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08セリーヌ\nEs más, agradezco de veras tu sinceridad\ny tu cooperación. Significa mucho para mí.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06ラピス\nGracias, alteza. ¡Es un honor serle de ayuda\ntanto a usted como a su pueblo!\x0E\x04\x00\x00
