MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nSe dice de ti que eres tan fuerte como decidida.\nSerá un honor trabajar contigo, Nel.\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x0A\x08シグルド\nNo. Cometiste un error y lo rectificaste.\nTienes la fuerza necesaria para guiarnos.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x0C\nラファール\nSolo no lo habría conseguido. Debo admitir\nque valoro enormemente la amistad.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nTu mirada te delata: resulta obvio que, además\nde una gran guerrera, eres justa y noble.\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nEs un honor recibir tales elogios de alguien\ncomo tú, Sigurd. Procuraré no decepcionarte.\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nYa les fallé a mis amigos en el pasado.\nNo volveré a perder a nadie jamás.\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x0A\x08シグルド\nHas sabido sobreponerte a esas tragedias.\nSé que, estén donde estén, velan por ti.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nLos Cuatro Vientos luchan con denuedo\npor la paz. Son una fuente de inspiración.\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nDesde que Mauvier nos juntó, hemos formado\nuna gran familia. Para mí no hay mayor tesoro.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x0E\x0Cセレスティア\nSé que nuestros lazos perdurarán. Aunque caiga\nalguien, seguiremos siendo los Cuatro Vientos.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0A\x08シグルド\nAhora que los conozco, puedo decir que es\nun orgullo luchar a su lado. ¡Lo daré todo!\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nEl animal de juguete en el que te fijabas antes\nme hace gracia... ¿Vas a regalárselo a alguien?\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x0C\nグレゴリー\nEste... No, es para mí. Me gustan esas cosas.\n¡Como tu caballo, Sigurd! Qué adorable...\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0C\nグレゴリー\nA veces una huida a tiempo es una victoria.\n¿De qué sirve una derrota que te cuesta la vida?\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x0A\x08シグルド\nSabias palabras, aunque no siempre es posible\nescapar. Conoces bien la crueldad de la guerra...\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nTu bondad y generosidad me hacen pensar\nque debiste vivir una infancia muy feliz.\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x0C\nグレゴリー\nPues... te equivocas. Mi niñez no fue\nprecisamente un camino de rosas.\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x0C\nグレゴリー\nMe convertí en lo que soy ahora gracias\na los Cuatro Vientos y a héroes como tú.\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x0A\x08シグルド\nMe honras con tus palabras, Gregory. Que\nnuestros caminos sigan unidos mucho tiempo.\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nHe oído que antaño protegiste tu ciudad tú sola.\nContar con alguien así resulta reconfortante.\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x0C\nマデリーン\n¡Era mi deber como caballero! Pero gracias;\njuro que me haré merecedora de tus palabras.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nTu actitud y pericia en combate son\nencomiables y dignas de una caballero.\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x0C\nマデリーン\nNo sabes cuánto agradezco oír esas palabras.\nSiempre he soñado con emular a mis padres...\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nTus padres debían ser excelentes caballeros.\n¿Siempre has querido seguir sus pasos?\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x0C\nマデリーン\nSí... Los admiraba muchísimo. Como ellos,\naspiro a sentirme orgullosa de mi cometido.\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x0A\x08シグルド\nTe sobran motivos para ello. Confío ciegamente\nen ti. Adelante, acabemos con esta guerra.\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x0C\nマデリーン\n¡Será un placer! Que nuestro vínculo sirva\npara abrir camino a un futuro más justo.\x0E\x04\x00\x00
