MID_WU_C_1_IN_#001	Con cuidado...\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#004	¡Se me olvidaba que tienes más de mil años!\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	¡Es de día! Tienes que empezar a prepararte.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	Mírate. Con la ropa arrugada,\nel cabello hecho un desastre...\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	Lo siento. Me he dejado llevar.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	Me preocupo demasiado por ti...\x0E\x04\x00\x00
MID_WU_S_1_SOON_#004	como si fueras mi hij\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	Veo que te sigue costando levantarte.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	Venir a despertarte me recuerda...\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	a cuando hacía lo mismo\npor mi familia hace años.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	Pero mis hijos ya no me necesitan.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	Así que deja que me ponga a tu servicio.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	Hasta que esta guerra termine, o hasta que\nme reúna por fin con mi difunta esposa...\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#007	Cuidaré de ti.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	Estás despiert\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	Vamos a prepararte.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	¿Mmm? Claro que no me importa.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	Al fin y al cabo, has elegido\na este viejo como compañero.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#005	Puedes contar conmigo.\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	¿Sigues profundamente dormid\x0E\x0A\x00\x08\x02o\x02a? Entonces\ncreo que voy a hacer un pequeño experimento...\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	Te lo has creído.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	Sé qué decir para despertarte.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	Estoy empezando a apreciar...\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	la naturaleza de esta relación.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	Si uso Trueno y Fuego en este metal...\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	¡tomará forma enseguida!\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	He aquí un brazalete perfectamente adecuado.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	Bastante imperfecto en comparación\ncon el Anillo del Pacto,\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	pero un buen regalo, aun así.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	Algo para que me recuerdes...\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#007	cuando ya no esté.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	Buenos días.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	Estoy listo para ayudarte en cualquier cosa\nque necesites, Divinidad.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	Debes saber que siempre te agradeceré...\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	que requieras mi fuerza.\x0E\x04\x00\x00
