MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\nAy... ¿Y ahora qué hago?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06ラピス\n¿Verdad que sí?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nフォガート\n¿Y solo has necesitado ramitas y desechos?\nAdmito que me has impresionado...\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06ラピス\nSi usted no me hubiera echado una mano\nreuniendo materiales, no lo habría conseguido.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06ラピス\nAunque reconozco que me costó un par\nde intentos. El primer prototipo... explotó.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nフォガート\nAjá... Y entonces, este nuevo y esperemos\nque no tan explosivo modelo... ¿irá al oasis?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06ラピス\n¡Esa es la idea! Pero no servirá de mucho\nsi está todo el rato quieto, así que...\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nフォガート\nUn momento... ¿Acaba de...?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06ラピス\n¡Sí! El viento hace que se mueva.\nIngenioso, ¿no le parece?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nフォガート\nEh, pues sí... Muy ingenioso.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nフォガート\nPero, por mucho que admire tu talento,\nme pregunto si espantará a los bandidos.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06ラピス\nCreo que, visto a ciertas horas,\npuede resultar de lo más espeluznante.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nフォガート\nQuizá, pero quien se acerque lo suficiente\ncomprobará que no es real.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06ラピス\nMmm... En el fondo tiene razón.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06ラピス\nMe inspiré en los espantaosos de mi pueblo.\nNo lo he probado todavía con ninguna persona.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nフォガート\n¿Sabes? Aun así lo vamos a intentar.\nNo se me ocurre ninguna idea mejor.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06ラピス\nMuy bien. ¡Espero que dé resultado!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\nLapis, ¡buenas noticias!\n¡Tu invento ha funcionado a la perfección!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nフォガート\nGracias a tu máquina, ¡hemos capturado\na todos los bandidos!\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06ラピス\n¿De verdad?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nフォガート\nAjá. ¿Recuerdas que me dijiste que en tu pueblo\nusaban estas cosas para ahuyentar a los osos?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06ラピス\nSí...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nフォガート\nPues no me extraña. El muñeco asustó a todos\nlos animales que habitan en el oasis.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06ラピス\n¿A los animales? Pero la idea era espantar\na los bandidos, no a la fauna local...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nフォガート\nBueno, sí... El caso es que una horda de tigres y\ncocodrilos alterados aterra a cualquier bandido.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nフォガート\nAl verlos, salieron corriendo, circunstancia\nque aprovechamos para apresarlos a todos.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nフォガート\nLa misión ha salido a las mil maravillas,\n¡y todo gracias a ti!\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06ラピス\nBueno, me alegro... Aunque la forma\nde conseguirlo no haya sido tan convencional.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nフォガート\nPuedes sentirte orgullosa. Tu artilugio era\nde impecable factura y cumplió su cometido.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nフォガート\n¿Y dices que en tu pueblo tienen\nestatuas parecidas?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06ラピス\nEn efecto. Son uno de los mecanismos\nque usamos para ahuyentar a los osos.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nフォガート\nOye, ¿y por qué no me llevas allí\npara que pueda verlos con mis propios ojos?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06ラピス\n¿Eh? ¿Y eso?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nフォガート\nSiento curiosidad. Seguro que me vendría bien\npara aprender nuevas estrategias defensivas.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06ラピス\nNo tengo claro que le vaya a servir de mucho...\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06ラピス\nPero, si está decidido, debería usar\nun disfraz para que nadie lo reconozca.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nフォガート\n¡Excelente idea! No hay más que hablar.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nフォガート\nMmm... ¿Qué debería ponerme para despistar\nal personal? Quizá unas pieles de oso...\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06ラピス\nSe lo desaconsejo, salvo que planee acabar\nel viaje en la panza de un oso vengativo...\x0E\x04\x00\x00
