MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\n¿Por qué me estás *mirando*?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ゼルコバ\nEso es ridículo, soy *mayor* que tú.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x06\x04ルイ\nEso para mí es lo de menos.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08ゼルコバ\nSupongo que para mí también,\nmientras no haya ninguna intención *oculta*.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08ゼルコバ\nEntiendo el *deseo* de un hermano mayor\nde cuidar a su hermano pequeño.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x06\x04ルイ\nAh, ¿tú también tienes hermanos?\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08ゼルコバ\nQuizá.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08ゼルコバ\nEn cualquier caso, pierdes el tiempo.\nNo *deseo* que me cuiden.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x06\x04ルイ\nYa suponía que dirías eso.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x06\x04ルイ\nDiscúlpame por no haber tenido en cuenta\ntus sentimientos sobre este asunto.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0A\x08ゼルコバ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0A\x08ゼルコバ\nVoy a *aceptar* esa taza de té\na modo de disculpa.\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x0A\x08ゼルコバ\nCreo recordar que me ofrecías un té\nque *ayudaba* a dormir, ¿no es así?\x0E\x04\x00\x00
MID_RELIANCE_B_#028	\x0E\x03\x02\x06\x04ルイ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_B_#029	\x0E\x03\x02\x06\x04ルイ\n¡Espera aquí, Zelkov! Lo tendré listo\nen un santiamén.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x06\x04ルイ\n¿Adónde vas, Zelkov?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08ゼルコバ\nLo siento, hoy no puedo tomar té.\nTengo *trabajo* que hacer.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x06\x04ルイ\nEs una lástima.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x06\x04ルイ\nEn ese caso, ¿podría yo ocuparme\nde alguna tarea en tu lugar?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x06\x04ルイ\nMe ofrezco a ordenarte la habitación\nmientras trabajas.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ゼルコバ\nComo ya te he dicho, Louis,\nno *deseo* que me cuiden.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x06\x04ルイ\nPerdóname, no puedo evitar sentir\nla necesidad de cuidarte.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x06\x04ルイ\nAtribuyo ese instinto a tu innegable parecido\na mis hermanos.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ゼルコバ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ゼルコバ\nHace mucho tiempo, yo también tuve\nun hermano pequeño.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ゼルコバ\nNo solo un hermano, sino una familia.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ゼルコバ\nLos mataron.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x06\x04ルイ\nMis condolencias.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ゼルコバ\nNo sé *exactamente* por qué, pero tomar té\ncontigo hace que me acuerde de ellos.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ゼルコバ\nEs doloroso recordar algo que has perdido\ny que nunca podrás recuperar.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ゼルコバ\nAunque, el *té*... El té es excelente.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x06\x04ルイ\nAh, Zelkov...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ゼルコバ\nQué *estúpido* soy.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08ゼルコバ\n*Olvida* todo lo que he dicho.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x06\x04ルイ\nNo lo haré.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x06\x04ルイ\nEsperaré tu regreso con una taza de té\nrecién hecha.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x06\x04ルイ\nPuede que eso te anime a volver.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ゼルコバ\nEres un tipo muy *extraño*.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08ゼルコバ\nAunque, si *insistes* en esperarme, lo mínimo\nque puedo hacer es disfrutar del té.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x06\x04ルイ\nTe tomo la palabra. ¡Hasta luego!\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08ゼルコバ\nAdiós.\x0E\x04\x00\x00
