MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0C\nスタルーク\n(...)\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nスタルーク\nAh, Pandreo...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08パンドロ\n¡Príncipe Alcryst! Esta vez la has pasado de\nmaravilla, ¿eh? ¡Te vi dándolo todo en la pista!\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nスタルーク\nEs cierto que intenté bailar, pero...\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nスタルーク\nEn fin, ha quedado demostrado\nque soy incapaz de disfrutar de una fiesta.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08パンドロ\n¿Por qué dices eso?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nスタルーク\nEs que no sé ni qué hacía en ese lugar...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nスタルーク\nTodo el mundo giraba y se movía con facilidad,\n¡mientras que yo solo conozco danzas de salón!\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nスタルーク\n¡Y qué griterío! ¿Por qué tenían que elevar\ntanto la voz? La cabeza me da vueltas...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08パンドロ\nAh, ya sé cuál es el problema.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08パンドロ\nA ver, alteza... Hay algo que debería\nhaberte explicado.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08パンドロ\nCuando vas a una fiesta, no te preocupas\npor el qué dirán ni nada así. No es tan difícil.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nスタルーク\n¿En serio?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08パンドロ\n¡Sí! La forma de bailar es lo de menos.\nY lo del griterío... ¡no significa nada!\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nスタルーク\nEntonces, ¿todo el caos de gritos y coreografías\nes adrede? ¿La gente quiere comportarse así?\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08パンドロ\nEso es. La cuestión es dejarse llevar y divertirse.\nSolo a ti te incumbe cómo lo disfrutes.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nスタルーク\nY yo tratando de desentrañar el patrón de los\nmovimientos... Y el significado de los gritos...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nスタルーク\n¡Estaba tan embebido en mis pensamientos\nque me olvidé de disfrutar del momento!\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08パンドロ\n¡Probemos otra vez! Pondremos buena música...\n¡y dejaremos de lado las preocupaciones!\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08パンドロ\n¡¡¡Aúuu!!!\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0C\nスタルーク\nAú...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x02\x0C\nスタルーク\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0A\x08パンドロ\nHola, alteza.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nスタルーク\nPandreo...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nスタルーク\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nスタルーク\n¡¡¡Aúuu!!!\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08パンドロ\n¡¡¡Aúuu!!!\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nスタルーク\n¡Qué maravilla de fiesta!\n¡Me he divertido un montón!\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nスタルーク\nHe gritado hasta quedarme sin voz,\nhe bailado sin fijarme en mis movimientos...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nスタルーク\n¡La he pasado increíblemente bien!\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nスタルーク\nAhora que sé lo que es una fiesta de verdad...\n¡es como haber descubierto un mundo nuevo!\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08パンドロ\n¡Pues bienvenido al lado salvaje de las fiestas!\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nスタルーク\nGracias por ser mi guía, Pandreo.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nスタルーク\nEstuve tentado de salir huyendo...\nAl empezar a bailar, me sentía tan incómodo...\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nスタルーク\nPero luego te vi a ti, contorsionándote\ny dando vueltas a lo loco sin ningún pudor...\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nスタルーク\nY sentí que mis preocupaciones se desvanecían.\nDejé de dudar y me limité a bailar.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nスタルーク\nGracias a tus movimientos erráticos\ne incomprensibles, fui capaz de disfrutar.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08パンドロ\nJe, tiene gracia.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08パンドロ\nMis amigos se burlan de mi forma de bailar.\nLa llaman "danza de la oscuridad".\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08パンドロ\nPero hoy ha sido como una "danza de la luz"\nque iluminaba tu alma como una gran antorcha.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nスタルーク\n¡Sí! ¡Has descrito cómo me sentía\na la perfección!\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nスタルーク\nMe encantan las fiestas... Sé que acabamos\nde asistir a una, pero ¿podré ir a otra pronto?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08パンドロ\n¡A tantas como quieras, amigo!\nOcasiones para irse de fiesta nunca van a faltar.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nスタルーク\nPandreo, yo... Este...\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08パンドロ\nVamos, a pleno pulmón, alteza.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nスタルーク\n¡¡¡Aúuu!!!\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08パンドロ\n¡¡¡Aúuu!!!\x0E\x04\x00\x00
