MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06マロン\x021\n\x0E\x03\x02\x08\x06マロン\nTramas ardides y estrategias para servirle a él.\n¿Luchas también por su felicidad?\x0E\x04\x00\x00
MID_OP3_#007	\x0E\x03\x02\x0A\x08リュール\n¿Te encuentras bien? Me da la sensación\nde que últimamente no duermes mucho...\x0E\x04\x02\x00
MID_OP3_#008	Te oí regresar al campamento anoche,\ny eran altas horas de la madrugada.\x0E\x04\x00\x00
MID_OP3_#009	\x0E\x03\x02\x10\x0EE004_エル\nNo afectará a mi rendimiento en combate,\ny esa debe ser tu única preocupación.\x0E\x04\x00\x00
MID_OP3_#010	\x0E\x03\x02\x0A\x08リュール\nEstá de mal humor...\x0E\x04\x00\x00
MID_OP3_#011	\x0E\x03\x02\x10\x0EE004_イル\nLa falta de sueño, supongo.\nProcuremos ser pacientes con ella.\x0E\x04\x02\x00
MID_OP3_#012	Aunque me pregunto adónde fue anoche...\nEspero que no se metiera en ningún lío.\x0E\x04\x00\x00
MID_OP3_#013	\x0E\x03\x02\x16\x14E004_グレゴリー\nMadeline se reunirá con nosotros en breve.\nHa estado espiando en Elusia.\x0E\x04\x02\x00
MID_OP3_#014	Zelestia fue a recogerla al punto de encuentro...\nSupongo que estarán por llegar.\x0E\x04\x00\x00
MID_OP3_#015	\x0E\x03\x02\x10\x0EE004_イル\n¡Ah, ya las veo! ¡Bienvenidas!\x0E\x04\x00\x00
MID_OP3_#016	\x0E\x03\x00\x1A\x14E004_マデリーン\x021\n\x0E\x03\x02\x16\x14E004_マデリーン\nHola, lord Nil y lady Nel. Espero que su\nviaje haya sido agradable. Gregory, te veo bien.\x0E\x04\x02\x00
MID_OP3_#017	Zelestia me ha informado de todo lo ocurrido.\n\x0E\x0A\x00|<Este debe ser nuestro invitado<Esta debe ser nuestra invitada. Un honor.\x0E\x04\x00\x00
MID_OP3_#018	\x0E\x03\x02\x10\x0EE004_イル\nAsí es, Madeline. Te presento al Dragón Divino,\nproveniente de otro mundo.\x0E\x04\x00\x00
MID_OP3_#019	\x0E\x03\x02\x16\x14E004_マデリーン\nIncreíble... Al margen de diferencias evidentes,\nes como si \x0E\x0A\x008\x1Anuestra líder\x1Anuestro líder hubiera vuelto a la vida.\x0E\x04\x02\x00
MID_OP3_#020	No sé qué decir... Me he quedado sin palabras.\x0E\x04\x00\x00
MID_OP3_#021	\x0E\x03\x00\x1C\x16E004_セレスティア\x024\n\x0E\x03\x02\x18\x16E004_セレスティア\nTe entiendo perfectamente, Madeline.\nYo no pude contener las lágrimas cuando \x0E\x0A\x00\x0C\x04lo\x04la vi.\x0E\x04\x02\x00
MID_OP3_#022	Así que tranquila. Desahógate.\x0E\x04\x00\x00
MID_OP3_#023	\x0E\x03\x02\x16\x14E004_マデリーン\nNo pienso llorar, Zelestia. ¿Te importaría dejar\nde tratarme como si fuese una niña?\x0E\x04\x00\x00
MID_OP3_#024	\x0E\x03\x02\x18\x16E004_セレスティア\nAh, por supuesto. Mil perdones, querida.\x0E\x04\x00\x00
MID_OP3_#025	\x0E\x03\x02\x16\x14E004_マデリーン\nEs un placer conocer\x0E\x0A\x00\x0C\x04lo\x04la, Divinidad.\nSoy Madeline, miembro de los Cuatro Vientos.\x0E\x04\x02\x00
MID_OP3_#026	Aunque sea la más joven del grupo, le aseguro\nque en talento estoy a la par que los demás.\x0E\x04\x02\x00
MID_OP3_#027	Juro proteger\x0E\x0A\x00\x0C\x04lo\x04la, ocurra lo que ocurra.\x0E\x04\x00\x00
MID_OP3_#028	\x0E\x03\x02\x0A\x08リュール\nGracias, Madeline. Me agrada tu entusiasmo.\x0E\x04\x00\x00
MID_OP3_#029	\x0E\x03\x02\x16\x14E004_マデリーン\nServirle es un honor.\x0E\x04\x00\x00
MID_OP3_#030	\x0E\x03\x00\x1A\x14E004_グレゴリー\x024\n\x0E\x03\x02\x16\x14E004_グレゴリー\nCuando te conocimos no eras más que una\nmocosa... Y mírate ahora. Cuánto has crecido.\x0E\x04\x02\x00
MID_OP3_#031	Mauvier estaría orgulloso.\nSobre todo porque fue él quien te reclutó.\x0E\x04\x00\x00
MID_OP3_#032	\x0E\x03\x02\x16\x14E004_マデリーン\n¡Nunca he sido una mocosa!\x0E\x04\x02\x00
MID_OP3_#033	Aunque, desde luego, me encantaría\nser motivo de orgullo para Mauvier.\x0E\x04\x00\x00
MID_OP3_#034	\x0E\x03\x02\x0A\x08リュール\n¿Mauvier? ¿Hablan del...?\x0E\x04\x00\x00
MID_OP3_#035	\x0E\x03\x00\x1C\x16E004_セレスティア\x024\n\x0E\x03\x02\x18\x16E004_セレスティア\nSí, el último miembro de los Cuatro Vientos y mi\nlugarteniente, además de un excelso guerrero.\x0E\x04\x02\x00
MID_OP3_#036	Servía como caballero del ejército de Sombron.\nPero, al morir su superior, cambió de bando.\x0E\x04\x00\x00
MID_OP3_#037	\x0E\x03\x02\x0A\x08リュール\n¿Su superior? Nel, Nil...\n¿Se trataba de uno de sus hermanos?\x0E\x04\x00\x00
MID_OP3_#038	\x0E\x03\x02\x10\x0EE004_イル\nEn efecto, aunque nunca llegamos\na conocerlo.\x0E\x04\x02\x00
MID_OP3_#039	Recuerdo cuánto me sorprendió que padre\nle permitiese tener un caballero a su servicio.\x0E\x04\x00\x00
MID_OP3_#040	\x0E\x03\x00\x14\x0EE004_エル\x021\n\x0E\x03\x02\x10\x0EE004_エル\nPor ese motivo, al principio sospechaba\nque quizá Mauvier fuese un espía.\x0E\x04\x02\x00
MID_OP3_#041	Creía que Sombron le había encargado\nseguirnos a Nil y a mí.\x0E\x04\x02\x00
MID_OP3_#042	Pero mis sospechas eran infundadas. Mauvier\nse ganó la total confianza del Dragón Divino.\x0E\x04\x00\x00
MID_OP3_#043	\x0E\x03\x02\x18\x16E004_セレスティア\nEstoy deseando presentárselo, Divinidad.\nMauvier fue el fundador de los Cuatro Vientos.\x0E\x04\x02\x00
MID_OP3_#044	Habría sido el líder lógico, en mi opinión, pero\nla responsabilidad cayó en mí, por algún motivo.\x0E\x04\x00\x00
MID_OP3_#045	\x0E\x03\x00\x1A\x14E004_グレゴリー\x022\n\x0E\x03\x02\x16\x14E004_グレゴリー\nSeguramente por tu avanzada edad.\x0E\x04\x00\x00
MID_OP3_#046	\x0E\x03\x02\x18\x16E004_セレスティア\n¡¿Perdona?!\x0E\x04\x00\x00
MID_OP3_#047	\x0E\x03\x02\x10\x0EE004_エル\nBasta. Madeline, preséntanos tu informe,\npor favor.\x0E\x04\x00\x00
MID_OP3_#048	\x0E\x03\x00\x1A\x14E004_マデリーン\x024\n\x0E\x03\x02\x16\x14E004_マデリーン\nDesde ayer, el castillo de Elusia está casi vacío.\nSolo queda un puñado de soldados.\x0E\x04\x02\x00
MID_OP3_#049	La reina y su guardia real están oficiando\nuna especie de ritual en la catedral de Hasaude.\x0E\x04\x00\x00
MID_OP3_#050	\x0E\x03\x02\x0A\x08リュール\n¿Un ritual? No hablarás de...\x0E\x04\x00\x00
MID_OP3_#051	\x0E\x03\x02\x10\x0EE004_エル\nPretenden resucitar a Sombron.\x0E\x04\x00\x00
MID_OP3_#052	\x0E\x03\x02\x16\x14E004_マデリーン\nDiría que es la conjetura más probable.\x0E\x04\x00\x00
MID_OP3_#053	\x0E\x03\x00\x14\x0EE004_イル\x022\n\x0E\x03\x02\x10\x0EE004_イル\nSabía que esto ocurriría. Los elusianos son\nmuy devotos de nuestro padre, al fin y al cabo.\x0E\x04\x02\x00
MID_OP3_#054	Nos tomamos muchas molestias para invocar\nal Dragón Divino. Es una respuesta lógica.\x0E\x04\x00\x00
MID_OP3_#055	\x0E\x03\x02\x10\x0EE004_エル\nNo sé qué tiene de "lógico" resucitar un cadáver.\x0E\x04\x00\x00
MID_OP3_#056	\x0E\x03\x02\x10\x0EE004_イル\nEso es cierto, pero ellos no poseen la habilidad\npara invocar a nadie de otros mundos.\x0E\x04\x02\x00
MID_OP3_#057	Reconozco que la posibilidad de volver a ver\na padre me produce sentimientos encontrados...\x0E\x04\x00\x00
MID_OP3_#058	\x0E\x03\x02\x10\x0EE004_エル\nAhora que lo pienso, no hemos vuelto a saber\nde nuestro misterioso enemigo desde Lythos.\x0E\x04\x02\x00
MID_OP3_#059	Quizá el ritual los haya mantenido ocupados.\x0E\x04\x00\x00
MID_OP3_#060	\x0E\x03\x00\x1C\x16E004_セレスティア\x024\n\x0E\x03\x02\x18\x16E004_セレスティア\n¡Atentos! Se acerca alguien a caballo.\x0E\x04\x00\x00
MID_OP3_#061	\x0E\x03\x02\x0A\x08リュール\n¿Serán jinetes elusianos?\x0E\x04\x00\x00
MID_OP3_#062	\x0E\x03\x00\x1A\x14E004_マデリーン\x024\n\x0E\x03\x02\x16\x14E004_マデリーン\nNo. Parece...\x0E\x04\x02\x00
MID_OP3_#063	¿Mauvier? ¡Mauvier!\x0E\x04\x00\x00
MID_OP3_#064	\x0E\x03\x00\x16\x10M011_モーヴ\x024\n\x0E\x03\x02\x12\x10M011_モーヴ\nMadeline, estás a salvo. Qué alivio...\nY diría que este lugar es todavía seguro.\x0E\x04\x00\x00
MID_OP3_#065	\x0E\x03\x02\x10\x0EE004_イル\nQué sorpresa, Mauvier.\nPrecisamente estábamos hablando de ti.\x0E\x04\x00\x00
MID_OP3_#066	\x0E\x03\x02\x12\x10M011_モーヴ\nMe alegro de verlos, lord Nil y lady Nel.\x0E\x04\x00\x00
MID_OP3_#067	\x0E\x03\x02\x10\x0EE004_エル\n¿Qué asuntos te han traído a Elusia? Tu misión\nera quedarte en Solm y obtener información.\x0E\x04\x00\x00
MID_OP3_#068	\x0E\x03\x02\x12\x10M011_モーヴ\nY era lo que me proponía hacer...\nhasta que la reina de Solm abandonó el palacio.\x0E\x04\x02\x00
MID_OP3_#069	La seguí y he acabado en Elusia.\x0E\x04\x00\x00
MID_OP3_#070	\x0E\x03\x02\x10\x0EE004_エル\nDe modo que la reina de Solm está aquí...\n¿Por qué motivo?\x0E\x04\x00\x00
MID_OP3_#071	\x0E\x03\x02\x12\x10M011_モーヴ\nLes pido mil disculpas por no haber sido capaz\nde prever lo que ha ocurrido...\x0E\x04\x02\x00
MID_OP3_#072	Pero la reina Timerra ha entrado en Elusia\ncon su brazalete y un ejército a sus órdenes.\x0E\x04\x02\x00
MID_OP3_#073	No cabe ninguna duda: planea una invasión.\x0E\x04\x00\x00
MID_OP3_#074	\x0E\x03\x02\x10\x0EE004_エル\nComprendo...\x0E\x04\x02\x00
MID_OP3_#075	Me pregunto si todo esto guardará\nalguna relación con el ritual elusiano.\x0E\x04\x02\x00
MID_OP3_#076	Quizá el ejército solmí intente asaltar el templo\npara impedir la resurrección de Sombron.\x0E\x04\x00\x00
MID_OP3_#077	\x0E\x03\x02\x12\x10M011_モーヴ\nDesconozco si Elusia ha movilizado a sus tropas\npara defenderse, pero es cuestión de tiempo.\x0E\x04\x00\x00
MID_OP3_#078	\x0E\x03\x02\x10\x0EE004_エル\nUn enfrentamiento armado complicaría\nla situación. Debemos apresurarnos.\x0E\x04\x00\x00
MID_OP3_#079	\x0E\x03\x00\x1A\x14E004_マデリーン\x024\n\x0E\x03\x02\x16\x14E004_マデリーン\nSí, síganme.\x0E\x04\x00\x00
MID_OP3_#080	\x0E\x03\x02\x0A\x08リュール\nAh, quizá debería presentarme\nantes de que prosigamos.\x0E\x04\x00\x00
MID_OP3_#081	\x0E\x03\x00\x16\x10M011_モーヴ\x024\n\x0E\x03\x02\x12\x10M011_モーヴ\nEs el Dragón Divino, venido de otro mundo.\n¿Estoy en lo cierto?\x0E\x04\x00\x00
MID_OP3_#082	\x0E\x03\x02\x0A\x08リュール\nPues... sí, totalmente.\x0E\x04\x00\x00
MID_OP3_#083	\x0E\x03\x02\x12\x10M011_モーヴ\nMe llamo Mauvier y soy el lugarteniente\nde los Cuatro Vientos. Un placer. ¿Vamos ya?\x0E\x04\x00\x00
MID_OP3_#084	\x0E\x03\x02\x0A\x08リュール\nVaya, esperaba una reacción\nmucho más pomposa...\x0E\x04\x00\x00
MID_OP4_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x14\x0EE004_エル\x021\n\x0E\x03\x00\x14\x0EE004_イル\x022\n\x0E\x03\x00\x0E\x08リュール\x023\n\x0E\x03\x00\x1A\x14E004_マデリーン\x024\n\x0E\x03\x02\x16\x14E004_マデリーン\nLos ejércitos han chocado a las puertas de la\ncatedral de Hasaude. La batalla ha comenzado.\x0E\x04\x00\x00
MID_OP4_#002	\x0E\x03\x02\x0A\x08リュール\nLlegamos demasiado tarde.\x0E\x04\x00\x00
MID_OP4_#003	\x0E\x03\x02\x10\x0EE004_エル\nAcaso nos beneficie la situación. Enfrentarnos\nsolos a uno de los ejércitos sería arriesgado.\x0E\x04\x02\x00
MID_OP4_#004	Alcancemos a sus líderes y recuperemos\nlos brazaletes mientras están distraídos.\x0E\x04\x00\x00
MID_OP4_#005	\x0E\x03\x00\x16\x10M011_モーヴ\x024\n\x0E\x03\x02\x12\x10M011_モーヴ\nLa reina Ivy lleva las riendas del ejército\nelusiano. La reina Timerra, las del solmí.\x0E\x04\x02\x00
MID_OP4_#006	Portan el Brazalete del Estratega y el Brazalete\nde la Hermana Protectora, respectivamente.\x0E\x04\x00\x00
MID_OP4_#007	\x0E\x03\x02\x10\x0EE004_イル\nCreo que, si solo tenemos que derrotar\na esos dos, la misión es factible.\x0E\x04\x00\x00
MID_OP4_#008	\x0E\x03\x02\x10\x0EE004_エル\n¿Estás \x0E\x0A\x00(\x12preparado\x12preparada, Divinidad?\x0E\x04\x00\x00
MID_OP4_#009	\x0E\x03\x02\x0A\x08リュール\nSí.\x0E\x04\x00\x00
MID_OP4_#010	\x0E\x03\x02\x12\x10M011_モーヴ\nCon su permiso, me dirigiré a la catedral\npara tratar de detener el ritual.\x0E\x04\x00\x00
MID_OP4_#011	\x0E\x03\x02\x10\x0EE004_エル\nExcelente idea. Adelante, Mauvier.\x0E\x04\x00\x00
MID_OP4_#012	\x0E\x03\x02\x12\x10M011_モーヴ\nDe acuerdo.\x0E\x04\x00\x00
MID_OP4_#013	\x0E\x03\x02\x10\x0EE004_イル\nBien, ¡en marcha!\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x14\x0EE004_エル\x02t\n\x0E\x05\x01\x1C\x0EE004_エル\nAngry\n\x0E\x03\x02\x10\x0EE004_エル\nElusia y Solm están inmersos en la lucha.\nAprovechemos para sorprender a sus líderes.\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E004_Boss\x02b\n\x0E\x05\x01$\x12E004_Boss\x0EStandBy\n\x0E\x03\x02\x14\x12E004_Boss\nVaya, ¡tenemos intrusos en la fiesta! No importa.\nNuestros refuerzos los aniquilarán.\x0E\x04\x00\x00
MID_EV3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E004_Hide\x02b\n\x0E\x05\x01 \x12E004_Hide\nAngry\n\x0E\x03\x02\x14\x12E004_Hide\nParece que la reina Ivy ha reaccionado.\n¡Yo no voy a quedarme atrás!\x0E\x04\x00\x00
MID_EV4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E004_Boss\x02b\n\x0E\x05\x01 \x12E004_Boss\nRelax\n\x0E\x03\x02\x14\x12E004_Boss\n¡Adelante, aberraciones wyvern!\n¡Destrúyanlos a todos!\x0E\x04\x00\x00
MID_BT1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E004_Boss\x02b\n\x0E\x05\x01 \x12E004_Boss\nRelax\n\x0E\x03\x02\x14\x12E004_Boss\nSi planean detener el ritual, prepárense\npara encontrar la muerte en este lugar.\x0E\x04\x00\x00
MID_BT2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E004_Boss\x02b\n\x0E\x05\x01$\x12E004_Boss\x0EStandBy\n\x0E\x03\x02\x14\x12E004_Boss\nMonstruo... ¡¿Qué has hecho?!\x0E\x04\x00\x00
MID_BT3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E004_Hide\x02b\n\x0E\x05\x01 \x12E004_Hide\nAngry\n\x0E\x03\x02\x14\x12E004_Hide\nSolo trato de impedir que revivan\nal Dragón Caído. ¿Por qué se interponen?\x0E\x04\x00\x00
MID_BT4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E004_Hide\x02b\n\x0E\x05\x01\x1E\x12E004_Hide\x08Pain\n\x0E\x03\x02\x14\x12E004_Hide\nAhora nadie detendrá a Sombron...\nEso era lo que deseaban, ¿verdad?\x0E\x04\x00\x00
MID_BT5_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E004_Boss\x02b\n\x0E\x05\x01&\x12E004_Boss\x10Surprise\n\x0E\x03\x02\x14\x12E004_Boss\n¿Qué veo? Estamos muy lejos del desierto\nde Solm para que sea un espejismo, querida.\x0E\x04\x02\x00
MID_BT5_#002	\x0E\x05\x01 \x12E004_Boss\nSmile\n¿Puede existir otra Ivy? Fascinante...\nTe veo falta de confianza, pero lo arreglaremos.\x0E\x04\x00\x00
MID_BT5_#003	\x0E\x03\x00\x0E\x08アイビー\x02t\n\x0E\x05\x01\x16\x08アイビー\nAngry\n\x0E\x03\x02\x0A\x08アイビー\nPor favor, dime que no nos parecemos en nada.\x0E\x04\x02\x00
MID_BT5_#004	Para colmo, repites los errores de mi padre...\nVoy a tener que enderezarte de inmediato.\x0E\x04\x00\x00
MID_BT5_#005	\x0E\x05\x01\x1C\x12E004_Boss\x06Shy\n\x0E\x03\x02\x14\x12E004_Boss\n¿Nuestro padre? ¿Te refieres al viejo fracasado\nque se hacía llamar rey?\x0E\x04\x02\x00
MID_BT5_#006	Tuvo los arrestos de intentar detener el ritual,\npero ni como ofrenda sacrificial daba la talla.\x0E\x04\x00\x00
MID_BT5_#007	\x0E\x05\x01\x1C\x08アイビー\x10Surprise\n\x0E\x03\x02\x0A\x08アイビー\n¿Lo asesinaste? ¿Por qué? ¡¿Con qué fin?!\x0E\x04\x02\x00
MID_BT5_#008	\x0E\x05\x01\x14\x08アイビー\x08Pain\nHas destruido Elusia.\n¿Quién queda para aclamarte como reina?\x0E\x04\x00\x00
MID_BT6_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E004_Boss\x02b\n\x0E\x05\x01 \x12E004_Boss\nAngry\n\x0E\x03\x02\x14\x12E004_Boss\nVaya, la inútil de nuestra segunda princesa...\nSe me revuelve el estómago solo de verte.\x0E\x04\x00\x00
MID_BT6_#002	\x0E\x03\x00\x12\x0Cオルテンシア\x02t\n\x0E\x05\x01 \x0Cオルテンシア\x10Surprise\n\x0E\x03\x02\x0E\x0Cオルテンシア\n¿Ivy? ¿Por qué me hablas así?\x0E\x04\x00\x00
MID_BT6_#003	\x0E\x03\x02\x14\x12E004_Boss\nDe "Ivy" nada. Trátame con el debido respeto.\nYa estoy harta de decírtelo.\x0E\x04\x02\x00
MID_BT6_#004	\x0E\x05\x01$\x12E004_Boss\x0EStandBy\nSi querías ganarte mi atención confabulando\ncon Solm, felicidades. Lo has conseguido.\x0E\x04\x00\x00
MID_BT6_#005	\x0E\x05\x01\x16\x0Cオルテンシア\x06Sad\n\x0E\x03\x02\x0E\x0Cオルテンシア\nConque estas cosas tan feas le dices\na la Hortensia de este mundo, ¿eh?\x0E\x04\x02\x00
MID_BT6_#006	\x0E\x05\x01\x1A\x0Cオルテンシア\nAngry\nPues me alegro de que haya sido a mí.\n¡Así ella no tendrá que soportarlas, para variar!\x0E\x04\x00\x00
MID_BT7_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E004_Boss\x02b\n\x0E\x05\x01&\x12E004_Boss\x10Surprise\n\x0E\x03\x02\x14\x12E004_Boss\n¿Eres... el Dragón Divino? ¿¡Funcionó el ritual\npara resucitarte en el castillo de Lythos!?\x0E\x04\x00\x00
MID_BT7_#002	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nNo es tan sencillo. Te lo explicaré todo cuando\nacabe la batalla y atiendas a razones.\x0E\x04\x00\x00
MID_BT7_#003	\x0E\x05\x01$\x12E004_Boss\x0EStandBy\n\x0E\x03\x02\x14\x12E004_Boss\n¡No es justo! El Dragón Divino vuelve a la vida\nmientras lord Sombron languidece en su tumba.\x0E\x04\x02\x00
MID_BT7_#004	\x0E\x05\x01\x1E\x12E004_Boss\x08Pain\n¡Ningún seguidor del Dragón Caído lo toleraría!\n¡Elusia jamás permitirá semejante afrenta!\x0E\x04\x02\x00
MID_BT7_#005	\x0E\x05\x01$\x12E004_Boss\x0EStandBy\nCompletaremos el ritual y devolveremos\nal Dragón Caído la gloria y el poder perdidos.\x0E\x04\x02\x00
MID_BT7_#006	¡Me ocuparé de ello con mis propias manos!\x0E\x04\x00\x00
MID_BT8_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E004_Boss\x02b\n\x0E\x05\x01&\x12E004_Boss\x10Surprise\n\x0E\x03\x02\x14\x12E004_Boss\n¡Zelkov! ¿De veras eres tú? Mi vasallo favorito\nregresa al fin... No doy crédito a mis ojos.\x0E\x04\x02\x00
MID_BT8_#002	\x0E\x05\x01\x1C\x12E004_Boss\x06Shy\nTendrás que contármelo todo cuando acabe\nla batalla. Quiero saber de todas tus aventuras.\x0E\x04\x00\x00
MID_BT8_#003	\x0E\x03\x00\x0E\x08ゼルコバ\x02t\n\x0E\x05\x01\x1C\x08ゼルコバ\x10Surprise\n\x0E\x03\x02\x0A\x08ゼルコバ\nCreo que no me he sentido más *perplejo*\nen toda mi vida.\x0E\x04\x02\x00
MID_BT8_#004	\x0E\x05\x01&\x12E004_Boss\x10Surprise\n\x0E\x05\x01\x1A\x08ゼルコバ\x0EStandBy\nPor fascinante que me resulte, debo mi *lealtad*\na otra Ivy, de modo que rechazo la oferta.\x0E\x04\x00\x00
MID_BT8_#005	\x0E\x05\x01\x1E\x12E004_Boss\x08Pain\n\x0E\x03\x02\x14\x12E004_Boss\n¡Ah, qué palabras tan crueles!\nSi tan poco me aprecias, no me sirves de nada.\x0E\x04\x02\x00
MID_BT8_#006	Ya moriste por mí una vez,\ny ahora volverás a hacerlo.\x0E\x04\x00\x00
MID_BT8_#007	\x0E\x03\x02\x0A\x08ゼルコバ\nGracias por hablar con tanta claridad. Así todo\neste asunto será mucho más *sencillo* para mí.\x0E\x04\x02\x00
MID_BT8_#008	\x0E\x05\x01\x16\x08ゼルコバ\nAngry\nLa eliminaré de inmediato.\nY ni siquiera me *inmutaré*.\x0E\x04\x00\x00
MID_BT9_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06カゲツ\x02t\n\x0E\x05\x01\x14\x06カゲツ\nSmile\n\x0E\x03\x02\x08\x06カゲツ\n¡Ah, otra princesa Ivy! Es un placer conocerte.\nEspero que lleguemos a ser amigos.\x0E\x04\x00\x00
MID_BT9_#002	\x0E\x03\x00\x18\x12E004_Boss\x02b\n\x0E\x05\x01$\x12E004_Boss\x0EStandBy\n\x0E\x03\x02\x14\x12E004_Boss\nTan falso como siempre, Kagetsu.\nNo engañas a nadie.\x0E\x04\x00\x00
MID_BT9_#003	\x0E\x05\x01\x1A\x06カゲツ\x10Surprise\n\x0E\x03\x02\x08\x06カゲツ\n¿Qué quieres decir?\n¿Tan diferente soy en este mundo?\x0E\x04\x00\x00
MID_BT9_#004	\x0E\x03\x02\x14\x12E004_Boss\nQué miserable. No te he visto sonreírme\nni una sola vez con sinceridad.\x0E\x04\x02\x00
MID_BT9_#005	\x0E\x05\x01$\x12E004_Boss\x0ESerious\nPor más que he intentado ganarme tu favor,\nsiempre me has despreciado profundamente.\x0E\x04\x02\x00
MID_BT9_#006	\x0E\x05\x01\x1C\x12E004_Boss\x06Shy\nDime, impostor: ¿por qué iba a dar alguien\ncomo tú la vida por su reina?\x0E\x04\x00\x00
