MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0C\nスタルーク\nSeadall, ¿podría hacerte una pregunta?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nスタルーク\n¡Y las describes con todo detalle!\nEs como si las viviese en primera persona.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nスタルーク\nVivir en una caravana debe ser\nuna experiencia única.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nスタルーク\nIr de acá para allá a tu antojo, recorriendo\ntodo el mundo para satisfacer tu curiosidad...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nスタルーク\nSin normas, sin preocupaciones... Si te aburres,\n¡solo tienes que empezar una nueva aventura!\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nスタルーク\nAy... Lo que daría por una vida así.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08セアダス\nYa, bueno...\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nスタルーク\nPero hay una historia que no me has contado.\n¿Por qué te uniste a la caravana?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nスタルーク\nSupongo que no nacerías en ella, ¿verdad?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08セアダス\nNo, nací en un pueblecito costero.\nEra... precioso.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08セアダス\nNo recuerdo a mi padre, que murió\nsiendo yo muy pequeño. Mi madre me crio sola.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08セアダス\nEra una adivina... pero no pudo evitar su aciago\ndestino. Enfermó y murió cuando yo era joven.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08セアダス\nUna cosa llevó a la otra y...\nen poco tiempo, acabé viviendo en la calle.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nスタルーク\n¿En la calle? ¿Por qué?\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08セアダス\nEra un niño huérfano. ¿Qué más podía hacer?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nスタルーク\nOh...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08セアダス\nPero un día pasó por el pueblo la caravana,\ny los viajeros me... invitaron a unirme.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08セアダス\nY eso fue lo que hice. Desde entonces,\nviví con ellos.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08セアダス\nPor entonces me costaba hablar; las palabras\nse me atragantaban. Así que aprendí a bailar.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0A\x08セアダス\nAprendí que no necesitaba palabras\npara comunicarme. Me salvó la vida.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0C\nスタルーク\nComprendo...\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0A\x08セアダス\nPerdóneme; sé que esta historia\nno es tan entretenida como las otras...\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x0C\nスタルーク\nSoy yo quien debe pedirte disculpas\npor sacar ese tema sin haberlo pensado antes.\x0E\x04\x00\x00
MID_RELIANCE_B_#028	\x0E\x03\x02\x0A\x08セアダス\nNo, me las he arreglado para arruinar\nla conversación.\x0E\x04\x00\x00
MID_RELIANCE_B_#029	\x0E\x03\x02\x0A\x08セアダス\nEn fin, creo que es buen momento para dejarlo\npor hoy. Hasta otra, príncipe Alcryst.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0C\nスタルーク\nSeadall, quiero disculparme otra vez\npor nuestra conversación del otro día.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nスタルーク\nDebería haber tenido en cuenta tus sentimientos\nantes de preguntar por tu pasado...\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08セアダス\nNi me molestó ni usted hizo nada malo.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nスタルーク\nLlevo pensando en tus historias desde entonces.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nスタルーク\nCreía que la vida ambulante era todo diversión\ny juegos, pero... no es así, ¿verdad?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08セアダス\nNo. "Diversión" no es la palabra más adecuada.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08セアダス\nEs una vida cruel. He visto a amigos morir\ncuando nos asaltaban... y cosas aún peores.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nスタルーク\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nスタルーク\nHabrás sufrido todo tipo de penurias...\ny yo pensando que era un camino de rosas.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nスタルーク\nSi hubiera sido más considerado\nantes de hablar... Lo siento muchísimo.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08セアダス\nOh, príncipe Alcryst...\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08セアダス\nYa le he dicho que no ha hecho nada malo.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08セアダス\nEs verdad que tuve malas experiencias\ncuando viajaba con la caravana...\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08セアダス\nPero también hubo cosas buenas,\ny fueron muchas más.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08セアダス\nLa caravana se convirtió en mi familia\ny en mi hogar, y doy las gracias por ello.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nスタルーク\nMe alegra oírlo.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08セアダス\nAsí que, por favor, no dude en hacer\ntodas las preguntas que quiera.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08セアダス\nPuedo hablarle de la primera vez que probé\nlos peculiares manjares de la aldea fronteriza...\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08セアダス\nO de cierta mañana en la que parecía que el sol\nincendiaba el cielo en aquel oasis del desierto.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08セアダス\nHay mil preguntas por responder...\nY tantas historias que deseo contarle.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nスタルーク\nTus relatos me fascinan, Seadall.\nNo hay nada mejor que sumergirse en ellos.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nスタルーク\n¡Cuéntame uno nuevo, por favor! ¡Y otro más\ndespués de ese! ¡No pares hasta que amanezca!\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08セアダス\nSerá un placer, príncipe Alcryst.\x0E\x04\x00\x00
