MID_WU_C_1_IN_#001	¡Hola!\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	¡Eh! ¡Su compañera ha venido a despertarl\x0E\x0A\x00\x08\x02o\x02a!\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	¿Ya está despiert\x0E\x0A\x00\x08\x02o\x02a? Qué lástima.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	Había planeado algo muy delicado.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	Ja, ¡claro que puedo ser delicada!\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	Quería mostrarle los espléndidos\ncampos de flores de Firene...\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	pero con la guerra y demás\nno hay tiempo para ir de visita.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	Podría hacer que trajeran las flores aquí,\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	pero no sería lo mismo,\nni aunque llenara la habitación con ellas.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	Pero, algún día...\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	veremos esos campos junt\x0E\x0A\x00\x08\x02o\x02as. Lo prometo.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	Por ahora, secaré una de mis flores favoritas\npara usted.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	Quizá la ponga en un broche para que pueda\nllevarlo. Creo que quedaría bonito.\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	¡Hora de una carrera matutina!\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	Arriba, \x0E\x0A\x00&\x10dormilón\x12dormilona.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	Bien, está despiert\x0E\x0A\x00\x08\x02o\x02a. ¿List\x0E\x0A\x00\x08\x02o\x02a?\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	Empecemos con unos estiramientos...\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	y unas vueltas de calentamiento.\nDespués ya iremos aumentando el ritmo.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	He dado unas cuantas vueltas\nsola antes de venir,\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	como hacía usted antes.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	Salir a correr sola está bien\npero no es lo mismo sin usted.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	Soy mucho más fuerte cuando tengo\na mi amig\x0E\x0A\x00\x08\x02o\x02a y compañer\x0E\x0A\x00\x08\x02o\x02a a mi lado.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	¡Buenos días! ¿List\x0E\x0A\x00\x08\x02o\x02a para ponerse en marcha?\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	Todo va bien...\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	cuando corremos junt\x0E\x0A\x00\x08\x02o\x02as.\x0E\x04\x00\x00
