MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\nAh, Rosado. Este siempre\nha sido nuestro destino.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\nHe aquí la batalla que decidirá si el mejor estilo\nes el fabuloso o el adorable.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06メリン\n¡Que comience el espectáculo!\n¿Estás listo, Rosado?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ロサード\nPor supuesto. Hoy será el día en que\nte robaré el corazón para siempre, Merrin.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06メリン\nMuéstrame qué objeto adorable has traído.\n¡Estoy lista!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ロサード\nDeléitate... ¡con esto!\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06メリン\n¿Qué es eso?... ¿Un dibujo?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ロサード\nNo, no, no. Fíjate bien.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08ロサード\nEs una ilustración a escala de la liebre lanuda\nenana del norte de Elusia.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06メリン\n¿¡Quéee!? ¡No!\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06メリン\nLa liebre lanuda enana del norte de Elusia\nes tan pequeña y tan linda... ¡Mira qué cosita!\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ロサード\nResulta que me encontré con una\ny aproveché para inmortalizarla.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06メリン\n¡Y con todo detalle! Sabías la debilidad\nque siento por los animales raros.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06メリン\nHe de admitir, Rosado, que tu dibujo\nme ha cautivado el corazón.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ロサード\n¡Parece que gano yo!\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06メリン\nNo tan rápido. Aún no has visto\nqué he traído yo.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06メリン\nUna horquilla ornamental con la imagen\nde un wyvern incrustada en la filigrana.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08ロサード\nNo, ¡oh, no! ¡Aaah, es lo más fabuloso\nque he visto nunca!\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06メリン\nSabía lo mucho que te fascinan los wyverns.\nNo tenías ninguna opción.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06メリン\n¡Fíjate bien! Los colmillos han sido\nmeticulosamente creados uno a uno.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08ロサード\nEs un trabajo artesanal extraordinariamente\nmágico. ¡Extraordinariamente fabuloso!\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06メリン\n¡Fabuloso!\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08ロサード\n¡Adorable!\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x08\x06メリン\nEsta competición...\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0A\x08ロサード\n¡Termina en empate!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08ロサード\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06メリン\nRosado, he llegado a una conclusión.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06メリン\nLlevamos días con esta competición\nde lo adorable contra lo fabuloso\ny no hay un ganador claro.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08ロサード\nCierto. No hay forma de deshacer el empate.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ロサード\nMe has conquistado con todos los objetos\nfabulosos que has traído.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06メリン\nLo mismo digo. Me han encantado todos\nlos objetos adorables que me has mostrado.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ロサード\nSolo hay una cosa clara: ambos estilos\n─lo fabuloso y lo adorable─ son increíbles.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06メリン\n¡Sí! ¿Qué más da quién gane?\nLo que importa es que ambos son geniales.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06メリン\nSiento haber alargado esta absurda\ncompetición durante tanto tiempo.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ロサード\n¿Por qué lo dices?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ロサード\nHa valido la pena. Ahora sabemos\nque ambos estilos están a la par.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06メリン\nEspera...\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ロサード\n¿Qué pasa, Merrin?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06メリン\nAhí has estado fabuloso, Rosado.\nMucho más que yo.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ロサード\n¡Lo mismo podría decir de ti!\n¡Has estado adorable!\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08ロサード\nTu sonrisa de satisfacción cada vez\nque me sorprendías era adorable.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06メリン\nGracias, Rosado.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06メリン\n¿Qué tal si cada uno sigue\nmejorando su propio estilo?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ロサード\nMe gusta. Tú sigue siendo fabulosa; yo seguiré\naspirando a las más altas cotas de adorabilidad.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06メリン\nAunque seamos rivales y recorramos caminos\ndistintos, podemos darnos ánimos mutuamente.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08ロサード\n¡Sí! ¡Seremos mejores rivales para siempre!\x0E\x04\x00\x00
