MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x02\x0E\x0Cゴルドマリー\n♪Hum, huuum...♪\nQué día tan espléndido para lavar la ropa.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cゴルドマリー\nAdmiro tu coraje, Yunaka. En ese caso,\npuedes ayudarme a lavar los platos.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06ユナカ\n¡Gracias, Goldmary!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06ユナカ\nOye, Goldmary. Siento haberte arruinado\nla diversión el otro día.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06ユナカ\nEl mero hecho de pensar en hacer tareas\ndomésticas me pone muy nerviosa.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNo te preocupes.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDesde entonces, he estado pensando\ny se me ha ocurrido una idea.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMe han dicho que se te da muy bien\nhacer imitaciones. ¿Es verdad?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06ユナカ\nSí. O sea, no lo hago mal.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cゴルドマリー\n¿Qué te parecería imitarme a mí?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06ユナカ\n¿Qué? ¿Por qué?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0E\x0Cゴルドマリー\nHazme ese favor. Quiero que me imites\nlavando la ropa como el otro día.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06ユナカ\nBueno, si insistes.\nCreo que sería algo así...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06ユナカ\n"♪Hum, hum...♪\nQué día tan espléndido para lavar la ropa."\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06ユナカ\n"Lavar, escurrir, secar y doblar...\nTodo lo hago con gracia y precisión."\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nGenial. Sigue imitándome.\nLavaremos la ropa como dos Goldmarys.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06ユナカ\nSuena raro, ¡pero bueno!\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cゴルドマリー\n¿Cómo te has sentido?\n¿Te ha vuelto a dar ansiedad?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06ユナカ\n¡No! Ni un poquito.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06ユナカ\nEstaba tan enfocada en ser como tú,\n¡que se me olvidó ser yo!\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0E\x0Cゴルドマリー\nPerfecto, entonces. Justo como lo planeé.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cゴルドマリー\nA partir de ahora, cuando tengas\nque hacer tareas, puedes fingir que eres yo.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cゴルドマリー\nCuando te acostumbres, seguro\nque no te resultarán tan angustiantes.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cゴルドマリー\nLos traumas no son fáciles de superar,\npero, pasito a pasito, conseguirás curarte.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06ユナカ\nAsí que este era tu plan.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06ユナカ\nHa sido una gran idea, Goldmary.\n¡Eres genial!\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06ユナカ\nDije que quería ser una persona nueva\ny ahora tengo un modelo a seguir: ¡tú!\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0E\x0Cゴルドマリー\nBueno, hay objetivos peores en la vida.\nMe siento muy honrada.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEspero que mi perfección no sea demasiado\npara ti, aunque está bien aspirar a lo más alto.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06ユナカ\nOooh, eso está muy bien.\nTengo que empezar a tomar notas.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x08\x06ユナカ\n"Espero que mi perfección no sea demasiado\npara ti." Responder en caso de halago.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0E\x0Cゴルドマリー\n¡Tampoco te pases! No tienes\nque repetir todo lo que digo.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x08\x06ユナカ\nEra broma. Aunque ahora ya sé\ncómo imitarte cuando te ruborizas.\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x08\x06ユナカ\nGracias por tus enseñanzas.\nSé que a veces puedo ser difícil.\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x0E\x0Cゴルドマリー\nHa sido un placer. Si así lo deseas,\nestaré encantada de ser tu maestra.\x0E\x04\x00\x00
