MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\n¡Jia!\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nスタルーク\n¿De verdad crees que no mereces este puesto?\nSabes que eso no es cierto.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nシトリニカ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nシトリニカ\nAlcryst, eres mi primo... Nos hemos criado\nprácticamente como hermanos.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nシトリニカ\nDesde que te conozco,\nsiempre te has infravalorado.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nシトリニカ\nCrecer a la sombra de Diamant te ha impedido\nbrillar con luz propia.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nスタルーク\nCierto. Y supongo que así es todavía.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nシトリニカ\nYo he visto de lo que eres capaz\ny sé lo mucho que vales.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nシトリニカ\nSiempre ves la mejor cualidad de cada persona\ny te aseguras de que reciba reconocimiento.\x0E\x04\x02\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nシトリニカ\nNo dudas en apoyar a quienes te rodean\ny alabarles en público.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nシトリニカ\nY podría seguir...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nスタルーク\nNo creo que sea para tanto...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nシトリニカ\nEres una persona digna de protección.\nAsí lo he creído desde que éramos niños.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nシトリニカ\nY, estúpida de mí, pensaba que podría\nconseguirlo... pero la intención no es suficiente.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nシトリニカ\nMis fuerzas no bastan para protegerte.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nスタルーク\n¡Eso no es cierto!\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nシトリニカ\nLo lamento, Alcryst. Siento que me hayan\nelegido para ser tu vasalla.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0C\nシトリニカ\nSi no fuese por mí, tendrías a tu lado\na alguien más digno de servirte.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nスタルーク\nCitrinne...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0C\nスタルーク\nCitrinne, ¿tendrías un momento?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nシトリニカ\nOh, Alcryst.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nスタルーク\nNo sé si es porque somos primos o qué,\npero lo cierto es que tenemos mucho en común.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nスタルーク\nComo sabes, me cuesta aceptarme como soy.\nY veo que a ti te ocurre lo mismo.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nシトリニカ\n¿A qué te refieres?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nスタルーク\nDices que eres muy débil para ser mi vasalla,\npero no podrías estar más equivocada.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nシトリニカ\nAlcryst, no te molestes en tratar\nde consolarme.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nシトリニカ\nEn lo que a la fuerza se refiere, soy claramente\ninferior al resto de los vasallos reales.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nスタルーク\nSi te refieres a la fuerza bruta, quizá.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nスタルーク\nPor eso dedicas cada momento libre\nque tienes a entrenar, ¿verdad?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nスタルーク\nLlueva o haga calor; no perdonas ni un solo día.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nスタルーク\nQuizá te falte fuerza física, pero lo compensas\ncon fuerza de voluntad. Eso es lo que cuenta.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nシトリニカ\nPuede ser, pero... empeñarme en entrenar\nno me convierte en una buena vasalla.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nスタルーク\nTe equivocas otra vez.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nスタルーク\nSé que te tomas tus responsabilidades\nmuy en serio. Por eso confío en ti.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nシトリニカ\n¿Sí? ¿De verdad?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nスタルーク\n¿Puedes imaginar el enorme alivio que sentí\ncuando supe que serías mi vasalla?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nスタルーク\nNo... alivio no es la palabra adecuada.\nCómo lo podría decir...\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nスタルーク\nEstoy enormemente agradecido\nde que seas mi vasalla.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nスタルーク\nSí, somos primos. Y, sí, nos conocemos\ndesde siempre.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nスタルーク\nPero no me importan los motivos\npor los que te eligieron.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nスタルーク\nPara mí, lo que cuenta es que tú\nte ofreciste de voluntaria para el puesto.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nシトリニカ\nQuería proteger a mi querido primo.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nスタルーク\nExacto. No merezco ese gesto, pero...\npara mí significa mucho.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nスタルーク\nPor eso me alegra que las cosas\nsean como son, Citrinne.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nシトリニカ\nAlcryst...\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nシトリニカ\nMe siento tan feliz al oírte decir eso.\n¡Ahora tengo más ganas que antes de entrenar!\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nシトリニカ\nDespués de todo, me queda mucho por mejorar\npara poder protegerte.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0C\nスタルーク\nUn momento...\n¡Era yo quien quería protegerte a ti!\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0C\nシトリニカ\nEs verdad. Gracias, Alcryst.\x0E\x04\x00\x00
