MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リンデン\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nザフィーア\nPerdona, Lindon. ¿Te importaría que te hiciese\nuna pregunta un poco rara?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nザフィーア\nLindon...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リンデン\nEs impresionante ver cómo destripas y limpias\nun pescado tan grande en un dos por tres.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nザフィーア\nNo tiene mérito. Los que crecimos en la costa\nsabemos hacerlo casi desde los siete años.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08リンデン\nEntiendo...\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リンデン\nSaphir, sobre nuestra última charla...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nザフィーア\nAh, ¡has llegado justo a tiempo!\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nザフィーア\nIba a asar el pescado ahora mismo.\n¿Le das tu toque mágico? ¡Sí, haz los honores!\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リンデン\nPues... me encantaría, pero...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nザフィーア\nTodavía le das vueltas a la conversación\nque mantuvimos.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リンデン\nMe temo que sí.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リンデン\nEs un hecho innegable que participé\nen la guerra que les costó la vida a tus padres.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リンデン\nSi me guardas rencor por ese motivo,\nlo entiendo perfectamente.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nザフィーア\nCon todos los respetos, Lindon...\ndéjate de tonterías antes de que me enoje.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08リンデン\n¿¡Cómo dices!?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nザフィーア\nNo tengo ningún problema contigo,\nsino con la guerra.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nザフィーア\nSi tuviese que odiar a todos los que tomaron\nlas armas, no daría abasto. Está muy claro.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08リンデン\nLo entiendo, pero...\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nザフィーア\nNo hay más que añadir. Que asumas esa carga\nno me hace ningún favor.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リンデン\nTienes razón. Reconozco que me estaba\nportando como un idiota.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nザフィーア\nNo del todo. Has demostrado que aquello\nte pesa, y eso tiene su importancia para mí.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nザフィーア\nBueno, ¿me ayudas a asar el pescado o qué?\n¡La gente espera hambrienta!\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08リンデン\n¡Pues no perdamos más tiempo!\nMe dejaré de disculpas, ¡es hora de cocinar!\x0E\x04\x00\x00
