MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\n¿La comida ha sido de tu agrado,\nDragón Divino?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDesde entonces, soy muy perfeccionista.\nNo ser la mejor en todo resulta frustrante.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0E\x0Cゴルドマリー\nPero de repente apareces tú y me dices\nque te parezco encantadora.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nY lo mantengo. Incluso cuando combates\nte las arreglas para estar arrebatadora.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0E\x0Cゴルドマリー\nGracias. En cuanto oí esas palabras sentí\nque recuperaba la confianza en mí misma.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cゴルドマリー\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08リュール\n¿Lloras... de felicidad?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cゴルドマリー\n¿Acaso no se nota? ¿No brillan mis lágrimas\ncomo el rocío de la aurora?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0E\x0Cゴルドマリー\nLo siento, Dragón Divino... Mis sentimientos\nson tan fuertes que no se pueden contener.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cゴルドマリー\nTendrás que resignarte a contemplar\nel maravilloso espectáculo de mi llorera.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08リュール\nPermaneceré a tu lado hasta que termines.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nGracias por venir, Dragón Divino.\nMe he tomado la licencia de poner la mesa.\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リュール\nIncreíble. ¿Todo esto es para mí?\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0E\x0Cゴルドマリー\nExacto. Aunque reconozco que la presentación\nha quedado algo más insulsa de lo habitual.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0E\x0Cゴルドマリー\nTe estarás preguntando cómo he podido\npreparar una cosa tan vulgar e impropia de mí.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0E\x0Cゴルドマリー\nPero es que ocupa un lugar especial\nen mi corazón.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0E\x0Cゴルドマリー\nPor tanto, en ese sentido, podría decirse\nque es una expresión de mi yo más auténtico.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リュール\nGracias. Significa mucho para mí.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMe alegro.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDragón Divino, con tu permiso...\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0E\x0Cゴルドマリー\ntengo algo que decirte.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リュール\n¿De qué se trata?\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEn otro momento, habría aducido\nque sentías algo por mí para ocultártelo.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nPero eso era antes. Gracias a ti, ahora tengo\nplena confianza para expresar lo que siento.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMe estoy enamorando de ti, \x0E\x06\x03\x00.\nCada día más.\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08リュール\n¿Sí?\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDime que tú también, por favor.\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDime que ves en mí a la compañera perfecta.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08リュール\n¿Perfecta?\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nHay que ver... Tan perfeccionista como siempre.\nSi es que te haces querer.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nDisculpa que me haya quedado mud\x0E\x0A\x00\x08\x02o\x02a,\nGoldmary. Me ha tomado por sorpresa.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nEl caso es que no me imagino una compañera\nmás perfecta que tú. Es más, quería darte esto.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEl Anillo del Pacto... ¡Tiene que ser un sueño!\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08リュール\nPues no. Pruébatelo.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0E\x0Cゴルドマリー\n¡Fíjate! ¡Me queda perfecto! Es el complemento\nideal para estas manos tan elegantes.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\nNo podría estar más de acuerdo.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0E\x0Cゴルドマリー\nQué gentil eres. Bueno, ¿nos sentamos\na comer? No quiero que se enfríe la comida.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0A\x08リュール\nBuena idea. Adelante.\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMe siento mal por el resto del mundo, pero\ndudo que nadie se sienta tan dichosa como yo.\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEn fin, brindemos por ello. Arriba esa copa.\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x0E\x0Cゴルドマリー\nPor nosotr\x0E\x0A\x00\x08\x02o\x02as, que somos la envidia del mundo.\nDeseo pasar el resto de mis días junto a ti.\x0E\x04\x00\x00
