MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0A\x04ルイ\x022\n\x0E\x03\x02\x08\x06クラン\n¿Y... cómo se encuentra hoy... príncipe Alfred?\nLe agradezco... la deferencia de... invitarme.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06クラン\n¿Cómo?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x06\x04ルイ\nPensé que era el final, pero es solo el preludio...\nEs más... Ahora se ha duplicado...\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x06\x04ルイ\n¿Quién sabe cuántas voces más\nse añadirán a este musculoso coro?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x06\x04ルイ\nY ahí estaré yo, eterno observador\nde la condición humana. Ese es mi sino.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06クラン\nMmm... ¿Estás bien?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x06\x04ルイ\n¡Sí! ¡Claro!\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x06\x04ルイ\nPor favor, hazme saber cuándo será\nsu próximo entrenamiento.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x06\x04ルイ\nBrindo todo mi apoyo a esta preciosa actividad.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x06\x04ルイ\nEspero poder seguir teniendo el honor\nde presenciar la escena...\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06クラン\n¡Gracias por tu apoyo, Louis!\x0E\x04\x00\x00
