MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x02\x0E\x0Cオルテンシア\nEn este ejército hay demasiada\ngente bonita. Qué mal.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06アンナ\n¿Por qué estás tan triste, princesa Hortensia?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nHe usado todos tus productos\ny no han funcionado como esperaba.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06アンナ\n¿Cómo?... ¡¿Una clienta insatisfecha?!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cオルテンシア\nNo, los productos son geniales,\npero no me gustan tanto como pensaba.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06アンナ\n¡No digas eso! Mi línea de belleza\nha pasado todos los controles.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06アンナ\nIncluso he ampliado la oferta de productos.\nHe lanzado mi propia marca de perfume mágico.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cオルテンシア\n¿Perfume mágico? ¿Eso existe?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06アンナ\nSí. El aroma encantado hará\nque parezcas incluso más adorable.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06アンナ\nSu poder mágico compensa\nsu poca duración, ¡ya lo verás!\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cオルテンシア\n¿De verdad puede hacer eso?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06アンナ\nTe doy mi palabra. Pruébalo.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cオルテンシア\nOooh, ¡huele de maravilla!\nVoy a ponerme un poco... ¿Qué te parece?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06アンナ\n¡Vaya! ¡Creo que hemos dado en el clavo!\nFunciona incluso mejor de lo que esperaba.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cオルテンシア\n¿De verdad? ¿Por fin tengo mi look definitivo?\n¿Soy totalmente irresistible?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06アンナ\n¡Totalmente!\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06アンナ\nTe daré una muestra gratuita.\nSi te gusta, puedes venir y comprar más.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nOye, lady Anna. ¿Puedo hablar contigo?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06アンナ\n¡Princesa Hortensia! ¿Te ha gustado\nel perfume? ¿Vienes a hacer un pedido?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nAl final he decidido no comprarlo.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06アンナ\n¿Ah? ¿No ha funcionado?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cオルテンシア\nNo, funciona genial. Mi imagen era tan perfecta\nque fui el centro de todas las miradas.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cオルテンシア\nAun así, este perfume no es para mí.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06アンナ\n¿Por qué? Tenías muchas ganas\nde ser la más popular.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cオルテンシア\nMe encanta llevar maquillaje y perfume,\npero creo que pasaré de los productos mágicos.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0E\x0Cオルテンシア\nLa magia es solo un atajo. Quiero que la gente\nadmire mi encanto personal, no un truco.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06アンナ\nOh...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06アンナ\nLo siento, princesa Hortensia.\nNo debí darte ese producto.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0E\x0Cオルテンシア\nNo, era justo lo que necesitaba.\nGracias a eso, he llegado a esta conclusión.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cオルテンシア\nTe estoy muy agradecida.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06アンナ\nVaya.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06アンナ\nAhora me resultas incluso más encantadora\nque cuando llevabas puesto el perfume.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cオルテンシア\n¡Ay, gracias! A partir de ahora, mi encanto\nvendrá solo de mí, nada de trucos.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06アンナ\n¡Y yo seguiré con mi negocio hasta ser\nla mejor mercadera del mundo!\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0E\x0Cオルテンシア\nSuena bien, chica.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06アンナ\nPor cierto, ¿quieres echar otro vistazo\na mi línea de belleza libre de magia?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06アンナ\nTengo todo lo necesario para ayudarte\na ganar popularidad por tus propios méritos.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cオルテンシア\n¡Si me lo vendes así, cómo negarse!\x0E\x04\x00\x00
