MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x08\x06ジャン\nAdmítelo, Jean. Te has perdido.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06クラン\n¡Qué bien!\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06ジャン\nNo quiero pensar qué habría sido de ese chico\nsi me hubiese perdido en el bosque.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06ジャン\nTú le has ayudado tanto como yo, Clanne.\nPor eso quería darte las gracias.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06クラン\nNo hice nada del otro mundo.\nSolo te mostré el camino.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06ジャン\nPero tu ayuda ha beneficiado a otros.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06ジャン\nEs de una familia humilde, así que no creo\nque hubiera podido permitirse ir al médico.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06ジャン\nSi no hubiese tenido esas hierbas,\nla infección se habría agravado.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06クラン\nCaramba...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06ジャン\nEs verdad que lloré un poco, y no creía\nque perderse sería para tanto.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06ジャン\nPero, cuando se trata de atender a un paciente,\nno hay tiempo que perder.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06ジャン\nTengo que tener más cuidado en adelante.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06クラン\nJean, no es que quiera quitarte la razón,\npero no deberías atormentarte así.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06クラン\nUn mal día lo puede tener cualquiera.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06クラン\nPero, si te fijas en lo que salió mal,\npuedes aprender para que no vuelva a suceder.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06クラン\nAunque yo siempre repito los mismos errores\ncomo siervo del Dragón Divino...\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06ジャン\n¿Errores? ¿Tú? No me lo puedo creer.\nSiempre pareces tan seguro de ti mismo.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06クラン\nPara nada. Solo soy un aprendiz.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06クラン\nAquí hay mucha gente mayor, por eso me alegra\ntener a alguien con una edad cercana la mía.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x08\x06ジャン\nMmm...\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x08\x06クラン\n¿He dicho algo malo?\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x08\x06ジャン\n¡No, no! Me alegra mucho oír eso.\nEs que siempre he pensado que soy una carga.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x08\x06ジャン\nEstá muy bien saber que alguien\nse alegra de tenerme cerca.\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x08\x06クラン\nNo es para nada como te lo imaginas.\x0E\x04\x00\x00
MID_RELIANCE_B_#028	\x0E\x03\x02\x08\x06ジャン\nYa lo verás, Clanne.\n¡Algún día seré tan bueno como tú!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x08\x06クラン\n¡Ay!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06ジャン\n¡Clanne! ¡¿Estás bien?!\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06クラン\nNo es nada. Me he caído\ny me he hecho un rasguño.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06ジャン\nIncluso un simple arañazo puede infectarse\nsi no se trata.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06ジャン\nDéjame que mire para desinfectar la herida.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06クラン\nDe acuerdo.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06ジャン\nSangra un poco... Ya me ocupo yo.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06クラン\n¡Ay! ¡Escuece!\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06ジャン\nNo te preocupes, ya he terminado.\nNo ha sido nada, ¿verdad?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06クラン\nGracias.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06ジャン\nNo hay de qué. Es lo menos que podía\nhacer para corresponderte.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06クラン\n¿Corresponderme? ¿Por?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06ジャン\nLa otra vez me dijiste algo que me hizo pensar.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06ジャン\nSobre aprender de los errores\npara no repetirlos.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06クラン\nMe suena, sí.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06ジャン\nFue un buen consejo. Como los que suele\ndarme mi familia.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06クラン\nGracias, Jean...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06ジャン\nComo sabes, procedo de una isla de Firene.\nAquí estoy a gusto, pero no es mi hogar.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06ジャン\nTus palabras hicieron que me sintiera mejor.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06クラン\nAh.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06クラン\nSi extrañas a tu familia, Jean,\nconsidérame como tu hermano mayor.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06クラン\nPuede que no siempre esté a la altura;\nme queda mucho por aprender, pero...\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06ジャン\nNo te preocupes. Con un hermano mayor\ncomo tú a mi lado, ¡no temo a nada!\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06クラン\n¡Ja, ja! Me encantará echarte una mano.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06ジャン\nEs casi la hora de cenar. ¿Qué tal va la herida?\n¿Te ayudo a caminar?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06クラン\nEstoy mucho mejor ahora, gracias a ti.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06ジャン\nQuizá deberías apoyarte en mí de todos modos.\n¡Para eso está la familia!\x0E\x04\x00\x00
