MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06アンナ\n¡Hola, Zelkov! Soy Anna, pero puedes llamarme\nlady Anna. ¡Encantada de conocerte!\x0E\x04\x00\x00
MID_RELIANCE_C_#026	\x0E\x03\x02\x0A\x08ゼルコバ\nBien, poseo *muchas* de esas maravillas.\nSerá un placer mostrártelas.\x0E\x04\x00\x00
MID_RELIANCE_C_#027	\x0E\x03\x02\x08\x06アンナ\nEspero que valga la pena...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0C\x06アンナ\x022
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06アンナ\n¿Este es tu almacén de buenos productos?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ゼルコバ\nCorrecto. Contempla mis *creaciones*.\nPinturas, esculturas, velas... *Tengo* de todo.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08ゼルコバ\nCada pieza ha sido *creada* con amor por\neste servidor. Puedes llevarte lo que quieras.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ゼルコバ\nCon cualquiera de estas piezas,\nseguro que sacas un *buen* beneficio.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06アンナ\nEeeh...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06アンナ\nSí, siento decírtelo, pero ninguna\nde estas cosas se puede vender.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08ゼルコバ\n¿*Disculpa*? ¿Y eso por qué?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06アンナ\nVerás, todas tus obras son geniales,\npero también son demasiado complejas.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06アンナ\nPara vender un producto,\neste tiene que ser simple.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ゼルコバ\n*Bobadas*.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08ゼルコバ\nLa *pasión* de un creador equivale al valor\nde la obra. Para eso pagan los compradores.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06アンナ\nMe temo que no. Entiendo que pienses así,\npero es una visión un tanto anticuada.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06アンナ\nMi generación tiene otros gustos.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ゼルコバ\nQué *humillación*...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ゼルコバ\nBien, entonces *crearé* una obra\nque consiga deleitarte.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08ゼルコバ\nTe dejará sin *palabras*.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06アンナ\nSi crees que puedes conseguirlo, adelante.\nEstoy ansiosa por verla.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nPrepárate, estás a punto de ver un diseño\n*simple* creado con mis dotes artísticas.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08ゼルコバ\n¿Qué opinión tienes de esta estatua?\n¿Cumple tus *estándares* de calidad?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06アンナ\nMmm...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06アンナ\nEsperaba algo mejor.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08ゼルコバ\n¿Por qué tus palabras son tan *hirientes*?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06アンナ\nSé que dije que tus obras debían\nser más simples para poder venderlas.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06アンナ\nPero ¡eres un artista! No esperaba\nque renunciaras a tus ideales tan fácilmente.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06アンナ\nDespués de tu discurso sobre la pasión,\ncreía que te negarías a cambiar de estilo.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ゼルコバ\nEstás muy *equivocada*.\nNi te imaginas cuánto.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06アンナ\n¿Qué? Pero...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ゼルコバ\nEl *aspecto* de simplicidad de la escultura\nes una fachada creada a propósito.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ゼルコバ\nSu diseño es *en realidad*\ndivinamente complejo.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06アンナ\n¿Me lo puedes explicar?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ゼルコバ\nEmpecé creando una escultura que fuera\ntan *intrincada* como yo deseara.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ゼルコバ\nEntonces, añadí otra capa\npara *ocultar* esa complejidad.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ゼルコバ\nEl resultado es mi obra más *complicada*\nque, a simple vista, parece muy sencilla.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08ゼルコバ\nYa puedes *maravillarte* de su grandeza.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06アンナ\nNo tenía ni idea. Es increíble... De hecho,\nes tan increíble que ni siquiera tiene sentido.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06アンナ\nSiento decirte esto,\npero ni con esas se va a vender.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ゼルコバ\n¿Qué? ¿Por qué no?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06アンナ\n¿No lo ves? Es demasiado compleja.\n¡Me arruinaría si intentara fabricar más!\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06アンナ\nAdemás, si los costos de producción son altos,\nel precio también, y eso no suele gustar.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ゼルコバ\n*Supongo* que tienes razón...\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06アンナ\nAun así, te la compraré.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08ゼルコバ\n¿Lo harás?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06アンナ\nTu manera de pensar me ha impresionado.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06アンナ\nNunca había pensado en eso de la pasión,\npero es muy importante para mi oficio.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x08\x06アンナ\nSin pasión, ¿cómo voy a llegar a ser\nuna empresaria independiente?\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x08\x06アンナ\nTe compraré la obra para tenerla siempre\na la vista y no olvidar este sentimiento.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0A\x08ゼルコバ\nAnna...\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x08\x06アンナ\nLady Anna.\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x0A\x08ゼルコバ\nLady Anna...\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x08\x06アンナ\nMejor. No puedo darte mucho por ella.\nTe ofrezco una moneda de oro.\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x0A\x08ゼルコバ\nTan *poco*...\x0E\x04\x00\x00
MID_RELIANCE_A_#035	\x0E\x03\x02\x0A\x08ゼルコバ\nSin embargo, *no* se trata de dinero.\x0E\x04\x00\x00
MID_RELIANCE_A_#036	\x0E\x03\x02\x0A\x08ゼルコバ\nSi esta compra te beneficia, lady Anna,\nserá la más *significativa* para mí.\x0E\x04\x00\x00
MID_RELIANCE_A_#037	\x0E\x03\x02\x0A\x08ゼルコバ\nTe deseo suerte, pequeña mercadera.\n*Espero* de corazón que tengas éxito.\x0E\x04\x00\x00
MID_RELIANCE_A_#038	\x0E\x03\x02\x08\x06アンナ\n¡Gracias! Eres mejor persona\nde lo que parecías a simple vista.\x0E\x04\x00\x00
MID_RELIANCE_A_#039	\x0E\x03\x02\x08\x06アンナ\n¿Quieres compartir unos dulces?\nTengo reservados unos de los mejores.\x0E\x04\x00\x00
MID_RELIANCE_A_#040	\x0E\x03\x02\x0A\x08ゼルコバ\nSerá un placer.\x0E\x04\x00\x00
