MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\n¡Me encanta poder hacerme amiga de otro\nDragón Divino! Tenemos tanto de que hablar...\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nAunque yo no sea un Dragón Divino de\neste mundo, ¿de verdad quieres mi amistad?\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nEso no depende de ser o dejar de ser un Dragón\nDivino, sino de la naturaleza interior.\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x0C\nヴァンドレ\nLa esencia de cada uno reside en su corazón, y\nel suyo es puro. Me gratifica luchar con usted.\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x06\x04チキ\n¡Y yo que me alegro! Haré todo lo posible\npara que mantengas esa opinión sobre mí.\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x08\x06クラン\n(Conque Tiki también es un Dragón Divino...\nQué sublime. Ojalá me permita velar por ella.)\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x06\x04チキ\n¿Eh? ¿Qué haces ahí mirándome?\n¡Acércate y charlemos!\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x08\x06クラン\nTodavía no puedo creer que me dirija la palabra.\n¡Qué honor! Aunque me pongo muy nervioso.\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x06\x04チキ\nPues no hay razón para ello, Clanne.\n¡Somos amigos!\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nOye, Clanne, siempre dices que soy "sublime",\npero ¿qué significa eso exactamente?\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x08\x06クラン\nA ver cómo se lo explico... Me refiero a que es\nincreíble, maravillosa... Cosas por el estilo.\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x06\x04チキ\n¡Oh! Entonces, ¡yo también pienso\nque tú eres sublime!\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x08\x06クラン\n¡¿Qué?! Me toma el pelo... ¿Lo dice en serio?\n¡Me siento desfallecer de felicidad!\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x08\x06フラン\n(¡Vaya, un Dragón Divino de otro mundo!\n¡Ah, me ha visto! ¿Y ahora qué hago?)\x0E\x04\x00\x00
MID_GR_Fram_C_#002	\x0E\x03\x02\x06\x04チキ\n¿Eh? ¿Me estabas mirando? Pues no te quedes\nahí pasmada, mujer. ¡Ven aquí a charlar un rato!\x0E\x04\x00\x00
MID_GR_Fram_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x08\x06フラン\nMe siento honrada de que me dirija la palabra,\npero me bloqueo en cuanto la veo venir.\x0E\x04\x00\x00
MID_GR_Fram_B_#002	\x0E\x03\x02\x06\x04チキ\nPues prepárate, porque me verás hasta en la\nsopa. ¡Quiero que seamos las mejores amigas!\x0E\x04\x00\x00
MID_GR_Fram_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x08\x06フラン\nTiki, he escrito una carta para expresarle\nmi gratitud. ¿Le gustaría leerla?\x0E\x04\x00\x00
MID_GR_Fram_A_#002	\x0E\x03\x02\x06\x04チキ\n¡Ay, gracias! Aunque... no puedo sujetarla.\x0E\x04\x00\x00
MID_GR_Fram_A_#003	\x0E\x03\x02\x06\x04チキ\n¿Me la lees tú? Estoy deseando saber qué dice.\x0E\x04\x00\x00
MID_GR_Fram_A_#004	\x0E\x03\x02\x08\x06フラン\n¡¿Cómo?! ¿En voz alta? Pues no entraba\nen mis planes, pero... puedo probar.\x0E\x04\x00\x00
MID_GR_Alfred_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nMi pueblo adora al Dragón Divino. Es un honor\nconocer a uno de otro mundo.\x0E\x04\x00\x00
MID_GR_Alfred_C_#002	\x0E\x03\x02\x06\x04チキ\n¡Lo mismo digo! Espero que nos hagamos\nbuenos amigos.\x0E\x04\x00\x00
MID_GR_Alfred_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\n¡Pero si ni siquiera ha salido el sol!\n¿Qué haces arriba tan temprano?\x0E\x04\x00\x00
MID_GR_Alfred_B_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nEntrenando para hacerme más fuerte.\n¿Te apuntas?\x0E\x04\x00\x00
MID_GR_Alfred_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\n¿Por qué existen las guerras, Tiki? ¿Qué sentido\ntiene bañar de sangre los campos de flores?\x0E\x04\x00\x00
MID_GR_Alfred_A_#002	\x0E\x03\x02\x06\x04チキ\nNo sabría decirte... pero creo que, en el fondo,\ntodos tenemos nuestro corazoncito.\x0E\x04\x00\x00
MID_GR_Alfred_A_#003	\x0E\x03\x02\x06\x04チキ\nOjalá todo el mundo fuese tan afable como tú.\nAsí no se produciría ningún conflicto.\x0E\x04\x00\x00
MID_GR_Alfred_A_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nJe, gracias por el cumplido. El tema me inquieta,\npero entrenando me despejo. ¿Salimos a correr?\x0E\x04\x00\x00
MID_GR_Boucheron_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0C\nブシュロン\nUn Emblema capaz de tomar forma de dragón...\n¡Impresionante! Trataré de estar a la altura.\x0E\x04\x00\x00
MID_GR_Boucheron_C_#002	\x0E\x03\x02\x06\x04チキ\n¡Y yo más! ¡Ya verás lo genial que puedo\nllegar a ser!\x0E\x04\x00\x00
MID_GR_Boucheron_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nEsa novela ha de ser conmovedora para hacerte\nllorar así. Me encantaría que me la leyeses.\x0E\x04\x00\x00
MID_GR_Boucheron_B_#002	\x0E\x03\x02\x0C\nブシュロン\nUy, ¿me has visto llorar? Es que se trata\nde mi libro favorito. Siéntate y verás por qué.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nSí que te gusta leer, ¿eh? Cada vez que te veo,\nestás con un libro en la mano.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#002	\x0E\x03\x02\x0C\nブシュロン\nEn efecto. Los relatos le permiten a uno\ndistraerse de la guerra. ¿A ti te place la lectura?\x0E\x04\x00\x00
MID_GR_Boucheron_A_#003	\x0E\x03\x02\x06\x04チキ\nBueno, ¡yo prefiero que me lean!\n¿Podrías contarme alguna historia?\x0E\x04\x00\x00
MID_GR_Boucheron_A_#004	\x0E\x03\x02\x0C\nブシュロン\nDesde luego. Conozco un buen puñado,\naunque existen muchísimas más.\x0E\x04\x00\x00
MID_GR_Etie_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0C\nエーティエ\n¿Te gusta entrenar, Tiki? Quizá podemos salir\na correr para afianzar nuestra amistad.\x0E\x04\x00\x00
MID_GR_Etie_C_#002	\x0E\x03\x02\x06\x04チキ\nMe encanta hacer ejercicio, ¡y seguro\nque juntas la pasamos genial!\x0E\x04\x00\x00
MID_GR_Etie_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0C\nエーティエ\nLas flores de durazno son el orgullo\nde mi tierra. Espero llevarte a verlas algún día.\x0E\x04\x00\x00
MID_GR_Etie_B_#002	\x0E\x03\x02\x06\x04チキ\n¿De verdad? ¡Estaría genial! Las flores\nson muy hermosas. ¡Ojalá podamos ir pronto!\x0E\x04\x00\x00
MID_GR_Etie_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0C\nエーティエ\nTe noto contrariada. ¿Sucede algo?\nA mí me lo puedes contar.\x0E\x04\x00\x00
MID_GR_Etie_A_#002	\x0E\x03\x02\x06\x04チキ\nEs solo que... estaba recordando el pasado,\ncuando estaba sola y en continuo letargo.\x0E\x04\x00\x00
MID_GR_Etie_A_#003	\x0E\x03\x02\x0C\nエーティエ\n¿Qué te parecería salir a trotar un rato\ny así te desahogas mientras?\x0E\x04\x00\x00
MID_GR_Etie_A_#004	\x0E\x03\x02\x06\x04チキ\nHay que ver... Tu simple compañía ya me sube\nla moral. Gracias, Etie. ¡A correr se ha dicho!\x0E\x04\x00\x00
MID_GR_Celine_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nSaludos, Tiki. La sonrisa que esbozas\nes tan radiante como siempre.\x0E\x04\x00\x00
MID_GR_Celine_C_#002	\x0E\x03\x02\x06\x04チキ\n¡Cómo no voy a estar de buen humor\ncon este grupo de gente tan increíble!\x0E\x04\x00\x00
MID_GR_Celine_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nComo sé que padeces pesadillas, he preparado\nuna infusión; el aroma te ayudará a reposarte.\x0E\x04\x00\x00
MID_GR_Celine_B_#002	\x0E\x03\x02\x06\x04チキ\nAy, ¿para mí? ¡Eres la mejor! Qué olorcito tan\nrelajante... ¡Seguro que duermo como un tronco!\x0E\x04\x00\x00
MID_GR_Celine_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\n¿Qué cosas te aportan alegría? Como amiga\ny compañera tuya, creo que he de saberlo.\x0E\x04\x00\x00
MID_GR_Celine_A_#002	\x0E\x03\x02\x06\x04チキ\nVeamos... ¿Estar entre amigos?\x0E\x04\x00\x00
MID_GR_Celine_A_#003	\x0E\x03\x02\x06\x04チキ\nMe gusta rodearme de la gente que quiero.\n¡Con que me hagas compañía, ya soy feliz!\x0E\x04\x00\x00
MID_GR_Celine_A_#004	\x0E\x03\x02\x0A\x08セリーヌ\n¿De veras? Me complace ser motivo de júbilo.\nAsí pues, ¡te propongo pasar más tiempo juntas!\x0E\x04\x00\x00
MID_GR_Louis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04ルイ\n(Sorprende que una muchacha tan grácil como\nTiki sea capaz de transformarse en dragón...)\x0E\x04\x00\x00
MID_GR_Louis_C_#002	\x0E\x03\x02\x06\x04チキ\n¿Qué haces ahí mirándome?\n¡Ven, acércate a charlar conmigo!\x0E\x04\x00\x00
MID_GR_Louis_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nAquí huele a dulce... Louis, ¿llevas alguna\ngolosina escondida?\x0E\x04\x00\x00
MID_GR_Louis_B_#002	\x0E\x03\x02\x06\x04ルイ\nSon las famosas uvas de mi tierra.\nPrueba alguna si quieres.\x0E\x04\x00\x00
MID_GR_Louis_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04ルイ\nLa paso muy bien contigo. Imagino que esto\nes lo que se siente al tener una hermana menor.\x0E\x04\x00\x00
MID_GR_Louis_A_#002	\x0E\x03\x02\x06\x04チキ\nEntonces, ¡considérame tu hermanita!\x0E\x04\x00\x00
MID_GR_Louis_A_#003	\x0E\x03\x02\x06\x04ルイ\nTe agradezco el gesto, pero eres un Emblema.\nMe abrumaría tal tesitura.\x0E\x04\x00\x00
MID_GR_Louis_A_#004	\x0E\x03\x02\x06\x04チキ\nNo seas bobo. ¡A ver si empiezo a llamarte\n"hermano mayor" aunque no te guste!\x0E\x04\x00\x00
MID_GR_Chloe_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x08\x06クロエ\nPuesto que eres un Dragón Divino,\n¿debería llamarte "Divinidad"?\x0E\x04\x00\x00
MID_GR_Chloe_C_#002	\x0E\x03\x02\x06\x04チキ\n¡Para nada! Puedes llamarme "Tiki" a secas.\nQueda raro tanto formalismo entre amigas.\x0E\x04\x00\x00
MID_GR_Chloe_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nSiempre que te veo, estás surcando los cielos.\n¿Qué haces ahí arriba?\x0E\x04\x00\x00
MID_GR_Chloe_B_#002	\x0E\x03\x02\x08\x06クロエ\nEs que, a veces, me como un refrigerio mientras\nvuelo. Puedes acompañarme cuando quieras.\x0E\x04\x00\x00
MID_GR_Chloe_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nCuando estoy contigo, me siento genial\ny requetecómoda.\x0E\x04\x00\x00
MID_GR_Chloe_A_#002	\x0E\x03\x02\x08\x06クロエ\n¡A mí me pasa exactamente lo mismo!\nFormamos un buen equipo, ¿eh?\x0E\x04\x00\x00
MID_GR_Chloe_A_#003	\x0E\x03\x02\x06\x04チキ\nOye, ya que estamos aquí, ¿me contarías\notro cuento? El anterior me encantó.\x0E\x04\x00\x00
MID_GR_Chloe_A_#004	\x0E\x03\x02\x08\x06クロエ\nClaro. Acomódate por aquí y toma una siesta\nsi quieres. Te acompañaré hasta que despiertes.\x0E\x04\x00\x00
MID_GR_Diamand_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nMe fascina contar con otro Dragón Divino en\nnuestras filas. Espero que estemos a la altura.\x0E\x04\x00\x00
MID_GR_Diamand_C_#002	\x0E\x03\x02\x06\x04チキ\n¡Ya lo creo que sí! En verdad soy superfuerte,\n¿sabes? ¡Me esforzaré para ayudarlos!\x0E\x04\x00\x00
MID_GR_Diamand_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nHáblame acerca de tu mundo. ¿Era el mismo\nque el del Emblema Marth?\x0E\x04\x00\x00
MID_GR_Diamand_B_#002	\x0E\x03\x02\x06\x04チキ\nSí. Los conflictos se sucedían, pero Mar-Mar\nles puso fin. Ojalá llegue la paz a este mundo.\x0E\x04\x00\x00
MID_GR_Diamand_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nOh, tienes una cicatriz en el brazo izquierdo...\n¿Fue una herida de guerra? ¿Te duele todavía?\x0E\x04\x00\x00
MID_GR_Diamand_A_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nAh, sí... Me la hice de pequeño; quise usar magia\nde fuego y salió mal. Soy un mago nefasto.\x0E\x04\x00\x00
MID_GR_Diamand_A_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nMe molesta de vez en cuando, pero no es grave.\nAgradezco que te preocupes por mí, Tiki.\x0E\x04\x00\x00
MID_GR_Diamand_A_#004	\x0E\x03\x02\x06\x04チキ\nVaya, tiene que ser un fastidio. A ver...\nSana, sana, colita de rana...\x0E\x04\x00\x00
MID_GR_Umber_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0A\x08アンバー\nUn Dragón Divino de otro mundo...\n¡Es un sueño hecho realidad! ¡Háblame de ti!\x0E\x04\x00\x00
MID_GR_Umber_C_#002	\x0E\x03\x02\x06\x04チキ\n¡Bien! Primero te cuento muchas cosas de mí\n¡y luego tú me lo cuentas todo sobre ti!\x0E\x04\x00\x00
MID_GR_Umber_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0A\x08アンバー\nCuanto más sé de tu mundo, más me fascina\nla suerte de poder estar aquí contigo.\x0E\x04\x00\x00
MID_GR_Umber_B_#002	\x0E\x03\x02\x06\x04チキ\n¡Ja, ja! A mí también me llena de emoción.\nOye, ¿de qué quieres que hablemos hoy?\x0E\x04\x00\x00
MID_GR_Umber_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\n¿Qué son las alpacas esas de las que tanto\nhablas? Creo que jamás he visto una.\x0E\x04\x00\x00
MID_GR_Umber_A_#002	\x0E\x03\x02\x0A\x08アンバー\nSon unos animales lanudos con el cuello largo.\nEn mi aldea hay una granja de alpacas.\x0E\x04\x00\x00
MID_GR_Umber_A_#003	\x0E\x03\x02\x06\x04チキ\n¡Tienen que ser superlindas! Me gustaría\nver alguna un día. ¿Se dejará acariciar?\x0E\x04\x00\x00
MID_GR_Umber_A_#004	\x0E\x03\x02\x0A\x08アンバー\nEs cuestión de organizarlo. Como gran experto\nen alpacas que soy, ¡yo me ocuparé de ello!\x0E\x04\x00\x00
MID_GR_Jade_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nJade, ¿cómo es que a veces te quedas de pie\ncon los ojos cerrados? ¿Te gusta dormir así?\x0E\x04\x00\x00
MID_GR_Jade_C_#002	\x0E\x03\x02\x0A\x08ジェーデ\nNo, lo hago cuando medito. Me sirve\npara despejar la mente. ¿Quieres probar?\x0E\x04\x00\x00
MID_GR_Jade_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nHoy te has puesto a escribir en vez de meditar.\n¿Qué es, una carta? ¿O quizá un diario?\x0E\x04\x00\x00
MID_GR_Jade_B_#002	\x0E\x03\x02\x0A\x08ジェーデ\nEs un relato. Suelo escribir de noche, pero hoy\nquería hacerlo al aire libre, por cambiar.\x0E\x04\x00\x00
MID_GR_Jade_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nImagino que te ha pasado algo bueno.\n¡Esa sonrisa te delata!\x0E\x04\x00\x00
MID_GR_Jade_A_#002	\x0E\x03\x02\x0A\x08ジェーデ\nMe sorprende que hayas reparado en ello.\nCasi nadie lo hace, ni siquiera cuando sonrío.\x0E\x04\x00\x00
MID_GR_Jade_A_#003	\x0E\x03\x02\x06\x04チキ\nBueno, hemos pasado tanto tiempo juntas...\nVamos, ¡dime de qué se trata!\x0E\x04\x00\x00
MID_GR_Jade_A_#004	\x0E\x03\x02\x0A\x08ジェーデ\nMi última obra ha despertado el interés\nde alguien. ¿Te la leo y me dices qué opinas?\x0E\x04\x00\x00
MID_GR_Staluke_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0C\nスタルーク\nNo entiendo por qué le diriges la palabra a\nalguien como yo. Soy indigno de tal favor, Tiki.\x0E\x04\x00\x00
MID_GR_Staluke_C_#002	\x0E\x03\x02\x06\x04チキ\n¿Pero qué dices? Me encanta hablar contigo.\n¡Deberíamos hacerlo más a menudo!\x0E\x04\x00\x00
MID_GR_Staluke_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\n¡El ataque que lanzaste en el campo de batalla\nfue increíble! Estás en boca de todos.\x0E\x04\x00\x00
MID_GR_Staluke_B_#002	\x0E\x03\x02\x0C\nスタルーク\nNo merezco semejantes halagos. Brillas\nde tal manera que... ¡Ah, no puedo soportarlo!\x0E\x04\x00\x00
MID_GR_Staluke_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0C\nスタルーク\nEres fortísima, Tiki. Todo el mundo confía en ti.\nSi me lo permites, te protegeré sin reservas.\x0E\x04\x00\x00
MID_GR_Staluke_A_#002	\x0E\x03\x02\x06\x04チキ\n¡De acuerdo, Alcryst! ¡Y yo haré lo propio\ncontigo!\x0E\x04\x00\x00
MID_GR_Staluke_A_#003	\x0E\x03\x02\x0C\nスタルーク\n¡¿Cómo?! P-pero... sería una pérdida de tiempo.\nHarías mejor en proteger a alguien digno de ello.\x0E\x04\x00\x00
MID_GR_Staluke_A_#004	\x0E\x03\x02\x06\x04チキ\n¡Tú eres eso y más! Además, si nos cubrimos las\nespaldas mutuamente, ¡estaremos más seguros!\x0E\x04\x00\x00
MID_GR_Lapis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nUy, llevas la manga toda deshilachada.\n¿Es que se te ha enganchado con algo?\x0E\x04\x00\x00
MID_GR_Lapis_C_#002	\x0E\x03\x02\x08\x06ラピス\nQuizá fue en el campo de batalla.\nIré a buscar hilo para remendarla.\x0E\x04\x00\x00
MID_GR_Lapis_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nTe he visto hacer un montón de comida, Lapis.\n¡Se ve deliciosa! Eres buena cocinera, ¿verdad?\x0E\x04\x00\x00
MID_GR_Lapis_B_#002	\x0E\x03\x02\x08\x06ラピス\nEran camotes de mi tierra. Los he cocido con\nunas hierbas que recogí y... No he dicho nada.\x0E\x04\x00\x00
MID_GR_Lapis_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x08\x06ラピス\nQuiero agradecerte toda la ayuda prestada.\n¿Qué te gustaría? Sé hacer muchas cosas.\x0E\x04\x00\x00
MID_GR_Lapis_A_#002	\x0E\x03\x02\x06\x04チキ\nAh, ¿sí? Entonces, creo que me gustaría...\npasar más tiempo contigo. ¡Muchísimo más!\x0E\x04\x00\x00
