MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cゴルドマリー\n¿Y si nos encontramos con alguien que vio\nmi indigna cara? ¡Se lo contaría a todos!\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJamás podré superarlo...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06フラン\nEso no va a pasar, Goldmary.\nVamos, que no es el fin del mundo.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cゴルドマリー\nSi la gente de los baños supiera la ridícula\ncara que puse, jamás podría volver allí.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNo podré saber si allí habrá alguien\nque me viera... hasta que ya esté allí.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEs como querer ir de compras sin tener\nun vestido adecuado para ponerte.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06フラン\nNo estoy entendiendo bien, pero seguro\nque no es para tanto. No llores, por favor.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0E\x0Cゴルドマリー\n¿Me ayudarás a practicar hasta que vuelva\na ser la chica elegante y refinada de siempre?\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x08\x06フラン\nMmm...\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x08\x06フラン\nClaro, si eso te ayudará a sentirte mejor...\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0E\x0Cゴルドマリー\nGracias, Framme.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nHola, Framme. ¿Notas algo distinto en mí?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0E\x0Cゴルドマリー\n¡He recuperado mi lugar en el mundo!\nVuelvo a ser la viva imagen de la elegancia.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06フラン\n¡Eh, genial! Me alegra que nuestros esfuerzos\nhayan dado sus frutos.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06フラン\nLa verdad es que yo te veo igual que siempre,\npero lo que cuenta es que te sientas mejor.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cゴルドマリー\n¿No se nota? Inclino la cabeza diez grados\nen vez de quince.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06フラン\nAaah... ¡Qué bien!\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cゴルドマリー\nGracias por todo, Framme.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEstuviste a mi lado a pesar de que inclinaba\nla cabeza más de lo debido.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIncluso me ayudaste a practicar mi expresión\nhasta que logré perfeccionarla.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cゴルドマリー\nGracias a ti, he comprendido que un desliz\nno arruinará nuestra amistad.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06フラン\nExacto. Las amigas no son superficiales.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0E\x0Cゴルドマリー\n¿Podría prepararte una deliciosa\ncomida casera para agradecértelo?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06フラン\n¡Sí, me encantaría!\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0E\x0Cゴルドマリー\nPrepararé algo con las manzanas\nque recogimos. Será rico y nutritivo.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06フラン\n¡Qué ganas! Seguro que estará buenísimo.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cゴルドマリー\nCuidado con las expectativas,\nsolo estará al nivel de los mejores restaurantes.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06フラン\n¿Solo? ¡Caramba! Tienes mucha confianza\nen tu destreza culinaria.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0E\x0Cゴルドマリー\nTus papilas gustativas no querrán saborear\notra cosa que no sea mi comida, lo siento...\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06フラン\nMenos mal que vuelves a ser la de siempre,\nGoldmary.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06フラン\n¡Estoy ansiosa por probar lo que cocines!\x0E\x04\x00\x00
