MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cセレスティア\x022\n\x0E\x03\x02\x0A\x08リュール\nZelestia, ¿aún no te has tomado un descanso?\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nMe inquieto por ti, y no quiero verte sufrir así.\x0E\x04\x02\x00
MID_RELIANCE_S_#021	Así que te ofrezco el Anillo del Pacto.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0E\x0Cセレスティア\n¡Oh, no puede hacer eso!\nEse anillo es demasiado valioso.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08リュール\nPlaneaba dártelo como prueba de que el tiempo\nque compartimos será prolongado.\x0E\x04\x02\x00
MID_RELIANCE_S_#024	Ahora somos como familia, ¿no?\nY la familia come junta.\x0E\x04\x02\x00
MID_RELIANCE_S_#025	Así que, sigamos como hasta ahora. Mañana,\npasado... y durante el resto de nuestras vidas.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0E\x0Cセレスティア\nG-gracias, Divinidad.\nMe siento honrada de aceptar este anillo.\x0E\x04\x02\x00
MID_RELIANCE_S_#027	Me ha hecho muy feliz.\x0E\x04\x02\x00
MID_RELIANCE_S_#028	Siempre he deseado que pudiera apoyarse\nen mí... y que me dejara consentirl\x0E\x0A\x00\x08\x02o\x02a un poco.\x0E\x04\x02\x00
MID_RELIANCE_S_#029	Pero, en algún momento, se invirtieron\nlas tornas, \x0E\x06\x03\x00...\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x0E\x0Cセレスティア\nAhora somos familia. Cuidaré de usted\ny jamás me separaré de su lado.\x0E\x04\x00\x00
