MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08セリーヌ\x022\n\x0E\x03\x02\x0A\x08リュール\nHe disfrutado mucho del té.\nGracias por invitarme, Céline.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08セリーヌ\n¡Imagíneselo! ¡Expulsados por las travesuras\nde un espíritu!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08セリーヌ\nNo es especialmente violento, ni tampoco\nse puede decir que tenga gran efecto disuasorio.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08リュール\nAun así, es una historia muy agradable.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リュール\nDiría que ese tipo de historias benevolentes\nreflejan a la perfección el carácter firenés.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08セリーヌ\nSí... cierto. Deberíamos vernos en otra ocasión\npara tomar té, Divinidad.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08セリーヌ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\nPareces algo triste, Céline.\n¿Ocurre algo?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08セリーヌ\nOh, Divinidad. ¿Recuerda el té\nque degustamos el otro día?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リュール\nEstaba tan bueno que no creo que lo olvide\nen un tiempo.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08セリーヌ\nParece que los bandoleros se están dedicando\na robar las remesas de esas hojas de té.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08セリーヌ\nCambiar de ruta apenas ha servido de nada.\nCada día hay más ataques.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リュール\nEs horrible.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08セリーヌ\nNormalmente, yo no me encargo de intervenir\ndirectamente en asuntos de esta índole.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08セリーヌ\nPero esto es una emergencia.\nNadie en Firene sabe de té tanto como yo.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08セリーヌ\nAsí que madre me ha encomendado\nque me ocupe personalmente del problema.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リュール\n¿Y qué piensas de todo eso?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08セリーヌ\nSospecho que podría ser parte de mi educación.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08セリーヌ\nAunque mi hermano sea el heredero,\nsigo siendo princesa de Firene.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08リュール\n¿Y cómo piensas detenerlos?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08セリーヌ\nCreo que les voy a hacer bromas pesadas\nhasta que se marchen.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08セリーヌ\n¿No sería genial si resolver problemas\nfuera tan sencillo como en los cuentos?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08セリーヌ\nPero la vida real no es tan... idílica.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リュール\nNo, no lo es.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08セリーヌ\nNo mostraré compasión alguna ante quienes\ncausan sufrimiento al pueblo de Firene.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08セリーヌ\nHaré lo que sea menester para que mi pueblo\npueda volver a vivir en paz.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08リュール\n(...)\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08セリーヌ\nNo me mire así, Divinidad.\nEs mi deber. Y pienso cumplir con él.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08セリーヌ\nY ahora, con su permiso...\nHe de ocuparme de este asunto con celeridad.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08セリーヌ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nSiento si le causé desazón el otro día,\nDivinidad. Mis más sinceras disculpas.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\n¿Qué pasó con los malhechores\nque asaltaban los cargamentos de té?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08セリーヌ\nHemos librado fondos para incrementar\nla seguridad de la caravana.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08セリーヌ\nLuego permitimos que los bandoleros escapasen\ny los seguimos hasta su base de operaciones.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08セリーヌ\nAcabo de dar la orden para que su guarida\nsea borrada de la faz de la tierra.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08リュール\nEntiendo.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08セリーヌ\nSon bandidos, pero siguen siendo fireneses...\nAcabo de firmar sus sentencias de muerte.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08セリーヌ\nVolvería a hacer lo mismo sin titubear.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08セリーヌ\nNo se puede tolerar que nadie ─sin excepción─\nquebrante la paz de Firene.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リュール\nHa debido de ser una decisión dolorosa.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08セリーヌ\nEn absoluto.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08セリーヌ\nNo hay lugar para los sentimientos\ncuando se ejerce un cargo como el mío.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nEntiendo. Has debido endurecer tu corazón,\npero esto te sigue provocando angustia.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08セリーヌ\nGracias por comprenderlo.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08セリーヌ\nNo hay cosa que no haría para proteger\nmi reino.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08セリーヌ\nDesenvainaré mi espada sin dudar para proteger\nla paz. He sido educada desde niña para ello.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08セリーヌ\nAun así...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08セリーヌ\nNo extraigo satisfacción ninguna\nal cumplir con mi deber.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08セリーヌ\nMe temo que eso es un indicio\nde la debilidad de mi carácter.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08リュール\nNo es una debilidad, sino bondad.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リュール\nEs la misma bondad que se refleja\nen el carácter de los fireneses.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08セリーヌ\nEs muy amable, Divinidad.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08セリーヌ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nDivinidad, ¿podríamos hablar?\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リュール\nClaro, Céline.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08セリーヌ\nEs acerca de un asunto\nsobre el que ya hemos conversado.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08セリーヌ\nRecordará que le dije que desenvainaría\nmi espada sin dudar para proteger mi reino...\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08セリーヌ\nQue, a tal fin y por el bien de mi pueblo,\nestaría dispuesta a librar una guerra.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08リュール\nSí, lo recuerdo.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08セリーヌ\nPues bien, he de admitir\nque mi determinación flaquea.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08セリーヌ\nMe pregunto si procurar la paz podría llevarme\nde veras a mostrarme tan despiadada.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08リュール\nResulta comprensible en alguien de un carácter\ntan dulce como el tuyo.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08セリーヌ\n¡No lo llame dulzura! Es cobardía, nada más.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08セリーヌ\nLa cobardía que produce el miedo al qué dirán.\nA pensar que usted podría llegar a odiarme.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リュール\nAh...\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0A\x08セリーヌ\nDe ahí que me vea obligada a suplicar\nsu absoluto desprecio.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08セリーヌ\nNo merezco otra cosa, dado que antepongo\nmis sentimientos a mis obligaciones reales.\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08セリーヌ\nSaber que \x0E\x0A\x00\x0C\x04lo\x04la he decepcionado me ayudaría\na luchar de nuevo sin piedad por mi patria.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08リュール\n(...)\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nAcepta este regalo, Céline.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08セリーヌ\nPero si es... ¿el Anillo del Pacto?\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nTú jamás me decepcionarás. Y siempre\nme tendrás a tu lado, elijas lo que elijas.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nObres en tu interés o en el del Reino de Firene.\nSean cuales sean tus motivaciones...\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nnunca te faltará mi apoyo.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08セリーヌ\nPero... ¿no le repugna mi falta de compasión?\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08リュール\nNo. Sé que, en el fondo de tu corazón,\nno eres así. Sean cuales sean tus decisiones...\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nafrontaremos las consecuencias \x0E\x0A\x00\x1C\x0Cjuntos\x0Cjuntas.\nNo te abandonaré.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08セリーヌ\nGracias, Divinidad.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0A\x08セリーヌ\nCon usted a mi lado, no veo motivo\npara comportarme como una cobarde.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0A\x08セリーヌ\nSolo hallaré felicidad.\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0A\x08セリーヌ\nSu apoyo incondicional me libra\nde una pesada carga. Es \x0E\x0A\x00&\x10un amigo\x12una amiga de verdad.\x0E\x04\x00\x00
