MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08セアダス\n¿Qué? ¿En serio? ¿¡Aquí!?\n¿Me estaré equivocando?...\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08アンバー\n¿Que llueva? ¿Te refieres a que caiga\nagua del cielo?... ¿Cómo se hace eso?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08セアダス\nPues... no lo sé. El héroe eres tú.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08アンバー\nUf, ¡no me fastidies! Es imposible conseguir\nque llueva así por las buenas.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08セアダス\nMira, si eres el héroe de las profecías,\nya te las arreglarás. Las cartas han hablado.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08アンバー\nVaya, no me digas que las cartas confían\ntanto en mí... No puedo decepcionarlas.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08アンバー\nBueno, no pasa nada. Soy un héroe legendario.\nTengo todo lo necesario para hacer que llueva.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08アンバー\n(...)\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08アンバー\nVia-llu, via-llu, via-llu...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08セアダス\nEh...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08アンバー\nVia-llu, e-ca led lo-cie, fa-por...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08セアダス\n¿Qué clase de hechizo será ese?...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08アンバー\n¡Alpaca! ¡Alpaca y vámonos si no cae la lluvia!\n¡Que llueva de una veeez!\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08アンバー\n¡Uaaaaaah, que lluevaaa!\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08セアダス\nMadre mía...\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08アンバー\nArf... ¿Qué tal he estado?\n¿Aún no ha empezado a lloviznar?\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08セアダス\nNo cae ni una gota.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0A\x08アンバー\n¡Ay, por favor!\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0A\x08セアダス\nSupongo que las cartas me han engañado...\nLo siento, pensé que las había leído bien.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0A\x08アンバー\nNo, si el que acaba de hacer el ridículo soy yo.\nDiles a las cartas que me perdonen...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08セアダス\nAmber, ¿podemos hablar?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08アンバー\nHola, Seadall. Lo siento, pero quiero\nestar solo un rato.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08アンバー\nSigo avergonzado por haberme creído que era\nel "héroe de la lluvia". Mira que soy idiota...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08セアダス\nDe eso mismo quería hablarte...\nAl final sí llovió. ¡Resulta que eres un héroe!\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08アンバー\nEh...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08アンバー\nVaya.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08アンバー\n¡No, un momento! Yo estaba allí...\n¡Hice todas esas cosas y no vi caer ni una gota!\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08アンバー\nGracias por tratar de darme una alegría, pero...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08アンバー\nque me mientas para levantarme el ánimo\nme hace sentir aún más estúpido.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08セアダス\n¿Cómo iba a hacer eso? Te aseguro que llovió\nde verdad, Amber, tal y como decían las cartas.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08セアダス\nNo fue justo donde estábamos nosotros,\nsino en una aldea cercana.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08アンバー\n¿¡De verdad!?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08セアダス\nLa zona sufría una sequía interminable,\ny los cultivos se estaban echando a perder.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08セアダス\nY, de repente, comenzó a llover a cántaros.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08セアダス\nCréeme, sucedió en cuanto acabaste\ncon esa extraña invocación que se te ocurrió.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08アンバー\nOh, ¿qué dices? ¡No puede ser!\n¿¡Me estás tomando el pelo!?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08アンバー\n¡Lo conseguí! ¡Soy el héroe legendario\nde una aldea perdida!\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08アンバー\nQué felicidad... Salvar a la gente en apuros\nes lo mejor que hay en este mundo.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08セアダス\nCuando acabe la guerra, ¿qué te parece\nsi visitamos la aldea? Te presentaré ante todos.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08セアダス\n"Señoras y señores, ¡aquí está su héroe,\nel señor de las alpacas!". Sí, eso es lo que diré.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08アンバー\n¡Uy, eso no, por favor! Ya has vuelto a conseguir\nque suene menos genial...\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08セアダス\nNo te preocupes; les diré que eres "el héroe\nde las profecías". Te lo has ganado.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08アンバー\n¡Bien! ¡Y después yo le daré las gracias\nal gran adivino que predijo mi llegada!\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08セアダス\nVas a hacer que me sonroje.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08アンバー\n¿Sabes? Creo que formamos una gran pareja.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08セアダス\nCreo que no nos queda otra.\nSegún las cartas, nuestro destino es ser amigos.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08アンバー\nQué listas son esas cartas, compa.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08アンバー\n¡Por una larga amistad! Que la lluvia no empañe\nnuestro gran día. Salvo que la invoque yo, claro.\x0E\x04\x00\x00
