MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nザフィーア\n¡Buf! ¡Esto sí que es sudar! Aunque ese olor\nindica que es hora de parar el entrenamiento.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パネトネ\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nザフィーア\nMmm...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08パネトネ\n¡Asombroso! Llevas dos horas arrodillada.\nNunca habías aguantado tanto.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nザフィーア\n¿De veras? Para esta servidora, este lapso\nde genuflexión apenas supone esfuerzo alguno.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08パネトネ\nY también te expresas de maravilla...\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08パネトネ\nNunca sospeché que progresarías tanto\nen tan poco tiempo.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08パネトネ\nMe has impresionado, Saphir.\nEstoy tremendamente orgullosa de ti.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nザフィーア\nTu donosura queda patente al obsequiarme\ncon tales halagos. Me complacen grandemente.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nザフィーア\nY ahora que ya domino todas esas tonterías...\n¡por fin puedo volver a hablar normal!\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08パネトネ\n¡¿Cómo?!\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08パネトネ\n¿Por qué? ¡Si apenas habíamos empezado!\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nザフィーア\nA ver, ya sé que eso del decoro es importante...\npero solo necesito lo básico.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nザフィーア\nAhora que sé esto, puedo servir a mi reino\ndel modo que mejor se me da.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08パネトネ\nMmm... Supongo que tiene cierto sentido.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nザフィーア\nLo que me has enseñado es importante.\nCréeme, no lo desperdiciaré.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nザフィーア\nYa sé cómo mantener un mínimo de decoro.\nPuedo servir en el palacio sin llamar la atención.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08パネトネ\nBueno... Ya veo que no me faltaba razón\nal tenerte en gran estima.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08パネトネ\nQuizá debería seguir tu ejemplo\ny concentrarme más en entrenar el cuerpo.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nザフィーア\nSi necesitas ayuda con eso, estaría encantada\nde darte algún consejo. Qué menos...\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08パネトネ\n¡¿De veras?!\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08パネトネ\nMis modales, combinados con un físico\ncomo el tuyo... ¡Sería la vasalla ideal!\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08パネトネ\nTrato hecho, Saphir. Acepto tu propuesta.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nザフィーア\n¡Excelente, mi señora! Pero cerciórate de\nprepararte bien. Nos esforzaremos al máximo.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08パネトネ\n¡Por supuesto! Pienso ponerme tan fuerte que\ntendrás que postrarte ante mí, por así decirlo.\x0E\x04\x00\x00
