MID_WU_C_1_IN_#001	¿Puedo pasar?
MID_WU_A_1_SOON_#002	Lo comprendo.
MID_WU_A_1_SOON_#003	No hay nada mejor que una cama cómoda.
MID_WU_A_1_SOON_#004	Aunque luego cuesta mucho levantarse, claro.
MID_WU_A_1_WAKEUP_#001	¿Todavía sigue durmiendo?
MID_WU_A_1_WAKEUP_#002	Vamos, por favor...
MID_WU_A_1_WAKEUP_#003	Si no se despierta,
MID_WU_A_1_WAKEUP_#004	le daré golpecitos en la frente,
MID_WU_A_1_WAKEUP_#005	como me hizo usted el otro día.
MID_WU_A_1_HELLO_#001	Ah, he logrado despertar\x0E\x0A\x00\x0C\x04lo\x04la así.
MID_WU_A_1_HELLO_#002	He procurado que el golpe fuera\nlo más suave posible.
MID_WU_A_1_HELLO_#003	No quisiera hacerle daño por nada del mundo...
MID_WU_A_2_IN_#001	Ahora que lo pienso...
MID_WU_A_2_IN_#002	al otro Dragón Divino nunca tuvimos\nque despertarlo.
MID_WU_A_2_SOON_#001	Perdón, ¿hablaba en voz alta?
MID_WU_A_2_SOON_#002	Estaba rememorando viejos tiempos...
MID_WU_A_2_SOON_#003	Me encanta encargarme de despertar\x0E\x0A\x00\x0C\x04lo\x04la,\nno lo dude.
MID_WU_A_2_WAKEUP_#001	¿Sabe?
MID_WU_A_2_WAKEUP_#002	En el otro mundo jamás vi que durmiese.
MID_WU_A_2_WAKEUP_#003	Se me hace raro pensarlo.
MID_WU_A_2_WAKEUP_#004	Dígame, ¿acaso siempre estuvo consciente?
MID_WU_A_2_WAKEUP_#005	Seguro que no...
MID_WU_A_2_HELLO_#001	Buenos días.
MID_WU_A_2_HELLO_#002	Necesita tener a una persona siempre\npendiente de usted, ¿eh?
MID_WU_A_2_HELLO_#003	Lo más curioso
MID_WU_A_2_HELLO_#004	es que empiezo a disfrutarlo.
MID_WU_S_1_IN_#001	¿Sigue en la cama?
MID_WU_S_1_IN_#002	Ay, por favor...
MID_WU_S_1_IN_#003	Me acabo de dar cuenta de lo adorable\nque es cuando duerme.
MID_WU_S_1_SOON_#001	Buenos días.
MID_WU_S_1_SOON_#002	Me alegro de que se haya levantado\ntan temprano.
MID_WU_S_1_SOON_#003	¿Que por qué motivo?
MID_WU_S_1_SOON_#004	Pues porque, si hubiera contemplado\nun segundo más su rostro mientras duerme,
MID_WU_S_1_SOON_#005	mi corazón habría empezado a latir tan deprisa
MID_WU_S_1_SOON_#006	que me habría explotado de puro gozo.
MID_WU_S_1_WAKEUP_#001	Transmite tanta paz...
MID_WU_S_1_WAKEUP_#002	No cambiaría este momento\npor nada del mundo.
MID_WU_S_1_WAKEUP_#003	Me pasaría una eternidad observándo\x0E\x0A\x00\x0C\x04lo\x04la.\nPero, ya que me ha traído aquí,
MID_WU_S_1_WAKEUP_#004	pienso arriesgar mi vida por usted.
MID_WU_S_1_WAKEUP_#005	Lucharé con denuedo por proteger\x0E\x0A\x00\x0C\x04lo\x04la.
MID_WU_S_1_WAKEUP_#006	Le prometo que, a partir de ahora,
MID_WU_S_1_WAKEUP_#007	por más heridas que sufra en combate,
MID_WU_S_1_WAKEUP_#008	las soportaré...
MID_WU_S_1_WAKEUP_#009	con tal de que usted esté a salvo.
MID_WU_S_1_HELLO_#001	Ya está en pie.
MID_WU_S_1_HELLO_#002	Espero que ambos superemos el día\nsanos y salvos.
MID_WU_S_1_HELLO_#003	Busque refugio a mi lado
MID_WU_S_1_HELLO_#004	si las cosas se ponen feas.
MID_WU_S_1_HELLO_#005	Juro que \x0E\x0A\x00\x0C\x04lo\x04la protegeré.
MID_WU_S_2_IN_#001	He venido a despertar\x0E\x0A\x00\x0C\x04lo\x04la, \x0E\x0A\x00H"querido compañero"querida compañera.
MID_WU_S_2_IN_#002	Ay, qué vergüenza me dan estas cosas...
MID_WU_S_2_SOON_#001	¿Se ha levantado tan deprisa\npara hacerme sentir mejor?
MID_WU_S_2_SOON_#002	Gracias...
MID_WU_S_2_SOON_#003	Estos detalles
MID_WU_S_2_SOON_#004	son los que me llevan a querer consentir\x0E\x0A\x00\x0C\x04lo\x04la
MID_WU_S_2_SOON_#005	y a hacer lo que pueda por ver\x0E\x0A\x00\x0C\x04lo\x04la feliz.
MID_WU_S_2_WAKEUP_#001	Ay, Divinidad...
MID_WU_S_2_WAKEUP_#002	Cuando me entregó el Anillo del Pacto,
MID_WU_S_2_WAKEUP_#003	fue como despertar a un maravilloso\nmundo nuevo. Se lo agradezco tanto...
MID_WU_S_2_WAKEUP_#004	Desde entonces, noto como mariposas\nen el estómago.
MID_WU_S_2_WAKEUP_#005	Pero procuraré mantener los pies en el suelo.
MID_WU_S_2_WAKEUP_#006	Solo espero ser capaz, algún día,\nde hacer\x0E\x0A\x00\x0C\x04lo\x04la sentir \x0E\x0A\x00\x1C\x0Cseguro\x0Csegura a mi lado.
MID_WU_S_2_WAKEUP_#007	Debo reconocer que mi amor por usted\ncrece cada día que pasa.
MID_WU_S_2_WAKEUP_#008	Así que con gusto dedicaría el resto de mi vida\na proteger\x0E\x0A\x00\x0C\x04lo\x04la de cualquier mal.
MID_WU_S_2_HELLO_#001	Buenos días.
MID_WU_S_2_HELLO_#002	La batalla me reclama una vez más.\nEsta vez, no pienso huir.
MID_WU_S_2_HELLO_#003	Pero, antes de marcharme,
MID_WU_S_2_HELLO_#004	me gustaría abrazar\x0E\x0A\x00\x0C\x04lo\x04la durante unos minutos.
MID_WU_S_2_HELLO_#005	Solo cuando \x0E\x0A\x00\x0C\x04lo\x04la tengo cerca de mí,
MID_WU_S_2_HELLO_#006	me siento verdaderamente seguro.
