MID_KR_Vandre_M001_#001	PersonVoice(V_Wideuse_18)
MID_KR_Ivy_M017	PersonVoice(V_Wideuse_02)
MID_KR_Hortensia_M017	
MID_KR_Diamand_M017	PersonVoice(V_Wideuse_02)
MID_KR_Celine_M017	PersonVoice(V_Wideuse_02)
MID_KR_Louis_M017	PersonVoice(V_Wideuse_Ex03)
MID_KR_Chloe_M017	PersonVoice(V_Wideuse_Ex04)
MID_KR_Etie_M017	PersonVoice(V_Wideuse_05)
MID_KR_Boucheron_M017	PersonVoice(V_Wideuse_Ex01)
MID_KR_Linden_M018	PersonVoice(V_Wideuse_01)
MID_KR_Vandre_M018	PersonVoice(V_Wideuse_10)
MID_KR_Saphir_M019	PersonVoice(V_Wideuse_26)
MID_KR_Ivy_M019	PersonVoice(V_Wideuse_02)
MID_KR_Diamand_M019	PersonVoice(V_Wideuse_01)
MID_KR_Vandre_M020	PersonVoice(V_Wideuse_10)
MID_KR_Clan_M020	PersonVoice(V_Wideuse_02)
MID_KR_Fram_M020	PersonVoice(V_Wideuse_17)
MID_KR_Alfred_M020	PersonVoice(V_Wideuse_10)
MID_KR_Diamand_M020	PersonVoice(V_Wideuse_03)
MID_KR_Ivy_M020	PersonVoice(V_Wideuse_07)
MID_KR_Misutira_M020	PersonVoice(V_Wideuse_06)
MID_KR_Celine_M020	PersonVoice(V_Wideuse_17)
MID_KR_Staluke_M020	PersonVoice(V_Wideuse_07)
MID_KR_Fogato_M020	PersonVoice(V_Wideuse_01)
MID_KR_Hortensia_M020	PersonVoice(V_Wideuse_10)
MID_KR_Mauve_M022	PersonVoice(V_Wideuse_02)
MID_KR_Veyre_M022	PersonVoice(V_Wideuse_28)
MID_KR_Vandre_M022	PersonVoice(V_Wideuse_22)
MID_KR_Clan_M022	PersonVoice(V_Wideuse_22)
MID_KR_Fram_M022	PersonVoice(V_Wideuse_Ex03)
MID_KR_Celine_M022	PersonVoice(V_Wideuse_22)
MID_KR_Staluke_M022	PersonVoice(V_Wideuse_21)
MID_KR_Fogato_M022	PersonVoice(V_Wideuse_02)
MID_KR_Hortensia_M022	PersonVoice(V_Wideuse_20)
MID_KR_Mauve_M023	PersonVoice(V_Wideuse_Ex04)
MID_KR_Veyre_M023	PersonVoice(V_Wideuse_02)
MID_KR_Alfred_M024	PersonVoice(V_Wideuse_24)
MID_KR_Veyre_M024	PersonVoice(V_Wideuse_12)
MID_KR_Vandre_M025	PersonVoice(V_Wideuse_28)
MID_KR_Clan_M025	PersonVoice(V_Wideuse_02)
MID_KR_Fram_M025	PersonVoice(V_Wideuse_02)
MID_KR_Veyre_M025	PersonVoice(V_Wideuse_02)
MID_KR_Jean_S001	PersonVoice(V_Wideuse_13)
MID_KR_JeanFather_S001	PersonVoiceBySwitchName(VILLEGER2,V_Wideuse_10)
MID_KR_JeanMother_S001	PersonVoiceBySwitchName(VILLEGER4,V_Wideuse_08)
MID_KR_NPC2_S001	PersonVoiceBySwitchName(VILLEGER3,V_Wideuse_04)
MID_KR_Anna_S002	PersonVoice(V_Wideuse_13)
MID_KR_Lucina_S003	PersonVoice(V_Wideuse_23)
MID_KR_Lin_S004	PersonVoice(V_Wideuse_23)
MID_KR_Ike_S005	PersonVoice(V_Wideuse_22)
MID_KR_Byleth_S006	PersonVoice(V_Wideuse_23)
MID_KR_Kamui_S007	PersonVoice(V_Wideuse_23)
MID_KR_Eirik_S008	PersonVoice(V_Wideuse_23)
MID_KR_Siglud_S009	PersonVoice(V_Wideuse_23)
MID_KR_Leaf_S010	PersonVoice(V_Wideuse_23)
MID_KR_Micaiah_S011	PersonVoice(V_Wideuse_23)
MID_KR_Roy_S012	PersonVoice(V_Wideuse_23)
MID_KR_Celica_S013	PersonVoice(V_Wideuse_17)
MID_KR_Marth_S014	PersonVoice(V_Wideuse_13)
