MID_FORTUNE_TROUBLE_Lueur	只有藍色的頭髮\n容易在睡醒時亂翹。
MID_FORTUNE_BAD_02_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x12\x08セアダス\x06Sad\n\x0E\x03\x02\x0A\x08セアダス\n「惡評」卡啊……看來我之前偷吃東西的事要曝光了，\n我還是去跟那個人暗示一下，我最近吃得很少吧。\x0E\x04\x00\x00
MID_FORTUNE_BAD_03	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x18\x08セアダス\x0CNormal\n\x0E\x03\x02\x0A\x08セアダス\n「歉收」卡……今天不管種什麼都會種不起來喔。\n建議和在乎的人一起翻翻土，等今天過去方為上策。\x0E\x04\x00\x00
MID_FORTUNE_BAD_03_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x12\x08セアダス\x06Sad\n\x0E\x03\x02\x0A\x08セアダス\n「歉收」卡啊……我今天可碰不得植物，\n用餐時若有蔬菜就全都給那個人吃吧。\x0E\x04\x00\x00
MID_FORTUNE_BAD_04	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x12\x08セアダス\x06Shy\n\x0E\x03\x02\x0A\x08セアダス\n「烏雲」卡……災難將自天而降，\n和在乎的人共撐一把傘，或許就能逃過一劫囉。\x0E\x04\x00\x00
MID_FORTUNE_BAD_04_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x12\x08セアダス\x06Sad\n\x0E\x03\x02\x0A\x08セアダス\n「烏雲」卡啊……出現這張卡就代表我會有水難，\n請那個人儘快帶泳裝過來好了。\x0E\x04\x00\x00
MID_FORTUNE_BAD_05	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nAngry\n\x0E\x03\x02\x0A\x08セアダス\n「戰亂」卡……今天可能會和人起衝突呢。\n這時候最需要同伴了，快去找在乎的人助陣吧！\x0E\x04\x00\x00
MID_FORTUNE_BAD_05_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x12\x08セアダス\x06Sad\n\x0E\x03\x02\x0A\x08セアダス\n「戰亂」卡啊……要是不小心和那個人吵架了，\n我就獻上珍藏的蜂蜜，然後趁機逃跑吧。\x0E\x04\x00\x00
MID_FORTUNE_BAD_06	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x18\x08セアダス\x0CNormal\n\x0E\x03\x02\x0A\x08セアダス\n「挫折」卡……可能會出現放棄一切的想法，\n和在乎的人兩人三腳繞索拉涅爾跑一圈就沒問題了。\x0E\x04\x00\x00
MID_FORTUNE_BAD_06_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x12\x08セアダス\x06Sad\n\x0E\x03\x02\x0A\x08セアダス\n「挫折」卡啊……我有預感我會忍不住暴飲暴食，\n我得去找那個人討一頓罵，讓自己的皮繃緊一點。\x0E\x04\x00\x00
MID_FORTUNE_BAD_07	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x12\x08セアダス\x06Sad\n\x0E\x03\x02\x0A\x08セアダス\n「絕望」卡……煩心時就要想辦法消解，\n不如找在乎的人一起找面牆鑿個洞試試？\x0E\x04\x00\x00
MID_FORTUNE_BAD_07_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x12\x08セアダス\x06Sad\n\x0E\x03\x02\x0A\x08セアダス\n「絕望」卡啊……今天可不能讓自己消沉，\n去找那個人一起點上蠟燭度過這一天吧。\x0E\x04\x00\x00
MID_FORTUNE_BAD_08	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x1C\x08セアダス\x10Surprise\n\x0E\x03\x02\x0A\x08セアダス\n「背叛」卡……嗯？不會有人背叛嗎？\n說不定是在乎的人偷吃別人預留的點心喔。\x0E\x04\x00\x00
MID_FORTUNE_BAD_08_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x12\x08セアダス\x06Sad\n\x0E\x03\x02\x0A\x08セアダス\n「背叛」卡啊……很好，看來是有人偷吃了我的點心吧。\n那個人好像有點可疑，我得趕快去找他對質。\x0E\x04\x00\x00
MID_FORTUNE_BAD_09	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x12\x08セアダス\x06Sad\n\x0E\x03\x02\x0A\x08セアダス\n「負傷」卡……也許會在路上跌倒而受傷喔。\n如果在乎的人幫忙包紮，說不定能更快康復呢。\x0E\x04\x00\x00
MID_FORTUNE_BAD_09_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x12\x08セアダス\x06Sad\n\x0E\x03\x02\x0A\x08セアダス\n「負傷」卡啊……出現這種卡就不能出門了，\n我來邀請那個人一起窩在這裡度過一天吧。\x0E\x04\x00\x00
MID_FORTUNE_BAD_10	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x18\x08セアダス\x0CNormal\n\x0E\x03\x02\x0A\x08セアダス\n「怠惰」卡……連占卜結果都懶得聽？\n那讓在乎的人幫忙打氣吧，這樣就能重新振作囉！\x0E\x04\x00\x00
MID_FORTUNE_BAD_10_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x12\x08セアダス\x06Sad\n\x0E\x03\x02\x0A\x08セアダス\n「怠惰」卡啊……懶散是種病，得治！\n找那個人來趟環遊索拉涅爾的清潔隊之旅好了。\x0E\x04\x00\x00
MID_FORTUNE_BAD_11	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x18\x08セアダス\x0CNormal\n\x0E\x03\x02\x0A\x08セアダス\n「迷茫」卡……奉勸一句，與其浪費時間做無謂的思考，\n不如找在乎的人一起去拔拔草還比較有意義呢。\x0E\x04\x00\x00
MID_FORTUNE_BAD_11_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x12\x08セアダス\x06Sad\n\x0E\x03\x02\x0A\x08セアダス\n是「迷茫」卡啊……難道這是占卜失準的預警！？\n要不要找那個人一起去購買新的占卜卡呢？\x0E\x04\x00\x00
MID_FORTUNE_BAD_12	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x18\x08セアダス\x0CNormal\n\x0E\x03\x02\x0A\x08セアダス\n「無情」卡……最近是否得到了很冷漠的評價呢？\n建議大膽跟在乎的人親近親近，別害怕對方覺得煩。\x0E\x04\x00\x00
MID_FORTUNE_BAD_12_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x12\x08セアダス\x06Sad\n\x0E\x03\x02\x0A\x08セアダス\n「無情」卡啊……我的表現是不是太冷漠了？\n今天努力在那個人面前都維持笑容吧。\x0E\x04\x00\x00
