MID_WU_C_1_IN_#001	叫神龍大人起床嗎……真是個意想不到的差事呢……\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	今後無論發生什麼事，都請您一定要平安地活著。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	我不准您……比我更早化為星辰。\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	總覺得神龍大人透過「約定戒指」在呼喚我……\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	是我的錯覺嗎？\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	咦？難道說……\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	您真的想見我嗎？\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	……若是真的，我會很開心呢。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	畢竟只有我想見您的話，就太不公平了。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	這個世界上處處是謎團……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	我會來到這裡，或許也是神龍大人的指引呢。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	機會難得……我就為您獻上一段特別的舞蹈吧。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	每當我跳起這支舞時，就會想起我們成為搭檔的那一天。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	這一輩子……我都會喜歡著您喔。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	我的身心和舞蹈……全都屬於您。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	早安。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	快來吃早餐吧。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	……我當然也要吃囉。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	因為我也很喜歡……\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#005	看著您吃飯時的幸福表情啊。\x0E\x04\x00\x00
