MID_WU_C_1_IN_#001	沒想到我會有踏入這個祭壇的一天……\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	前陣子的餐會真的很感謝您的賞光。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	託您的福，大家都很開心……\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#004	咦？您為什麼要這樣看我……\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#005	好、好啦，我知道了……\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#006	……嘿咿～！\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	神龍大人，起床的時間到囉。\x0E\x04\x00\x00
MID_WU_S_1_IN_#002	今天祭壇的空氣也很清新呢……\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	神龍大人，早安。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	……咦？您說我太見外了？那、那麼……\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	早安，我的搭檔。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#004	這、這已經是我的極限了……！\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	我到現在還像是在做夢一樣。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	沒想到神龍大人會把「約定戒指」送給我……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	每次看到這枚戒指時，我都覺得幸福到快哭出來。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	終有一日，我會先您而去。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	但我們的這段緣分……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	會將我的心永遠繫在您身邊。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	早安。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	來吧，我們該上戰場囉。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	無論要手刃多少人……\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	只要能守護您……\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#005	哪怕是下地獄我也在所不惜。\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	嘿咿～！\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	啊，不行……就算成為了搭檔，我還是會緊張……\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	我吵到您了是吧？真是抱歉……！\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	我每次來這裡都會很緊張……\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	因為……我的心滿滿都是神龍大人。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	還請您見諒。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	不過，這也很正常吧……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	畢竟神龍大人一直都是我的信仰。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	就算互許終身了……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	也沒辦法突然改變說話的方式啊。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	我們的關係……會隨著歲月而改變嗎……？\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	不……我比較喜歡現在這樣。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#007	我想永遠保留這份思念的痛苦……\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	早安。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	什麼？您從我那句「嘿咿～」就開始聽了嗎！？\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	嗚嗚……好害羞……\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	不過，在神龍大人的面前……\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#005	我果然無法隱藏自己的心意呢。\x0E\x04\x00\x00
