MID_CARD_KEYHELP_TURN_OVER	翻面
MID_ProfileCard_Net_Save_Done	已儲存戰歷卡。
MID_ProfileCard_Net_Overlimit_Title	刪除戰歷卡
MID_ProfileCard_Net_Overlimit_Title_Help	請選擇要刪除的戰歷卡。
MID_ProfileCard_Net_Overlimit_Incomplete	持有的戰歷卡已達上限。\n請刪除超出上限的卡片。
MID_ProfileCard_Comment_CharacterFeeling	性格／感情
MID_ProfileCard_Comment_FeaturePosition	特徵／職位
MID_ProfileCard_Comment_AdpositionConjection	助詞／連接詞／稱謂／符號
MID_ProfileCard_Comment_Tearms	專用術語／疊字詞
MID_ProfileCard_Comment_ClassStyle	兵種／戰鬥類型
MID_ProfileCard_Comment_PersonName	角色名稱
MID_STAMP_KEYHELP_TITLE	操作印章
MID_STAMP_KEYHELP_PUT_A_STAMP	蓋印
MID_STAMP_KEYHELP_LR_REVERSE	左右反轉
MID_STAMP_KEYHELP_ROTATE_SCALE	旋轉縮放
MID_STAMP_KEYHELP_ROTATE_SCALE_RESET	重置旋轉縮放
MID_STAMP_KEYHELP_HIGH_SPEED	高速移動
MID_STAMP_KEYHELP_ERASE_ALL	全部清除
MID_STAMP_KEYHELP_TWEAK	調整移動
MID_ProfileCard_Stamp_Unit	單位
MID_ProfileCard_Stamp_GodUnit	紋章士
MID_ProfileCard_Stamp_Weapon	武器
MID_ProfileCard_Stamp_GodWeapon	結合武器
MID_ProfileCard_Stamp_RodAndItem	杖・道具
MID_ProfileCard_Stamp_System	系統
MID_ProfileCard_Stamp_Others	其他
PCTMID_FireEmblem	FIRE EMBLEM
PCTMID_ShadowDragon	暗黒竜と光の剣
PCTMID_NewShadowDragon	新・暗黒竜と光の剣
PCTMID_MysteryOfTheEmblem	紋章の謎
PCTMID_NewMysteryOfTheEmblem	新・紋章の謎
PCTMID_SideStory	外伝
PCTMID_GenealogyOfTheHolyWar	聖戦の系譜
PCTMID_Thracia776	トラキア776
PCTMID_TheBindingBlade	封印の剣
PCTMID_TheBlazingBlade	烈火の剣
PCTMID_TheSacredStones	聖魔の光石
PCTMID_PathOfRadiance	蒼炎の軌跡
PCTMID_RadiantDawn	暁の女神
PCTMID_Awakening	覚醒
PCTMID_Fates	if
PCTMID_Birthright	白夜王国
PCTMID_Conquest	暗夜王国
PCTMID_Echoes	Echoes
PCTMID_ThreeHouses	風花雪月
PCTMID_Heroes	Heroes
PCTMID_Marth	為了阿利提亞！
PCTMID_Celica	願美拉大人保佑
PCTMID_Siglud	收起劍吧！
PCTMID_Leaf	無論如何！
PCTMID_Roy	我不會輸！
PCTMID_Lin	我的心至今仍在草原上……
PCTMID_Eirik	哥哥！
PCTMID_Ike	別阻擋我！
PCTMID_Micaiah	我有不能退讓的理由！
PCTMID_Lucina	我要改寫命運！
PCTMID_Kamui	這是我所選的！
PCTMID_Byleth	親身學習吧！
PCTMID_Lueur	與神龍共進退！
PCTMID_RelianceC_WithAllUnit	支援C
PCTMID_RelianceB_WithAllUnit	支援B
PCTMID_RelianceA_WithAllUnit	支援A
PCTMID_RelianceRing	支援Ring
PCTMID_SortieWithAllUnitCount5	全員出擊
PCTMID_EncountBattleCount45	清掃大師
PCTMID_BattleCount5000	戰鬥狂
PCTMID_DefeatSoldierCount500	一般士兵
PCTMID_DefeatMorphCount500	異形兵
PCTMID_DefeatBanditsCount500	蠻族
PCTMID_CaneCount500	操杖士
PCTMID_CriticalCount300	專家
PCTMID_EngageCount300	結合！
PCTMID_EngageAttackCount300	結合攻擊！
PCTMID_AvoidanceCount500	躲開！
PCTMID_ChainGuardCount300	守護！
PCTMID_ChainAttackCount300	我來幫忙！
PCTMID_ChainUnitCount10	同時攻擊！
PCTMID_BreakCount300	打破！
PCTMID_SmashCount50	猛擊！
PCTMID_MiniGamePlayCount100	休息一下
PCTMID_CreateRingCount5000	戒指收藏家
PCTMID_SynthesizeRingCount500	合成魔人
PCTMID_GetBondRingC_Count1000	階級C
PCTMID_GetBondRingB_Count100	階級B
PCTMID_GetBondRingA_Count50	階級A
PCTMID_GetBondRingS_Count10	階級S
PCTMID_CleaningRingCount100	愛乾淨
PCTMID_InvestmentFileneStage5	費列聶親善大使
PCTMID_InvestmentBrodiaStage5	布羅帝亞親善大使
PCTMID_InvestmentIrcionStage5	伊爾席翁親善大使
PCTMID_InvestmentSolumStage5	索爾姆親善大使
PCTMID_InvestmentStage5All	艾雷歐斯親善大使
PCTMID_InvestmentTotalValue1000000	有錢人
PCTMID_CookingCount100	廚師
PCTMID_CookingG_Count5	失敗的廚師
PCTMID_CookingF_Count5	科學廚師
PCTMID_CookingE_Count5	奇珍異味廚師
PCTMID_CookingD_Count5	見習廚師
PCTMID_CookingC_Count20	員工餐廚師
PCTMID_CookingB_Count20	平凡廚師
PCTMID_CookingA_Count20	知名廚師
PCTMID_CookingS_Count5	頂級廚師
PCTMID_CookingSS_Count3	傳說中的廚師
PCTMID_Sleep100	最愛被窩
PCTMID_WakeUpC_People30	賴床鬼
PCTMID_WakeUpB_People30	待人喚醒
PCTMID_WakeUpA_People30	鬧鐘不離身
PCTMID_WakeUpS	美妙的甦醒瞬間
PCTMID_ArenaCount100	熱愛鍛鍊
PCTMID_ArenaWinCount100	一決勝負
PCTMID_ArenaVsGodCount100	牽絆專家
PCTMID_ArenaWinVsGodCount100	紋章士
PCTMID_BuyWeaponCount100	準備萬全
PCTMID_BuySwordCount50	用劍高手
PCTMID_BuyLanceCount50	用槍高手
PCTMID_BuyAxeCount50	用斧高手
PCTMID_BuyBowCount50	用弓高手
PCTMID_BuyKnifeCount50	短劍高手
PCTMID_BuyMagicCount50	魔法高手
PCTMID_BuyFistCount50	體術高手
PCTMID_SellWeaponCount50	購物專家
PCTMID_BuyItemCount500	愛操心
PCTMID_SellItemCount50	商人
PCTMID_BuyRodCount50	用杖高手
PCTMID_BuyAccessoryCount25	追求時髦
PCTMID_ChangeAccessoryCount100	換裝人偶
PCTMID_RefineCount100	鍛造師
PCTMID_RefineSwordCount50	劍鍛造師
PCTMID_RefineLanceCount50	槍鍛造師
PCTMID_RefineAxeCount50	斧鍛造師
PCTMID_RefineBowCount50	弓鍛造師
PCTMID_RefineKnifeCount50	短劍鍛造師
PCTMID_RefineMagicCount50	魔法鍛造師
PCTMID_RefineFistCount50	體術鍛造師
PCTMID_EngraveCount100	雕刻家
PCTMID_PlayTime240Hours	FIRE EMBLEM ENGAGE
PCTMID_ClearedChapter26	救世主
PCTMID_VersusCount200	挑戰者
PCTMID_VersusWinCount100	冠軍
PCTMID_RelayCount200	隊友
PCTMID_RelayWinCount100	隊長
PCTMID_ChallengeMap1Rank50	綠野專家
PCTMID_ChallengeMap2Rank50	花田專家
PCTMID_ChallengeMap3Rank50	高原專家
PCTMID_ChallengeMap4Rank50	雪森林專家
PCTMID_ChallengeMap5Rank50	沙海專家
PCTMID_ChallengeMap6Rank50	岩漿專家
PCTMID_E004_Kill_Count	公平處置
PCCMID_Nothing	空欄
PCCMID_Feeling1	輕鬆
PCCMID_Feeling2	悠哉
PCCMID_Feeling3	樂觀
PCCMID_Feeling4	有魅力
PCCMID_Feeling5	膽小
PCCMID_Feeling6	害羞
PCCMID_Feeling7	活潑
PCCMID_Feeling8	可愛
PCCMID_Feeling9	美麗
PCCMID_Feeling10	漂亮
PCCMID_Feeling11	美好
PCCMID_Feeling12	溫柔
PCCMID_Feeling13	溫暖
PCCMID_Feeling14	美味
PCCMID_Feeling15	好吃
PCCMID_Feeling16	愛
PCCMID_Feeling17	戀
PCCMID_Feeling18	超喜歡
PCCMID_Feeling19	喜愛
PCCMID_Feeling20	寶物
PCCMID_Feeling21	最愛
PCCMID_Feeling22	萌
PCCMID_Feeling23	神
PCCMID_Feature1	最強
PCCMID_Feature2	無敵
PCCMID_Feature3	第一
PCCMID_Feature4	唯一
PCCMID_Feature5	健壯
PCCMID_Feature6	帥氣
PCCMID_Feature7	虛弱
PCCMID_Feature8	消瘦
PCCMID_Feature9	纖細
PCCMID_Feature10	廚師
PCCMID_Feature11	釣客
PCCMID_Feature12	舞者
PCCMID_Feature13	暗殺者
PCCMID_Feature14	神龍
PCCMID_Feature15	王子
PCCMID_Feature16	公主
PCCMID_Feature17	母親
PCCMID_Feature18	父親
PCCMID_Feature19	哥哥
PCCMID_Feature20	姊姊
PCCMID_Feature21	弟弟
PCCMID_Feature22	妹妹
PCCMID_Feature23	兄弟
PCCMID_Feature24	姊妹
PCCMID_Feature25	手足
PCCMID_Feature26	親子
PCCMID_Feature27	女兒
PCCMID_Feature28	兒子
PCCMID_Adposition1	就是
PCCMID_Adposition2	是
PCCMID_Adposition3	的
PCCMID_Adposition4	把
PCCMID_Adposition5	地
PCCMID_Adposition6	與
PCCMID_Adposition7	＆
PCCMID_Adposition8	VS
PCCMID_Adposition9	在
PCCMID_Conjection1	所以
PCCMID_Conjection2	但是
PCCMID_Conjection3	可是
PCCMID_Conjection4	明明
PCCMID_Conjection5	卻
PCCMID_Conjection6	反而
PCCMID_Conjection7	另一方面
PCCMID_Conjection8	或是
PCCMID_Conjection9	不過
PCCMID_Conjection10	其實
PCCMID_Conjection11	也就是
PCCMID_Conjection12	總之
PCCMID_Conjection13	特別是
PCCMID_Conjection14	又
PCCMID_Conjection15	因為
PCCMID_Conjection16	而且
PCCMID_Conjection17	另外
PCCMID_Conjection18	畢竟
PCCMID_Conjection19	還有
PCCMID_Conjection20	+
PCCMID_Conjection21	/
PCCMID_Honorific1	同學
PCCMID_Honorific2	小姐
PCCMID_Honorific3	先生
PCCMID_Honorific4	大人
PCCMID_Honorific5	殿下
PCCMID_Team1	紋章！
PCCMID_Team2	結合！
PCCMID_Team3	連鎖
PCCMID_Team4	防禦
PCCMID_Team5	攻擊
PCCMID_Solanel	索拉涅爾
PCCMID_Eleos	艾雷歐斯
PCCMID_Player	玩家
PCCMID_Enemy	敵人
PCCMID_VIP	VIP
PCCMID_Training	鍛鍊
PCCMID_Party	宴會
PCCMID_Others1	嗨起來！
PCCMID_Others2	享樂吧！
PCCMID_Others3	上啊！
PCCMID_Others4	壯壯
PCCMID_Others5	閃亮亮
PCCMID_Others6	心砰砰跳
PCCMID_Others7	亮晶晶
PCCMID_Position	兵種
PCCMID_BasicPosition	基本兵種
PCCMID_SeniorPosition	高級兵種
PCCMID_SpecialPosition	特殊兵種
PCCMID_Style	類型
MID_Map_Theme_Select	請選擇製作完畢之編輯地圖的主題。\n（選擇的主題將套用於神龍戰歷卡）
MID_ProfileCard_Theme_Unit	配置單位
PCMMID_Unit1	遠距離
PCMMID_Unit2	近距離
PCMMID_Unit3	全員出動
PCMMID_Unit4	重裝
PCMMID_Unit5	騎馬
PCMMID_Unit6	飛行
PCMMID_Unit7	連攜
PCMMID_Unit8	隱密
PCMMID_Unit9	氣功
PCMMID_Unit10	魔道
MID_ProfileCard_Theme_Map	地圖
PCMMID_Map1	城塞
PCMMID_Map2	迷宮
PCMMID_Map3	回避
PCMMID_Map4	炮台
PCMMID_Map5	庭園
PCMMID_Map6	東洋風
PCMMID_Map7	圍城
PCMMID_Map8	神殿
PCMMID_Map9	極簡
MID_ProfileCard_Theme_Object	配置地形
PCMMID_Object1	羊駝
PCMMID_Object2	守護神
PCMMID_Object3	沙地
PCMMID_Object4	冰
PCMMID_Object5	柱子
MID_ProfileCard_Theme_Conception	氛圍
PCMMID_Conception1	可愛
PCMMID_Conception2	流行
PCMMID_Conception3	恐怖
PCMMID_Conception4	冷酷
PCMMID_Conception5	幻想
PCMMID_Conception6	美麗
MID_ProfileCard_Theme_Onomatopoeia	疊字詞
PCMMID_Onomatopoeia1	閃亮亮
PCMMID_Onomatopoeia2	轉圈圈
PCMMID_Onomatopoeia3	硬邦邦
PCMMID_Onomatopoeia4	興沖沖
PCMMID_Onomatopoeia5	亂糟糟
MID_PS_Area_Select	選擇區域
MID_PS_Area_Select_Help	請選擇要印製的場景。
MID_PS_Area_List	區域一覽
MID_PS_Placement_Limit	可配置的同伴數量
MID_PS_Spot_Title	要配置的同伴
MID_PS_Spot_01	定點1
MID_PS_Spot_02	定點2
MID_PS_Spot_03	定點3
MID_PS_Spot_Weapon	武器一覽
MID_PS_Spot_Scarf	領巾顏色一覽
MID_PS_Photo_Finish_Confirm	是否要返回選擇區域畫面？
MID_PS_Save_Confirm	已儲存印製的圖片並套用於戰歷卡。\n（只能儲存一張圖片）
MID_PS_Hyphen01	－
MID_PS_Hyphen05	－－－－－
MID_PS_KEYHELP_UI_ON	印製模式
MID_PS_KEYHELP_UI_OFF	解除印製模式
MID_PS_KEYHELP_PHOTO	開始印製
MID_PS_KEYHELP_RANDOM	隨機選擇
MID_PS_KEYHELP_LIST	顯示清單
MID_PS_KEYHELP_AREA_CHANGE	切換定點
MID_PS_KEYHELP_CAMERA_CHANGE	切換視角
MID_PS_KEYHELP_CAMERA_HORIZON	左右移動視角
MID_PS_KEYHELP_CAMERA_VERTICAL	上下移動視角
MID_PS_KEYHELP_CAMERA	操作視角
MID_PS_KEYHELP_SAVE	儲存
MID_PS_KEYHELP_NO_SAVE	再次印製
MID_PoseType_1	1
MID_PoseType_2	2
MID_PoseType_3	3
MID_PoseType_4	4
MID_PoseType_5	5
MID_PoseType_6	6
MID_PoseType_7	7
MID_PoseType_Normal	基本姿勢
MID_PoseType_Battle	戰鬥姿勢
MID_PoseType_Solanel	據點姿勢
PSPMID_Normal	等待
PSPMID_Angry	生氣
PSPMID_Deny	否定
PSPMID_Deny2	搖頭
PSPMID_Give	給予
PSPMID_Joy	高興
PSPMID_Joy2	雀躍
PSPMID_LookR	環視（右）
PSPMID_LookL	環視（左）
PSPMID_Pray	祈禱
PSPMID_Proud	得意
PSPMID_Relax	安心
PSPMID_Sad	沮喪
PSPMID_Sad2	悲傷
PSPMID_Shy	害羞
PSPMID_Surprise	吃驚
PSPMID_Surprise2	驚訝
PSPMID_Talk	對話
PSPMID_Talk2	說話
PSPMID_Think	思考
PSPMID_Tired	疲倦
PSPMID_Wave	揮手
PSPMID_Posing	放鬆姿勢
PSPMID_Posing2	亮相姿勢
PSPMID_Cheer1	聲援
PSPMID_Cheer2	加油
PSPMID_FishShow	鼓舞
PSPMID_Guitar	空氣吉他
PSPMID_Pick1	採收
PSPMID_Pick2	查看
PSPMID_Pick3	收成
PSPMID_ScatterR	餵飼料（右）
PSPMID_ScatterL	餵飼料（左）
PSPMID_Sing	唱歌
PSPMID_SitUp_Start	仰臥起坐（開始）
PSPMID_SitUp_End	仰臥起坐（結束）
PSPMID_Squat_Start	深蹲（開始）
PSPMID_Squat_End	深蹲（結束）
PSPMID_PushUp_Start	伏地挺身（開始）
PSPMID_PushUp_End	伏地挺身（結束）
PSPMID_WateringR	澆水（右）
PSPMID_WateringL	澆水（左）
PSPMID_Splash_OneHand	潑水（單手）
PSPMID_SplashothHands	潑水（雙手）
PSPMID_Splash	擋水花
PSPMID_StrokeStand	梳理
PSPMID_SitNormal	坐下
PSPMID_ChairNormal	坐在椅子上
PSPMID_Reactionbad	覺得難吃
PSPMID_ReactionGood	覺得美味
PSPMID_ReactionGreat	覺得非常美味
PSPMID_Battle_Sword	戰鬥姿勢（劍）
PSPMID_Battle_Lance	戰鬥姿勢（槍）
PSPMID_Battle_Axe	戰鬥姿勢（斧）
PSPMID_Battle_Bow	戰鬥姿勢（弓）
PSPMID_Battle_Magic	戰鬥姿勢（魔道書）
PSPMID_Battle_Knife	戰鬥姿勢（短劍）
PSPMID_Battle_Fist	戰鬥姿勢（體術）
PSPMID_Mascot_Normal	等待
PSPMID_Mascot_Angry	生氣
PSPMID_Mascot_Joy	高興
PSPMID_Mascot_Cheer	雀躍
PSPMID_Mascot_Petted	安心
PSPMID_Mascot_Sad	悲傷
PSPMID_Mascot_GestureR	環視（右）
PSPMID_Mascot_GestureL	環視（左）
PSPMID_Mascot_Eat	吃東西
PSPMID_Mascot_Drop	伸展
PSPMID_Mascot_GetUp	亮相姿勢
PSPMID_Mascot_Sit	坐下
PSPMID_Mascot_Sleep	睡覺
PSSMID_Entrance_front1	入口（正面1）
PSSMID_Entrance_front2	入口（正面2）
PSSMID_Entrance1	入口（情境1）
PSSMID_Entrance2	入口（情境2）
PSSMID_Cafeteria_front1	開放式茶座（正面1）
PSSMID_Cafeteria_front2	開放式茶座（正面2）
PSSMID_Cafeteria1	開放式茶座（情境1）
PSSMID_Cafeteria2	開放式茶座（情境2）
PSSMID_Cafeteria3	開放式茶座（情境3）
PSSMID_WeaponShop_front	武器店（正面1）
PSSMID_WeaponShop1	武器店（情境1）
PSSMID_ItemShop_front	道具店（正面1）
PSSMID_ItemShop1	道具店（情境1）
PSSMID_RefineShop_front	鍛造店（正面1）
PSSMID_RefineShop1	鍛造店（情境1）
PSSMID_AccessoryShop_front	裝飾品店（正面1）
PSSMID_AccessoryShop1	裝飾品店（情境1）
PSSMID_Poolside_front	泳池邊（正面1）
PSSMID_Poolside1	泳池邊（情境1）
PSSMID_FleaMarket_front	跳蚤市場（正面1）
PSSMID_FleaMarket1	跳蚤市場（情境1）
PSSMID_Fortune_front	占卜小屋（正面1）
PSSMID_Fortune1	占卜小屋（情境1）
PSSMID_Orchard_front	果樹園（正面1）
PSSMID_Orchard1	果樹園（情境1）
PSSMID_Fountain_front	噴泉（正面1）
PSSMID_Fountain1	噴泉（情境1）
PSSMID_Corridor1	長廊（情境1）
PSSMID_Pond_front	湧泉池畔（正面1）
PSSMID_Pond1	湧泉池畔（情境1）
PSSMID_Pond2	湧泉池畔（情境2）
PSSMID_TrainingSpot_front	後院（正面1）
PSSMID_TrainingSpot1	後院（情境1）
PSSMID_TrainingSpot2	後院（情境2）
PSSMID_TrainingSpot3	後院（情境3）
PSSMID_TrainingSpot4	後院（情境4）
PSSMID_Farm_front	牧場（正面1）
PSSMID_Farm1	牧場（情境1）
PSSMID_Farm2	牧場（情境2）
PSSMID_Farm3	牧場（情境3）
PSSMID_Cave_front	鐘乳洞（正面1）
PSSMID_Cave1	鐘乳洞（情境1）
PSSMID_GoodViewSpot_front	眺望之丘（正面1）
PSSMID_GoodViewSpot1	眺望之丘（情境1）
PSSMID_Tower_front	試煉別屋（正面1）
PSSMID_Tower1	試煉別屋（情境1）
MID_MASCOT_SCARFCOLOR_1	蜜桃紅
MID_MASCOT_SCARFCOLOR_2	草莓粉
MID_MASCOT_SCARFCOLOR_3	大海藍
MID_MASCOT_SCARFCOLOR_4	柳橙橘
MID_MASCOT_SCARFCOLOR_5	檸檬黃
MID_MASCOT_SCARFCOLOR_6	天空藍
MID_MASCOT_SCARFCOLOR_7	薄荷綠
MID_MASCOT_SCARFCOLOR_8	嫩葉綠
MID_MASCOT_SCARFCOLOR_9	橄欖綠
MID_MASCOT_SCARFCOLOR_10	葡萄紫
MID_MASCOT_SCARFCOLOR_11	木炭灰
MID_MASCOT_SCARFCOLOR_12	麻糬白
