MID_WU_C_1_IN_#001	像我這種身分的人，真的可以進來嗎……\x0E\x04\x00\x00
MID_WU_S_1_SOON_#004	能夠成為神龍大人的搭檔，真是我的福氣呀。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	我真的很高興能收到這枚「約定戒指」。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	雖然我還是個孩子，但您卻選擇了我作為搭檔……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	我一定要成為配得上神龍大人的男子漢。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	我要成為一位懸壺濟世的醫生，然後……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	讓所有神龍大人深愛的人都長命百歲……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	這樣大家就能繼續陪伴在您的身邊了。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	剛才的話您都聽見了嗎？\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	我當然也是打算活久一點囉。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	不管是長大後的我……還是變成老爺爺的我……\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	都要請您多多關照啦。\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	那、那個……我聽說您受傷了，您還好嗎……？\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	啊，什麼嘛……\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	看起來還是活蹦亂跳的啊。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	虧我還帶了一大堆藥過來呢。不過……\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	看到您平安無事……\x0E\x04\x00\x00
MID_WU_S_2_SOON_#005	才是我最大的幸福。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	嗯……神龍大人只是在睡覺吧。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	呼……太好了，看來是一場誤會。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	不過，幸好大家都會把神龍大人的情況告訴我。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	等等……該不會大家都知道我是神龍大人的搭檔了吧……？\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	雖、雖然有點害羞……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	但這種被大家肯定的感覺還真不錯呢。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	早安，您昨晚睡得好嗎？\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	是嗎？那就好。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	希望今後的每一天……\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	都能看見您充滿精神的樣子……\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#005	就是我最大的幸福。\x0E\x04\x00\x00
