MID_WU_C_1_IN_#001	我是從今天起負責叫您起床，來自羊駝之鄉的勇者──\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	我就是羊駝之鄉的勇者──安巴！\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	好了好了，快起床吧，勇者來叫您囉～\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	快看看我帥氣的姿勢！\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	早安，神龍大人！\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	睡醒就看見我的英姿，感覺不錯吧？\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	咦？太熱情了？怎麼會……！\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	嗯～嗯嗯嗯～\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	神龍大人就是厲害！\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	我用羊駝語叫您起床也行得通呢！\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	沒錯，剛才我說的就是：「天亮囉～」\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	這感覺還真令人懷念。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	老家的羊駝們也是這樣……\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	早上叫牠們都不太搭理我。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#004	再試一次……嗯咩咩、咩、嗯～\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	啊，太好了～\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	剛才我說的是：「再不起床要睡過頭囉～」\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	神龍大人，快起來洗漱吧，我來幫忙！\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	神龍所沉眠的祭壇有個傳說……\x0E\x04\x00\x00
MID_WU_A_1_IN_#002	今天我要來查證是否屬實！\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	話是這麼說……\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	但神龍大人已經醒了，下次再說吧。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	神龍大人，您聽過這裡的傳說嗎？\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	據說這個時間，在梁柱背光處的這個位置……\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	用這個姿勢祈禱，心願就會成真。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	唔……神龍大人！請您立刻起床！\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	哇！？願望實現了！原來傳說是真的！\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	神龍大人，既然您醒了……\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	要不要跟我出去玩呀？\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	嗯嗯～！\x0E\x04\x00\x00
MID_WU_A_2_IN_#002	神龍大人，我來叫您起床囉～！\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	噢，您今天起得真快呢！\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	……什麼，您剛才又聽見羊駝的叫聲了！？\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	牠、牠們說了什麼……！？\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	多虧有神龍大人轉達羊駝們的話……\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	我不再寂寞了。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	我也因此而更有動力向著勇者這個目標前進了。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	早安！\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	……咦，那些羊駝託您傳話給我？\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	成為勇者之後，要買高級的草料……？\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#004	什麼──！那些傢伙──！\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	神龍大人──！好搭檔安巴來叫您起床囉！\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	希望我來叫您時，能再小聲點？\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	不、不好意思。那我重來一次……\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	早安，我的搭檔。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#004	嘿嘿……這樣如何呀？\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	還不起床呢，那正好能趁機再試一次祭壇傳說。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	這個時間，在梁柱背光處的這個位置……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	用這個姿勢祈禱，心願就會成真。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	但我現在的心願，不是希望神龍大人起床……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	而是希望神龍大人能永遠幸福快樂。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	也希望我能永遠陪在他身邊……\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	早安！剛才我許了個願喔。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	我相信一定會實現的。咦，您問是什麼願望……\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	我希望能和您永遠在一起……您願意嗎？\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	今天負責來叫您起床的……\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	咚隆咚隆咚隆……鏘！\x0E\x04\x00\x00
MID_WU_S_2_IN_#003	就～是我！\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	啊，您很高興搭檔來叫您起床嗎？\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	偷偷跟您說……\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	輪到我叫您起床的日子……\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	都讓我覺得萬分幸福……！！\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	咦……是不是太累了呀？\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	這也是難免吧，畢竟奔走過了那麼多的戰場。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	……神龍大人若為劍，我亦為劍。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	我可沒忘記您的話喔。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	或許我的能力不足以治癒您、守護您……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	但若為劍，就能待在您身旁。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#007	在您最痛苦的時候，成為您的支柱。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	啊，您醒了？\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	嗯咩咩嗯、嗯～\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	我剛才說的是……\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	「我每一天都很喜歡您喔。」\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#005	嘿嘿，我想您早就聽懂了吧……？\x0E\x04\x00\x00
