MID_NET_SettingOn	是否要使用通訊功能？\n（將連接網路）
MID_RELAY_Award_Engage	結合大師
MID_RELAY_Award_Item	道具大師
MID_RELAY_Award_Poison	毒藥大師
MID_RELAY_Award_LongWalk	長跑大師
MID_RELAY_Award_Skill	特技大師
MID_RELAY_Award_NoDamage	隱身大師
MID_RELAY_Award_Critical	必殺大師
MID_RELAY_Award_SpecialAttack	弱點獵人
MID_RELAY_Award_EngageAttack	一心同體
MID_RELAY_Award_ChainGuard	保衛者
MID_RELAY_Award_Smash	猛擊者
MID_RELAY_Award_Adjacent	積極參戰
MID_RELAY_Award_Indirect	一流助手
MID_RELAY_Award_NoKill	支援大師
MID_RELAY_Award_ChainAttack	連鎖攻擊專家
MID_RELAY_Award_Sabotage	游刃有餘
MID_RELAY_Award_EnergySaving	我行我素
MID_RELAY_Award_Peace	愛好和平
MID_RELAY_Award_Standby	無業遊民
MID_RELAY_Award_Protected	備受關照
MID_RELAY_Award_SkillTarget	厄運纏身
MID_RELAY_Stamp_Message	留給下個玩家的訊息
MID_RELAY_Stamp_Lueur_M_0	之後就交給你了。
MID_RELAY_Stamp_Lueur_F_0	很高興能與你並肩作戰。
MID_RELAY_Stamp_Vandre_0	行軍時請務必慎重小心。
MID_RELAY_Stamp_Clan_0	戰況複雜到我都頭昏眼花了……
MID_RELAY_Stamp_Fram_0	我很期待看到你的高超神技！
MID_RELAY_Stamp_Alfred_0	是時候秀出你鍛鍊的成果了！
MID_RELAY_Stamp_Boucheron_0	我的眼淚都要掉下來了……
MID_RELAY_Stamp_Etie_0	我們一起度過這個難關吧！
MID_RELAY_Stamp_Celine_0	我很需要你的力量。
MID_RELAY_Stamp_Louis_0	我會一直關注您的。
MID_RELAY_Stamp_Chloe_0	你打算派出什麼樣的配對呢？
MID_RELAY_Stamp_Diamand_0	讓我們合力突破重圍吧。
MID_RELAY_Stamp_Umber_0	我們會成為傳說！
MID_RELAY_Stamp_Jade_0	……感覺會很有趣呢。
MID_RELAY_Stamp_Staluke_0	對不起，我搞砸了，我會馬上消失。
MID_RELAY_Stamp_Lapis_0	就用力量來一決勝負吧！
MID_RELAY_Stamp_Citrinica_0	我會用最華麗的方式幫你加油的。
MID_RELAY_Stamp_Ivy_0	你一定能做得到……
MID_RELAY_Stamp_Zelkova_0	你要如何「破解」這個「局面」呢？
MID_RELAY_Stamp_Kagetsu_0	今天起咱們就是朋友了！請多指教！
MID_RELAY_Stamp_Hortensia_0	你可要平安回來喔！
MID_RELAY_Stamp_Rosado_0	嘿嘿，做得有點過火了～
MID_RELAY_Stamp_Goldmary_0	真是抱歉，我指揮得太完美了……
MID_RELAY_Stamp_Misutira_0	這對我們來說簡直易如反掌！
MID_RELAY_Stamp_Merin_0	可別被我的英姿迷倒囉。
MID_RELAY_Stamp_Panetone_0	是時候給對方一些顏色瞧瞧了。
MID_RELAY_Stamp_Fogato_0	我最～喜歡你了！
MID_RELAY_Stamp_Pandoro_0	嘿咿～～～～！！
MID_RELAY_Stamp_Bonet_0	看起來很美味呢……
MID_RELAY_Stamp_Anna_0	我就給你特別優惠吧！
MID_RELAY_Stamp_Jean_0	請多多指教啦。
MID_RELAY_Stamp_Yunaka_0	請多關照一下人家的最愛吧！
MID_RELAY_Stamp_Seadas_0	接下來該輪到你上場了。
MID_RELAY_Stamp_Linden_0	實驗失敗啦～！！
MID_RELAY_Stamp_Saphir_0	這個編隊好像不太行呢。
MID_RELAY_Stamp_Veyre_0	我很努力了喔。
MID_RELAY_Stamp_Mauve_0	抱歉……之後就交給你了。
MID_RELAY_Stamp_Lumiere_0	路上小心喔。
MID_RELAY_Stamp_Marth_0	和我結合吧！
MID_RELAY_Stamp_Celica_0	雖然我不喜歡戰爭……
MID_RELAY_Stamp_Siglud_0	我絕不會對這個決定感到後悔。
MID_RELAY_Stamp_Leaf_0	我們一定能跨越所有難關。
MID_RELAY_Stamp_Roy_0	真正的戰鬥現在才要開始呢。
MID_RELAY_Stamp_Lin_0	願祝福之風與你同在。
MID_RELAY_Stamp_Eirik_0	祝你武運昌隆。
MID_RELAY_Stamp_Ike_0	一定要讓大家活著回來！
MID_RELAY_Stamp_Micaiah_0	很高興能與你合作。
MID_RELAY_Stamp_Lucina_0	讓我們一起改寫命運吧！
MID_RELAY_Stamp_Kamui_0	我相信你。
MID_RELAY_Stamp_Byleth_0	要好好活用學到的知識喔。
MID_RANKING_Title	出擊排行榜
MID_H_RANKING_Title	查看這個地圖的出擊排行榜。
MID_RANKING_First	第\x0E\x01\x00\x00名
MID_RANKING_Second	第\x0E\x01\x00\x00名
MID_RANKING_Third	第\x0E\x01\x00\x00名
MID_RANKING_Other	第\x0E\x01\x00\x00名
MID_RANKING_Fail	無法正常取得排行榜資料。
MID_CHALLENGE_EXP_TITLE	參加經驗值
MID_CHALLENGE_MapSelect_Help	請選擇要挑戰的連戰地圖。
MID_CHALLENGE_MapSelect_MenuCaption	試煉的種類
MID_CHALLENGE_MapInfo_N_Battles	\x0E\x01\x00\x00連戰
MID_CHALLENGE_MapInfo_BestRecort	最佳過關記錄
MID_CHALLENGE_MapInfo_Turn	回合
MID_CHALLENGE_MapInfo_Materials	容易獲得的材料
MID_CHALLENGE_DifficultyMenu_Help	請選擇要挑戰的難度。
MID_CHALLENGE_DifficultyMenu_Recommended	推薦的難度：\x0E\x01\x00\x00
MID_CHALLENGE_DifficultyMenu_Difficulty	難度
MID_CHALLENGE_DifficultyMenu_Start	開始戰鬥
MID_CHALLENGE_Start_CONFIRM	是否要開始戰鬥？\n（將消費1張票券。目前持有張數：\x0E\x01\x00\x00）
MID_CHALLENGE_GiveUp	放棄
MID_CHALLENGE_H_GiveUp	結束試煉並回到選單。
MID_CHALLENGE_GiveUp_CONFIRM	是否要結束連戰的試煉並回到選單畫面？\n（此戰將視為敗北，無法獲得過關獎勵，\n但仍會依過關的地圖數量獲得一定的經驗值）
MID_CHALLENGE_Confirm	是否要開始遊玩\n「難度\x0E\x01\x01\x00」的連戰地圖「\x0E\x01\x00\x00」？
MID_CHALLENGE_MAP1	首戰
MID_CHALLENGE_MAP2	第二戰
MID_CHALLENGE_MAP3	決戰
MID_CHALLENGE_Get_Item	～
MID_CHALLENGE_Get_EXP	獲得經驗值
MID_CHALLENGE_Join_MAP1	參加首戰
MID_CHALLENGE_Join_MAP2	參加第二戰
MID_CHALLENGE_Join_MAP3	參加決戰
MID_CHALLENGE_Get_SP	特技之書取得數量
MID_CHALLENGE_OPEN_LEVEL41	難度41以上的\n連戰的試煉開放了。
MID_CHALLENGE_C001_TITLE	綠野的連戰
MID_CHALLENGE_C002_TITLE	花田的連戰
MID_CHALLENGE_C003_TITLE	高原的連戰
MID_CHALLENGE_C004_TITLE	雪森林的連戰
MID_CHALLENGE_C005_TITLE	沙海的連戰
MID_CHALLENGE_C006_TITLE	岩漿的連戰
MID_AMIIBO_Ticket_Music	獲得了\x0E\x08\x02\x18\x16SoundTicket「交換樂曲票券」。
MID_AMIIBO_Ticket_Accessories	獲得了\x0E\x08\x02\x14\x12AccTicket「交換服裝票券」。
MID_AMIIBO_Touch_Count	可讀取amiibo的次數\x0E\x01\x00\x00/5
MID_AMIIBO_Touch_Interval	還要\x0E\x01\x00\x00小時\x0E\x01\x01\x00分才會回復
MID_AMIIBO_Touch	請點觸amiibo。
MID_AMIIBO_Accessories_Attention	無法使用：單位限制
MID_AMIIBO_Trade_Ticket	是否要交換「\x0E\x01\x00\x00」？\n（將消費1張票券。目前持有張數：\x0E\x01\x01\x00）
MID_AMIIBO_Trade_Ticket_Use	消費票券
MID_AMIIBO_Trade_Ticket_Have	持有票券數
MID_AMIIBO_Trade_Music_Select	請選擇樂曲。
MID_AMIIBO_Trade_Ticket_Music	交換樂曲票券
MID_AMIIBO_Music	樂曲
MID_AMIIBO_Trade_Accessories_Select	請選擇服裝。
MID_AMIIBO_Trade_Ticket_Accessories	交換服裝票券
MID_AMIIBO_Accessories	服裝
MID_AMIIBO_Trade_Nothing	無可交換的物品。
MID_AMIIBO_Trade_Information	所有的\x0E\x01\x00\x00皆已交換完畢，\n因此已將票券交換成牽絆碎片。
