MJID_DragonLord	神龍之子
MJID_H_PitchforkLC	手握武器，捍衛國家的自衛團。\n善於槍術。
MJID_Pitchfork	草叉槍兵
MJID_H_Pitchfork	憑藉天衣無縫的槍術縱橫戰場的槍鬥士。\n能踏著靈巧的步法給予敵人必殺攻擊。
MJID_CupidoLC	義警隊
MJID_H_CupidoLC	手握武器，捍衛國家的自衛團。\n駕馭戰馬，善於弓術。
MJID_Cupido	邱比特
MJID_H_Cupido	身手敏捷、魅力四射的弓騎士。\n靈活運用弓術與劍術，將敵人玩弄於股掌間。
MJID_SwordFighter	刀劍戰士
MJID_H_SwordFighter	擅長以劍戰鬥的士兵。\n能以敏捷的身法閃避敵人的攻擊。
MJID_SwordMaster	刀劍將領
MJID_H_SwordMaster	登峰造極的劍術大師。\n能在生死關頭避開攻擊，並施展強力特技。
MJID_BraveHero	無畏英雄
MJID_H_BraveHero	實力過人的戰場英雄。\n善於運用各種武器一路殺進前線。
MJID_LanceFighter	槍戰士
MJID_H_LanceFighter	使用長槍戰鬥的士兵。\n攻守能力皆具高水準。
MJID_Halberdier	槍鬥士
MJID_H_Halberdier	經驗老到的長槍士兵。\n在槍法上無人能出其右。
MJID_RoyalKnight	皇家騎士
MJID_H_RoyalKnight	騎著戰馬穿梭戰場的高等騎士。\n不僅能激勵夥伴士氣，也善於操杖。
MJID_AxFighter	斧戰士
MJID_H_AxFighter	揮舞戰斧，以力量為傲的戰士。\n雖力大無窮，但防守較弱。
MJID_Berserker	狂鬥士
MJID_H_Berserker	力大無比的鐵腕鬥士。\n能使用巨大的戰斧將敵人粉身碎骨。
MJID_Warrior	勇士
MJID_H_Warrior	善於擊潰敵人的戰鬥專家。\n不僅能使用戰斧，也能以弓戰鬥。
MJID_Archer	弓箭手
MJID_H_Archer	使用弓箭戰鬥的輕裝士兵。\n能攻擊稍遠的敵人。
MJID_Sniper	狙擊手
MJID_H_Sniper	精通弓術的狙擊手。\n能以強力一箭射穿對手要害。
MJID_BowKnight	弓騎士
MJID_H_BowKnight	馭馬射箭的弓騎士。\n能以高移動力與弓術將敵人逼入絕境。
MJID_SwordArmor	重劍兵
MJID_H_SwordArmor	穿上堅固鎧甲的重裝劍步兵。\n防守雖高，但不善抵禦魔法。
MJID_LanceArmor	重槍兵
MJID_H_LanceArmor	穿上堅固鎧甲的重裝槍步兵。\n防守雖高，但不善抵禦魔法。
MJID_AxArmor	重斧兵
MJID_H_AxArmor	穿上堅固鎧甲的重裝斧步兵。\n防守雖高，但不善抵禦魔法。
MJID_General	將軍
MJID_H_General	以銅牆鐵壁般的防守為傲的重裝步兵。\n擁有極高的攻擊力與防守力。
MJID_GreatKnight	英勇騎士
MJID_H_GreatKnight	穿上厚重鎧甲的重裝騎士。\n善於使用多種武器來守護夥伴。
MJID_SwordKnight	劍騎士
MJID_H_SwordKnight	將戰馬駕馭自如，移動力優異的劍騎士。\n整體能力平均。
MJID_LanceKnight	槍騎士
MJID_H_LanceKnight	將戰馬駕馭自如，移動力優異的槍騎士。\n整體能力平均。
MJID_AxKnight	斧騎士
MJID_H_AxKnight	將戰馬駕馭自如，移動力優異的斧騎士。\n整體能力平均。
MJID_Paladin	聖騎士
MJID_H_Paladin	經驗老到的高等騎士。\n移動力極高，連魔法也難傷其分毫。
MJID_WolfKnight	狼騎士
MJID_H_WolfKnight	騎著狼穿梭於戰場之中的騎士。\n能使用短劍，並能擾亂敵陣。
MJID_SwordPegasus	劍飛馬騎士
MJID_H_SwordPegasus	駕馭飛馬翱翔天際的劍騎士。\n擅長抵禦魔法，但不善抵禦弓術。
MJID_LancePegasus	槍飛馬騎士
MJID_H_LancePegasus	駕馭飛馬翱翔天際的槍騎士。\n擅長抵禦魔法，但不善抵禦弓術。
MJID_AxPegasus	斧飛馬騎士
MJID_H_AxPegasus	駕馭飛馬翱翔天際的斧騎士。\n擅長抵禦魔法，但不善抵禦弓術。
MJID_GriffonKnight	格里芬騎士
MJID_H_GriffonKnight	騎著格里芬馳騁天際的高等騎士。\n整體能力優異，亦能操杖。
MJID_DragonKnight	飛龍騎士
MJID_H_DragonKnight	騎著飛龍馳騁天際的高等騎士。\n能力優秀，但不善抵禦弓術和魔法。
MJID_Mage	魔法師
MJID_H_Mage	使用魔道書施放魔法的魔道士。\n所使的魔法對防守高的敵人有效。
MJID_Sage	聖者
MJID_H_Sage	擁有強大魔力的高等魔道士。\n不僅能使用魔道書，也善於操杖。
MJID_MageKnight	魔法師騎士
MJID_H_MageKnight	馭馬施法的魔法騎士。\n手持武器亦可於肉搏戰中有所發揮。
MJID_Monk	僧侶
MJID_H_Monk	以杖治癒受傷夥伴的僧兵。\n亦精通以氣功護身之術。
MJID_MasterMonk	僧侶大師
MJID_H_MasterMonk	精通氣功的高等僧侶。\n不僅能使用治療術，也善於體術。
MJID_HighPriest	主教
MJID_H_HighPriest	經驗老到、精通杖術的祭司。\n能運用強大的治療之術拯救夥伴的性命。
MJID_Thief	小偷
MJID_H_Thief	精通開鎖的盜賊。\n動作靈活，擅長使用短劍。
MJID_Dancer	舞蹈家
MJID_H_Dancer	舞姿曼妙的舞蹈家。\n能替夥伴打氣，使其再次行動。
MJID_Villager	村民
MJID_H_Villager	村子的居民，沒有戰鬥能力。
MJID_Melusine	美露莘
MJID_H_Melusine	驅使魔龍，妖豔的魔道騎士。\n以強大的魔法與劍技征服戰場。
MJID_Barbarian	蠻族
MJID_H_Barbarian	擁有健壯體格的暴徒。\n力量和速度優異，但防守較弱。
MJID_MorphDragon	異形龍
MJID_H_MorphDragon	將世界導向毀滅的邪龍使徒。\n所使出的闇之吐息能將一切破壞殆盡。
MJID_PhantomDragon	幻影龍
MJID_H_PhantomDragon	身形龐大的龍之眷屬。\n動作遲鈍，但其吐息能攻擊遠方敵人。
MJID_Emblem	紋章士
MJID_H_Emblem	寄宿在戒指中的異界英雄。\n擁有超越人類智慧的力量。
