MID_WU_C_1_IN_#001	打擾了，我特地來叫您起床了……\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	您受歡迎的程度可是世界級的……\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#004	我又怎麼可能贏得了您呢……\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	早安。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	不過，能被這樣受歡迎的神龍大人稱讚……\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	我覺得十分光榮……\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#004	您可以更迷戀我一點喔……\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	呵呵，您最愛的戈爾德瑪莉來叫您起床囉……\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	早安。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	……您是開心到馬上醒來了嗎？\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	我一個人獨占這麼完美的搭檔……\x0E\x04\x00\x00
MID_WU_S_1_SOON_#004	對大家還真是有些過意不去呢……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	聽到我的聲音卻沒有起床……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	想必您是累壞了吧。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	看著神龍大人努力不懈的樣子……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	我真的覺得十分了不起。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	雖然我幾乎不會稱讚別人……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	但我要為您破例一次。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#007	因為……我實在太喜歡您了……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#008	……真是不好意思。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	早安。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	看到我是不是很開心啊？\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	……咦？真的很開心？\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	……您這樣說也太犯規了吧……\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#005	這叫我該如何反應啊……\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	您醒了嗎？還是還在睡呢……？\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	對我來說不管怎樣都好喔……\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	早安。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	既然您都提前起床了……\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	就多欣賞一下我美麗的臉龐吧。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	而我也會好好享受……\x0E\x04\x00\x00
MID_WU_S_2_SOON_#005	這難得的兩人時光……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	您是想再多聽幾句搭檔的動人嗓音嗎……？\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	好吧。雖然我已經決定……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	不再對您展開花式魅力猛攻……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	但我今天還是魅力十足地……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	做了您喜歡的料理過來。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	這大概是因為……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#007	我已經喜歡您到無法自拔了吧……\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	您可能覺得被我叫醒是件幸福的事吧？\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	不過很可惜……\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	我才是世上最幸福的人。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	因為我從喜歡的人手中……\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#005	收到了獨一無二的戒指啊。\x0E\x04\x00\x00
