MID_WU_C_1_IN_#001	今後我們會輪流叫神龍大人起床。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	雖然神龍大人說不好意思讓人侍奉……\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	但對我來說這就是最大的喜悅……\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	啊，這種一廂情願的想法可不行呢。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	閣下醒來了啊。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	那麼，我就先告退了。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	神龍大人，謝謝您總是為了我們巡視索拉涅爾。\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	在神龍大人起床前……\x0E\x04\x00\x00
MID_WU_B_2_IN_#002	先打掃一下祭壇吧。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	咦？閣下今天起得真早呢。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	我應該早點來的……\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	還請閣下見諒。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	呼……像這樣擦著祭壇……\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	就讓我想起了過去的事情。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	琉彌艾爾大人每次來到這裡時……\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#004	都會用充滿慈愛的眼神看著神龍大人的睡臉呢……\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	啊，神龍大人。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	您睡得如何啊？\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	外頭正吹著涼爽的風喔。\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	神龍大人，關於之後的戰鬥……\x0E\x04\x00\x00
MID_WU_A_1_IN_#002	哎呀，已經睡著了呢。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	抱歉吵醒閣下了。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	不過，總覺得您最近都醒得很快呢……\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	哈哈哈，我覺得很欣慰喔。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	最近閣下實在是非常努力。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	想必有朝一日……\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	您會成為和琉彌艾爾大人一樣出色的君王吧……\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	您說聽到有人在說話？\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	請不用擔心……\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	我凡德雷今後定會常伴左右，為您奉獻己力。\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	今天來得有點早，不知道神龍大人醒來了沒有……\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	早安。\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	時間還很充裕，您可以慢慢準備。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	離神龍大人起床還有段時間，我先在外頭編一下蕾絲吧。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	完成後就送給神龍大人吧，但願他會喜歡……\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	我正打算出去呢……\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	不好意思吵醒您了。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	對了，神龍大人喜歡蕾絲嗎？\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	神龍大人，是我。\x0E\x04\x00\x00
MID_WU_S_1_IN_#002	現在有時間聊聊嗎……？\x0E\x04\x00\x00
MID_WU_S_1_IN_#003	呵呵，睡著了呢。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	哎呀，看來閣下是在裝睡呢。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	會像這樣惡作劇……\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	表示您已經對我敞開了心扉呢。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	我會好好珍惜這枚「約定戒指」的，神龍大人。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	我能從這枚戒指上……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	感受到琉彌艾爾大人和閣下的力量……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	如今閣下選擇了我……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	這份光榮我必將以忠誠回報。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	我永遠都是閣下的騎士。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	我的主人，您醒來了嗎？\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	我原本打算跟閣下聊幾句，不過……\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	只要能待在您身邊，我就很幸福了。\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	打擾了，差不多該起床囉。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	很高興看到閣下這麼快起來。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	這樣我們就能多享受一些兩人時光了呢。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	除了紋章士之外，我大概是最常看到閣下睡臉的人吧。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	雖然這份工作遲早都要交給下一任守護者……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	但我希望神龍大人的心裡……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	能記住我這位第三十二代龍之守護者……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	不，是永遠不要忘記我凡德雷。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	早安。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	您說聽到有人在說話？\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	可能是閣下在做夢，或是……\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	某個思念著您的老頭在自言自語吧。\x0E\x04\x00\x00
