MID_WU_C_1_IN_#001	神龍大人，是我錫莉奴……打擾了。\x0E\x04\x00\x00
MID_WU_B_2_IN_#002	美麗的自然風光讓我心中充滿了幸福。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	儘管這世上有許多令人痛心之事……\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	但我仍希望神龍大人能迎來幸福的每一天。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	您還記得我之前提過的費列聶傳說嗎？\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	索拉涅爾裡會不會也有傳說啊……\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	感覺就算在池畔或樹蔭下發現妖精也不奇怪呢。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	您睡醒的樣子真美……\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	我明白了，您就是此地的傳說吧。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	呵呵，總覺得……\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#004	我又發現了一些幸福呢。\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	神龍大人，今天路上開了許多漂亮的花喔。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	咦，神龍大人也喜歡花嗎？\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	那麼，您下次就來池塘邊的涼亭看看吧。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	那裡的花是我在照顧的喔。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	其實我很想帶一朵來給您。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	雖然人家說「花開堪折直須折」……\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	但我總覺得於心不忍。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	早安。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	對了，在吃早餐前要不要先跟我去散散步呢？\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	我想讓您看看早上發現的花朵。\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	神龍大人，謝謝您前些日子聽我訴苦。\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	神龍大人正為了這個世界而戰……\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	我無法想像那會是多麼沉重的負擔。\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	當您感到痛苦時，一定要告訴我喔。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	盜茶賊一事……\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	當我感到痛苦時，是神龍大人的話救了我。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	您說那不是我的弱點，而是我的體貼……\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#004	希望有天我也能對自己這麼說。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	早安，今天我們也要在戰場上贏得勝利喔。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	為了費列聶的和平、為了神龍大人……\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	即便弄髒自己的雙手，我也在所不惜。\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	沒想到叫搭檔起床是這麼幸福的事呢。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	早安，今天早上我也泡了紅茶來喔。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	或許是因為常跟您一起喝茶吧……\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	每當我聞到這股茶香就會想到您呢。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	謝謝您願意將「約定戒指」送給我。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	哥哥聽到後也嚇了一跳呢。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	不過，他還是衷心地祝福了我們。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	從那天起……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	我就覺得幸福到有些害怕。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	要是失去了您，我絕對無法承受。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#007	所以……您一定要平安無事喔……\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	早安，您睡醒的樣子……\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	就像是在早晨盛開的花兒呢。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	願這朵花永不凋零……\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	而我……也會守護您直到生命的盡頭。\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	我很喜歡這個地方喔。\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	……畢竟有您在我身邊啊。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	就算遇到再痛苦的事情……\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	只要來到這裡，我就會覺得……\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	嗯，今天一定也會是個美好的一天……\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	只要和您在一起，不管是什麼樣的戰場我都不怕。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	每次我在戰場上取人性命後，\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	心中總會留下無法抹滅的罪惡感……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	但您曾經說過……不論我做出何種決定，\n您都願意陪在我身旁……對吧？\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	這句話讓我感到無比的安心……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	給了我能夠繼續努力的力量。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	對我來說……您的話就像是護身符喔。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	早安。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	上戰場前我都會把「約定戒指」摘下來。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	因為……我想讓這枚戒指……\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	像我們的感情一樣純潔無瑕。\x0E\x04\x00\x00
