MID_WU_C_1_IN_#001	呀比～！天亮囉，神龍氏～！！\x0E\x04\x00\x00
MID_WU_B_2_SOON_#004	送您回夢鄉唷……\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	人家之前說自己喜歡狗是騙人的……\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	其實人家喜歡的是貓……\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	為了迎合別人而偽裝自己……最後只會害到自己呢……\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	神龍氏，人家決定了。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	人家決定不再偽裝自己了。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	第一步就是要改掉愛撒小謊的壞習慣……！\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	神龍氏今天也睡得很香呢……\x0E\x04\x00\x00
MID_WU_A_1_IN_#002	看來沒那麼容易叫醒唷。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	哎呀呀！？真不愧是神龍氏……\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	看似熟睡……卻對周遭的動靜瞭若指掌！\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	這樣就算出現了刺客也不用擔心呢！\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	神龍氏……不，神龍大人……\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	看到您安詳的睡臉，我有時真的很擔心……\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	真怕有人會趁您不備來偷襲。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#004	畢竟……我以前也是一名暗殺者……\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	啊，早安，神龍氏！\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	……您說聽到了陌生女人的聲音？\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	這個房間裡沒有別人唷。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#004	應該是您聽錯了吧？\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	神龍氏～今天我們也來聊天吧……\x0E\x04\x00\x00
MID_WU_A_2_IN_#002	哎呀，原來您在休息啊……！\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	啊，沒事沒事！\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	別管人家了，您就繼續睡吧！\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	……咦？您說……想和人家說話……？\x0E\x04\x00\x00
MID_WU_A_2_SOON_#004	神龍氏……人家好高興唷。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	人家想跟您聊聊這把剛買的短劍唷……\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	天啊，您看這個劍鋒還有光澤……\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	劍柄上的裝飾還是骨董呢，真的好棒喔……\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	還有這沉甸甸的劍鞘，握起來很有分量感呢……\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	各種上等的作工，完全滿足了擁有者的需求啊……\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	咦，您是什麼時候醒來的？\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	呀比～神龍氏在嗎？\x0E\x04\x00\x00
MID_WU_S_1_IN_#002	人家來迎接搭檔了唷。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	呵呵……看到您馬上醒來，人家也很開心呢！\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	雖然可能是人家自作多情……\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	但您是聽到人家的聲音才醒來的吧？\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	呵呵……戰場上萬夫莫敵的神龍氏，睡相卻如此無邪。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	想想還真是不可思議。在您的面前……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	人家就會顯露出真實的自己……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	就算是過去的人家，您也會笑著接納吧。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	……這就是所謂的心心相印嗎？\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	原來教會人家何為牽絆之人……就是您呢。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	嗯？您說人家感覺和平常不一樣？\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	或許吧，但是……\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	不管是活潑的「人家」還是過去的「我」……\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	都是您的搭檔，對吧？\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	呵呵呵，人家最喜歡來這裡了唷！\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	早安，像這樣誠實地活著……\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	感覺真好呢。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	多虧了您……\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	人家才能成為全新的自己，謝謝您。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	人家也很喜歡像這樣看著您的睡臉……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	不管是在戰場上守護您，還是一起並肩作戰……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	與您相處的時光總是如此地快樂。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	人家有過一段無法抹滅的過去，但是……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	只要我們兩個人在一起……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	人家就有自信能活在當下，邁向未來。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	人家要跟您說一個新秘密唷。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	雖然人家有很多喜歡的東西……\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	但人家最喜歡的還是……\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	您醒來時的可愛表情唷。\x0E\x04\x00\x00
