MID_TUT_CATEGORY_TITLE_Battle	戰鬥
MID_TUT_BMAP_DEADSOUL_TITLE	戰死者之魂
MID_TUT_BMAP_DEADSOUL_0	連接網路後，根據全世界\n玩過該地圖玩家的戰鬥記錄，\n地圖上有機率出現「戰死者之魂」。
MID_TUT_BMAP_DEADSOUL_1	地圖中，較常有我方單位被擊敗\n的格子上會出現「黃色魂魄」，\n在該格子待命將可獲得經驗值和牽絆經驗值。
MID_TUT_BMAP_DEADSOUL_2	地圖中，較常有敵方單位被擊敗\n的格子上會出現「紫色魂魄」，\n在該格子待命將可獲得道具。
MID_TUT_BMAP_DOOR_TITLE	門扉
MID_TUT_BMAP_DOOR_0	攻擊並破壞「門扉」，\n便可通過該處。
MID_TUT_BMAP_DOOR_1	若我方有「小偷」，\n就可使用指令「門扉鑰匙」，\n不須破壞即可打開門扉。
MID_TUT_BMAP_TREASUREBOX_TITLE	寶箱
MID_TUT_BMAP_TREASUREBOX_0	「寶箱」裡放有道具，\n只要移動到寶箱的相鄰位置並使用\n指令「寶箱」就能獲得裡頭的東西。
MID_TUT_BMAP_TREASUREBOX_1	即使敵人拿走寶箱裡的道具，\n但只要在該名敵人逃走前將其擊敗，\n即能拿回物品。
MID_TUT_BMAP_BREAKINGWALL_TITLE	破壞地形
MID_TUT_BMAP_BREAKINGWALL_0	可攻擊並破壞地形資訊中\n顯示「可破壞」的地形。
MID_TUT_BMAP_BREAKINGWALL_1	破壞地形後，便可通過該處。
MID_TUT_BMAP_HPSTOCK_TITLE	復活之石
MID_TUT_BMAP_HPSTOCK_0	部分強敵會攜帶「復活之石」。
MID_TUT_BMAP_HPSTOCK_1	即使HP歸零，\n敵人也會使用此物品復活及回復。
MID_TUT_BMAP_HPSTOCK_2	敵人身上若有「復活之石」就無法將其打倒，\n不停發動攻擊，讓敵人把復活之石用完吧。
MID_TUT_BMAP_INTERFERINGCANE_TITLE	妨礙杖
MID_TUT_BMAP_INTERFERINGCANE_0	有些法杖可設置障礙物\n或妨礙敵人的行動。
MID_TUT_BMAP_SEARCH_TITLE	黑暗
MID_TUT_BMAP_SEARCH_0	在「黑暗」的地圖上，\n只能看到我方單位的周圍，\n以及「篝火」跟「火把」的照明範圍。
MID_TUT_BMAP_SEARCH_1	即使有伏兵，\n也無從得知敵人的行蹤，\n行軍時請小心前進。
MID_TUT_BMAP_POISON_TITLE	異常狀態「中毒」
MID_TUT_BMAP_POISON_0	小偷使用擅長的「短劍」\n對敵人造成傷害後，\n可使對方陷入「中毒」狀態。
MID_TUT_BMAP_POISON_1	攻擊陷入「中毒」狀態的敵人，\n可造成比平常更多的傷害。
MID_TUT_BMAP_POISON_2	此外，若短劍再次命中\n「中毒」狀態的敵人，\n將可增強毒性。
MID_TUT_BMAP_POISON_3	若不使用「解毒劑」或「休息」之杖解毒，\n「中毒」狀態會持續至整場戰鬥結束。
MID_TUT_BMAP_TORCH_TITLE	篝火
MID_TUT_BMAP_TORCH_0	移動到未點燃的「篝火」旁邊，\n就能使用指令「篝火」點燃。
MID_TUT_BMAP_TORCH_1	只要點燃篝火就能照亮周圍，\n將更容易發現潛伏的敵人。
MID_TUT_BMAP_SMASH_TITLE	猛擊
MID_TUT_BMAP_SMASH_0	「鐵大劍」和「鐵大槍」等大型武器\n在由自身主動攻擊時必定為後攻，\n但會發動「猛擊」，讓敵人往後退1格。
MID_TUT_BMAP_SMASH_1	若敵人後退的位置上\n有其他單位或牆壁等障礙物，\n敵人將會陷入打破狀態。
MID_TUT_BMAP_SMASH_2	此類武器的威力強大且相當實用，\n但攻速較慢，無法施展追擊，需多加留意。
MID_TUT_BMAP_DARKSYNCHRO_TITLE	闇之同步
MID_TUT_BMAP_DARKSYNCHRO_0	敵人中也有和紋章士\n「闇之同步」的單位。
MID_TUT_BMAP_DARKSYNCHRO_1	以暗黑力量同步的單位\n不須與紋章士結合就可施放結合技。
MID_TUT_BMAP_DARKSYNCHRO_2	當敵人可以施放結合技時，\n此處就會發光，務必多加留意。
MID_TUT_BMAP_BOWTURRET_TITLE	弓弩炮台
MID_TUT_BMAP_BOWTURRET_0	若單位持有可攻擊的弓，\n只要移動到「弓弩炮台」\n就能使用指令「炮擊」。
MID_TUT_BMAP_BOWTURRET_1	「炮擊」不僅威力強大，射程也非常遠，\n可對遠處的敵人造成大量傷害。
MID_TUT_BMAP_BOWTURRET_2	但攻擊的次數有限，\n必須妥善利用。
MID_TUT_BMAP_CONVERSATION_TITLE	對話
MID_TUT_BMAP_CONVERSATION_0	和顯示「對話圖示」的單位相鄰時，\n只要使用指令「對話」，就可與其交談。
MID_TUT_BMAP_CONVERSATION_1	交談後有機會使對方加入我方，\n看到該圖示時請盡量與其「對話」。
MID_TUT_BMAP_CONVERSATION_2	有時只有特定的我方單位能與其交談。
MID_TUT_BMAP_MAGICTURRET_TITLE	魔炮台
MID_TUT_BMAP_MAGICTURRET_0	若單位持有可使用的魔道書，\n只要移動到「魔炮台」\n就能使用指令「炮擊」。
MID_TUT_BMAP_MAGICTURRET_1	「炮擊」不僅威力強大，射程也非常遠，\n可對遠處的敵人造成大量傷害。
MID_TUT_BMAP_MAGICTURRET_2	魔炮台和弓弩炮台一樣攻擊的次數有限，\n必須妥善利用。
MID_TUT_BMAP_QUICKSAND_TITLE	流沙
MID_TUT_BMAP_QUICKSAND_0	「流沙」是一種特殊地形，\n在離開該地形時\n需消耗較多的移動力。
MID_TUT_BMAP_QUICKSAND_1	若不小心進入該地形，\n行動將會受限，\n小心別讓自己處於劣勢了。
MID_TUT_BMAP_RECKLESS_TITLE	失控
MID_TUT_BMAP_RECKLESS_0	「闇之同步」中的敵人\n使用「復活之石」復活時\n有機會進入「失控」狀態。
MID_TUT_BMAP_RECKLESS_1	此時會讓紋章士的力量失控，\n敵人也會因此變得更加強大，\n務必多加小心。
MID_TUT_BMAP_DANCE_TITLE	起舞
MID_TUT_BMAP_DANCE_0	舞蹈家與結束行動的\n我方單位相鄰時，\n可使用指令「起舞」。
MID_TUT_BMAP_DANCE_1	使用指令「起舞」後，\n我方單位的狀態將變回未行動，\n可再次展開行動。
MID_TUT_BMAP_FLAMETURRET_TITLE	火炎炮台
MID_TUT_BMAP_FLAMETURRET_0	單位移動到「火炎炮台」後，\n就能使用指令「炮擊」。
MID_TUT_BMAP_FLAMETURRET_1	火炎炮台的「炮擊」攻擊範圍相當廣，\n會在落點一帶製造「火焰」效果。
MID_TUT_BMAP_FLAMETURRET_2	此攻擊非常實用，\n但要注意可能會波及到我方單位，\n此外也無法使敵人的HP歸零。
MID_TUT_BMAP_PICKUPARING_TITLE	蒐集戒指
MID_TUT_BMAP_PICKUPARING_0	只要讓\x0E\x06\x03\x00\n在掉落的戒指附近待命，\n就能顯現紋章士。
MID_TUT_BMAP_LINKINGUP_TITLE	出擊期間同步
MID_TUT_BMAP_LINKINGUP_0	未持有戒指\x0E\x01\x08\x00的我方單位\n只要移動到顯現的紋章士旁邊\n並與其「對話」就能同步。
MID_TUT_BMAP_DRAGONCREST_TITLE	邪龍紋
MID_TUT_BMAP_DRAGONCREST_0	想要破壞「邪龍紋」，\n就得擊敗守紋的敵方將領\n「賽皮雅」與「孤慄」。
MID_TUT_BMAP_DRAGONCREST_1	他們會使用邪龍紋之力\n在戰場上降下「火山彈」。
MID_TUT_BMAP_VOLCANICBOMB_TITLE	火山彈
MID_TUT_BMAP_VOLCANICBOMB_0	「火山彈」每經過幾回合\n就會出現一次。
MID_TUT_BMAP_VOLCANICBOMB_1	我方單位被火山彈擊中時會受到大量的傷害。\n此外，火山彈還會破壞落點的障礙物（巨岩）。
MID_TUT_BMAP_VOLCANICBOMB_2	落點會提前標示在地圖上，\n請避開這些地方以免受到波及。
MID_TUT_BMAP_AVALANCHE_TITLE	雪崩
MID_TUT_BMAP_AVALANCHE_0	邪龍\x0E\x06\x03\x00\n會使用邪龍紋之力引發「雪崩」，\n捲走我方單位。
MID_TUT_BMAP_AVALANCHE_1	「雪崩」的地點會提前標示在地圖上，\n盡可能避開這些地方以免受到波及。
MID_TUT_BMAP_AVALANCHE_2	被捲走時若碰到岩石或敵人，\n將會停在該處。
MID_TUT_BMAP_TURNLIMIT_TITLE	回合限制
MID_TUT_BMAP_TURNLIMIT_0	部分戰鬥會規定要在幾回合內過關。
MID_TUT_BMAP_TURNLIMIT_1	一旦超過指定回合將會敗北，\n在此之前達成勝利條件吧。
MID_TUT_BMAP_DRAGONBEAM_TITLE	邪龍紋炮
MID_TUT_BMAP_DRAGONBEAM_0	異形琉彌艾爾會使用邪龍紋之力\n發動廣域攻擊「邪龍紋炮」。
MID_TUT_BMAP_DRAGONBEAM_1	「邪龍紋炮」的命中範圍會提前標示在地圖上，\n請避開這些地方以免受到波及。
MID_TUT_BMAP_DARKHERALDIC_TITLE	暗黑紋章士
MID_TUT_BMAP_DARKHERALDIC_0	「暗黑紋章士」雖為強敵，若有紋章士與他們\n出身相同異界，只要我方單位與其同步、結合，\n發動的攻擊即可對暗黑紋章士造成大量傷害。
MID_TUT_BMAP_BARRIER_TITLE	闇之結界
MID_TUT_BMAP_BARRIER_0	暗黑紋章士們設下的「闇之結界」\n正保護著大邪龍尚卜爾，\n減少他受到的傷害。
MID_TUT_BMAP_BARRIER_1	只要打敗「暗黑紋章士」\n就能削弱「闇之結界」的效果。
MID_TUT_BMAP_ENGAGERING_TITLE	約定戒指
MID_TUT_BMAP_ENGAGERING_0	「約定戒指」是能與對方建立緊密牽絆的道具，\n可以將戒指交給支援等級為A的夥伴。
MID_TUT_BMAP_ENGAGERING_1	戒指保管在「我的房間」裡的「我的櫃子」，\n需要時就取出戒指，交給自己選中的對象吧。
MID_TUT_BMAP_ENGAGERING_2	若對方沒有在索拉涅爾，\n只要在我的床上休息，\n或許就能見到對方。
MID_TUT_GOD_MARTH_TITLE	紋章士馬爾斯
MID_TUT_GOD_MARTH_0	「紋章士馬爾斯」擅長使出華麗的連續攻擊，\n與利用矯健的身手將敵人玩弄於股掌之間。
MID_TUT_GOD_MARTH_1	同步技「識破」可讓人在攻擊時\n更容易回避敵人的反擊。
MID_TUT_GOD_MARTH_2	結合武器「刺劍」\n可對騎馬的敵人及重裝兵造成大量傷害。
MID_TUT_GOD_MARTH_3	結合特技「神速」\n可使攻擊次數+1。
MID_TUT_GOD_MARTH_4	結合技「星之突擊」\n可使出快到看不見的連續攻擊，\n對敵人造成大量傷害。
MID_TUT_GOD_SIGLUD_TITLE	紋章士西格爾特
MID_TUT_GOD_SIGLUD_0	「紋章士西格爾特」擁有高機動力，\n可在戰場上縱橫自如。
MID_TUT_GOD_SIGLUD_1	同步技「再移動」\n可讓人在攻擊後再移動1次。
MID_TUT_GOD_SIGLUD_2	結合武器「騎士殺手」\n可對騎馬的敵人造成大量傷害。
MID_TUT_GOD_SIGLUD_3	結合特技「快跑」\n可使移動+5。
MID_TUT_GOD_SIGLUD_4	結合技「破陣星馳」\n可攻擊位於同一直線上的敵人，\n並移動至其身後。
MID_TUT_GOD_CELICA_TITLE	紋章士賽莉卡
MID_TUT_GOD_CELICA_0	「紋章士賽莉卡」擅長使用魔法攻擊，\n可對「異形兵」等異形類敵人發揮強大效果。
MID_TUT_GOD_CELICA_1	同步技「異形復仇」\n可在受到異形類敵人攻擊時，\n將部分所受傷害反擊給對方。
MID_TUT_GOD_CELICA_2	結合武器「天使」\n可對異形類敵人造成大量傷害。
MID_TUT_GOD_CELICA_3	結合特技「重唱」\n能以50%傷害的魔法發動2次攻擊。
MID_TUT_GOD_CELICA_4	結合技「傳送末世烈焰」\n可傳送至遠處的敵人附近，\n並對其發動強勁的魔法攻擊。
MID_TUT_GOD_MICAIAH_TITLE	紋章士米卡雅
MID_TUT_GOD_MICAIAH_0	「紋章士米卡雅」擁有強大的魔力\n與治療之術，擅長回復我方單位。
MID_TUT_GOD_MICAIAH_1	同步技「操杖」可讓同步時的我方單位\n不受兵種影響，亦能使用杖。
MID_TUT_GOD_MICAIAH_2	結合武器「閃光」\n可發動光魔法攻擊，\n攻擊結束後還能照亮四周。
MID_TUT_GOD_MICAIAH_3	結合特技「增幅」\n可增加杖的射程和效果範圍。
MID_TUT_GOD_MICAIAH_4	結合技「大治癒之手」\n可完全回復我方全員的HP，\n但使用後會減少自身的HP。
MID_TUT_GOD_ROY_TITLE	紋章士羅伊
MID_TUT_GOD_ROY_0	「紋章士羅伊」攻守兼備，\n擅長於戰場前線大顯身手。
MID_TUT_GOD_ROY_1	同步技「堅持」可讓人受到足以致命的傷害時，\n仍能以HP剩下1的狀態存活下來。
MID_TUT_GOD_ROY_2	結合武器「破槍劍」\n可倒轉武器的互克，使持槍的敵人陷入打破狀態。\n（持斧的敵人會使自身陷入打破狀態）
MID_TUT_GOD_ROY_3	結合特技「超越」\n可暫時提高等級，\n大幅增強能力。
MID_TUT_GOD_ROY_4	結合技「獅子紅蓮焰舞」\n可對前方的敵人們造成傷害，\n並產生阻擋去路的「火焰」。
MID_TUT_GOD_LEAF_TITLE	紋章士里弗
MID_TUT_GOD_LEAF_0	「紋章士里弗」擅長使用各種武器，\n可依據戰況隨時調整戰鬥方式。
MID_TUT_GOD_LEAF_1	同步技「避開要害」\n可在武器互克上占優勢時，\n讓所受傷害減少。
MID_TUT_GOD_LEAF_2	結合武器「必殺斧」\n較容易使出必殺攻擊。
MID_TUT_GOD_LEAF_3	結合特技「瞬應」可在受到敵人攻擊時，\n自動更換為較占優勢的武器並反擊。
MID_TUT_GOD_LEAF_4	結合技「四重巧擊」\n可使用劍、槍、斧、弓施展連續攻擊，\n還有高機率使敵人陷入打破狀態。
MID_TUT_GOD_LIN_TITLE	紋章士琳
MID_TUT_GOD_LIN_0	「紋章士琳」擅長使出猛烈攻擊，\n讓對手毫無機會反擊，藉此取勝。
MID_TUT_GOD_LIN_1	同步技「強攻」\n可在自身的速度遠高於敵人時，\n搶先在敵人反擊前施展追擊。
MID_TUT_GOD_LIN_2	結合武器「必殺弓」\n較容易使出必殺攻擊。
MID_TUT_GOD_LIN_3	結合特技「殘像」會在自身周圍創造出殘像，\n殘像能參與「連鎖攻擊」，也能當作「誘餌」。
MID_TUT_GOD_LIN_4	結合技「流星群」\n可用弓箭從超遠距離\n單方面連續攻擊敵人5次。
MID_TUT_GOD_LUCINA_TITLE	紋章士露琪娜
MID_TUT_GOD_LUCINA_0	紋章士露琪娜擅長與夥伴並肩作戰，\n待在我方單位附近時可發揮強大的力量。
MID_TUT_GOD_LUCINA_1	同步技「雙重攻擊」可讓同步時的\n我方單位不受戰鬥類型影響，\n亦能施展「連鎖攻擊」。
MID_TUT_GOD_LUCINA_2	結合武器「王室貴族刺劍」\n可對騎馬的敵人及重裝兵造成大量傷害。
MID_TUT_GOD_LUCINA_3	結合特技「牽絆之盾」\n有高機率使所有相鄰的\n我方單位所受攻擊無效。
MID_TUT_GOD_LUCINA_4	結合技「人人為我」可讓周圍2格內的我方單位\n不受戰鬥類型影響，亦能參與「連鎖攻擊」。
MID_TUT_GOD_IKE_TITLE	紋章士艾克
MID_TUT_GOD_IKE_0	「紋章士艾克」擁有優異的攻擊力和耐久力，\n受到的傷害越大越能發揮他強大的力量。
MID_TUT_GOD_IKE_1	同步技「勇將」\n會在HP減少時提升防守和魔防。
