MID_WU_C_1_IN_#001	早啊！真是個清爽的早晨呢，神龍大人！\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	嘿嘿，之前我還會忍一下……\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	但現在我們已經是搭檔啦。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	你給了我隨時能和喜歡的人見面的自由……\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	謝謝你。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	沒想到在收下這枚「約定戒指」後……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	我反而變得比之前還要自由呢。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	有了這枚戒指，我就能全力幫助你……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	也可以隨時來見你。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	不過……想想還真不可思議。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	雖然你給了我自由……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#007	但我卻越來越離不開你了。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	早安。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	神龍大人的臉也看夠了……\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	接下來就去鍛鍊一下吧！\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	今天我也最喜歡你了。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#005	希望你也和我一樣……\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#006	永～遠都喜歡我喔。\x0E\x04\x00\x00
