MID_WU_C_1_IN_#001	哇、哇哇哇……我好緊張……！\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	早安。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	我做了個神龍大人專用的鬧鐘。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	很實用，時間一到就會爆炸……\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	咦，您不需要嗎……？\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	嘿喲……把牛奶和水搬過來真是累人啊。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	早安。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	早上就是要來杯用水稀釋過的牛奶嘛。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	呵呵，之前神龍大人陪我鍛鍊，真的好開心啊。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	他也很喜歡我做的揹架……\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	下次要做什麼好呢？\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	神龍大人，睡醒後來杯用水稀釋過的牛奶如何？\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	稀釋濃度兩倍到十倍任由您選擇喔。\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	神龍大人，該起床囉～\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	您真是醒得乾脆呢。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	託您的福，我不用在這價值不斐的房間待太久了。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	瞇著眼睛進去吧……\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	只要看不見那些貴重物品，我就不會緊張了……\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	……應該會是反效果，看不見我反而擔心弄壞東西。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	早安。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	神龍大人，我該怎麼做……\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	才能在這個房間保持鎮定呢……\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	哈、哈……我顧著挖布羅帝亞薯，結果遲到了……！\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	您馬上就醒來，真是太好了！\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	遲到了真不好意思，下次我請您吃布羅帝亞薯！\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	嗚……不光是布羅帝亞薯……\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	我還找到了能吃的雜草，難怪會壞事。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	我每次找到就會忍不住要採啊……\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	神龍大人，抱歉我今天晚到了……！\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	咦！？您說這個草嗎？\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	這、這是觀賞用的，觀賞用……！\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	是、是我……神龍大人。\x0E\x04\x00\x00
MID_WU_S_1_IN_#002	我終於不會緊張了。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	早安，看您起得乾脆我很開心……\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	但我也很喜歡努力叫您起床喔。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	只要和您在一起，無論做什麼我都很開心的。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	我今天戴了「約定戒指」喔。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	挖薯類時容易弄髒……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	上戰場時我又怕把戒指弄丟……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	我太重視這枚戒指了，很少有機會戴上……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	但現在只有我們兩個人……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	戴上我的珍寶也不要緊的吧？\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	早安，我們能不能……\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	再這樣多待一下呢？\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	和您在一起的時光比什麼都要珍貴……\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	我最喜歡這段時光了。\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	我是您的搭檔，菈琵思……我說笑的。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	您聽到我剛剛說的話了嗎？\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	我、我只是，想證實自己是幸福的！\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	這樣正經八百地說……我有些難為情就是了。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	今天我挖了礦石過來，不是布羅帝亞薯唷……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	您喜歡哪個顏色呢？\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	我覺得粉紅色很不錯……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	我想為您做一枚戒指……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	並在上面鑲上您選的石頭。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	我想盡全力將我的心意，化為實質的物品。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	您醒了嗎？\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	這是不是很漂亮？\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	一個還不夠，這些……\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	全都是我對您的心意喔。\x0E\x04\x00\x00
