MAID_LueurWearM	神龍之子便服
MAID_H_SolumFormal2	索爾姆貴族的服裝。當地人喜歡穿這套服裝參加宴會或集會，\n他們認為打扮得越華麗，生活就能越「無憂無慮」。【男女配對套裝】
MAID_SolumFormal2M	破曉背心
MAID_H_SolumFormal2M	索爾姆貴族的服裝。當地人喜歡穿這套服裝參加宴會或集會，他們認為打扮得越華麗，\n生活就能越「無憂無慮」。很多人會在宴會結束後穿著這套服裝在朝霞下的沙漠散步。
MAID_SolumFormal2F	破曉腰布
MAID_H_SolumFormal2F	索爾姆貴族的服裝。當地人喜歡穿這套服裝參加宴會或集會，\n他們認為打扮得越華麗，生活就能越「無憂無慮」。鮮豔的配色令人的舞姿更加賞心悅目。
MAID_SolumFormal3	日暮配對套裝
MAID_SolumFormal3M	日暮背心
MAID_H_SolumFormal3M	索爾姆為表友好所贈送的傳統服裝。設計參考了當地知名傳說中王子的服飾，\n據說穿上後「可獲得永遠的財富」，在國外也相當昂貴。
MAID_SolumFormal3F	日暮腰布
MAID_H_SolumFormal3F	索爾姆為表友好所贈送的傳統服裝。設計參考了當地知名傳說中公主的服飾，\n據說穿上後「可獲得永遠的財富」，很多人會堅持自己縫製。
MAID_SolumCasual1	止風配對套裝
MAID_H_SolumCasual1	索爾姆平民的服裝。當地人會大量使用市場的便宜布料，\n用傳統綁法或獨創綁法纏在身上來享受時尚。【男女配對套裝】
MAID_SolumCasual1M	止風長巾
MAID_H_SolumCasual1M	索爾姆平民的服裝。當地人會大量使用市場的便宜布料，\n用各自的綁法纏在身上來享受時尚。結伴去買布是當地民眾的一大樂趣。
MAID_SolumCasual1F	止風飾帶
MAID_H_SolumCasual1F	索爾姆平民的服裝。當地人會大量使用市場的便宜布料，\n用各自的綁法纏在身上來享受時尚。特別的日子會纏上自己喜歡顏色的布料。
MAID_SolumCasual2	熱沙配對套裝
MAID_H_SolumCasual2	索爾姆平民的服裝。綁在身上的布料帶有索爾姆人最熟悉的沙子圖案，\n鞋子用上等材料製成，具有隔熱效果。【男女配對套裝】
MAID_SolumCasual2M	熱沙長巾
MAID_H_SolumCasual2M	索爾姆平民的服裝。綁在身上的布料帶有索爾姆人最熟悉的沙子圖案，\n鞋子用上等材料製成，具有隔熱效果，非常適合白天穿出門。
MAID_SolumCasual2F	熱沙飾帶
MAID_H_SolumCasual2F	索爾姆平民的服裝。綁在身上的布料帶有索爾姆人最熟悉的沙子圖案，\n鞋子用上等材料製成，具有隔熱效果，適合在沙漠中長途跋涉。
MAID_SolumCasual3	沙丘配對套裝
MAID_SolumCasual3M	沙丘長巾
MAID_H_SolumCasual3M	索爾姆為表友好所贈送的傳統服裝。身上綁的布有連綿不絕的沙丘圖案，\n服裝則是夜深時的深藍色，兩相搭配代表「長久深厚的緣分」，是宴會上的吉祥服飾。
MAID_SolumCasual3F	沙丘飾帶
MAID_H_SolumCasual3F	索爾姆為表友好所贈送的傳統服裝。身上綁的布有連綿不絕的沙丘圖案，\n服裝則是夜深時的深藍色，兩相搭配代表「長久深厚的緣分」，是送給摯友的首選。
MAID_IrcionFormal1	綠玉配對套裝
MAID_H_IrcionFormal1	伊爾席翁貴族的服裝。採用密不透風的布料抵擋風雪，\n還大手筆使用厚實的內刷毛及毛皮的珍品。【男女配對套裝】
MAID_IrcionFormal1M	綠玉防寒大衣
MAID_H_IrcionFormal1M	伊爾席翁貴族的服裝。採用密不透風的布料抵擋風雪，\n還大手筆使用了厚實的內刷毛及毛皮的珍品。即使裡頭的衣服很輕薄仍非常暖和。
MAID_IrcionFormal1F	綠玉長袍
MAID_H_IrcionFormal1F	伊爾席翁貴族的服裝。採用密不透風的布料抵擋風雪，\n還大手筆使用了厚實的內刷毛及毛皮的珍品。很多人會自己製作點綴用的蕾絲與扣子。
MAID_IrcionFormal2	毛線配對套裝
MAID_H_IrcionFormal2	伊爾席翁貴族的服裝。上衣利用了傳統技巧，使用毛線層層編織而成，\n製作一件就得耗費好幾個月的時間。【男女配對套裝】
MAID_IrcionFormal2M	毛線防寒大衣
MAID_H_IrcionFormal2M	伊爾席翁貴族的服裝。上衣利用了傳統技巧，使用毛線層層編織而成，\n製作一件就得耗費好幾個月的時間。有些製品還施加了擋雨作用，因此價格也水漲船高。
MAID_IrcionFormal2F	毛線長袍
MAID_H_IrcionFormal2F	伊爾席翁貴族的服裝。上衣利用了傳統技巧，使用毛線層層編織而成，\n製作一件就得耗費好幾個月的時間。要是向名店預購，有時得等上好幾年才能拿到成品。
MAID_IrcionFormal3	星空配對套裝
MAID_IrcionFormal3M	星空防寒大衣
MAID_H_IrcionFormal3M	伊爾席翁為表友好所贈送的傳統服裝。使用了金線與毛皮表現閃耀的星空，\n融合最先進的技術打造而成，稀有到無法在市面上看到，因此還有人會捐贈給博物館。
MAID_IrcionFormal3F	星空長袍
MAID_H_IrcionFormal3F	伊爾席翁為表友好所贈送的傳統服裝。使用了金線與毛皮表現閃耀的星空，\n融合最先進的技術打造而成，稀有到無法在市面上看到，據傳擁有它就能美夢成真。
MAID_IrcionCasual1	榕樹配對套裝
MAID_H_IrcionCasual1	伊爾席翁平民的服裝。全身統一成墨綠色，\n以便在森林遇到野生動物時能藏身。【男女配對套裝】
MAID_IrcionCasual1M	榕樹寬鬆大衣
MAID_H_IrcionCasual1M	伊爾席翁平民的服裝。全身統一成墨綠色，\n以便在森林遇到野生動物時能藏身。以伐木為生的人經常是這身打扮。
MAID_IrcionCasual1F	榕樹圍巾
MAID_H_IrcionCasual1F	伊爾席翁平民的服裝。全身統一成墨綠色，\n以便在森林遇到野生動物時能藏身。圍巾上有伊爾席翁最古老的圖騰。
MAID_IrcionCasual2	若草配對套裝
MAID_H_IrcionCasual2	伊爾席翁平民的服裝。使用了把四種顏色的布拼在一起的傳統技術，\n不論拼好的格子是什麼顏色，都具有「新生」的寓意。【男女配對套裝】
MAID_IrcionCasual2M	若草寬鬆大衣
MAID_H_IrcionCasual2M	伊爾席翁平民的服裝。使用了把四種顏色的布拼在一起的傳統技術，\n當地人認為這具有「新生」的寓意，許多人喜歡在伊爾席翁短暫的春季穿這套衣服。
MAID_IrcionCasual2F	若草圍巾
MAID_H_IrcionCasual2F	伊爾席翁平民的服裝。使用了把四種顏色的布拼在一起的傳統技術，\n當地人認為這具有「新生」的寓意，適合用來送禮。吸睛的長版圍巾則更受青睞。
MAID_IrcionCasual3	雪原配對套裝
MAID_IrcionCasual3M	雪原寬鬆大衣
MAID_H_IrcionCasual3M	伊爾席翁為表友好所贈送的傳統服裝。\n據傳上頭展現雪國之美的花紋是古代魔法陣一部分的圖案，象徵著魔術大國伊爾席翁。
MAID_IrcionCasual3F	雪原圍巾
MAID_H_IrcionCasual3F	伊爾席翁為表友好所贈送的傳統服裝。\n圍巾上鮮豔的翠綠色是利用雪原中針葉樹的樹皮，以及自古流傳的魔法染製而成。
MAID_LithosFormal1	白花配對套裝
MAID_H_LithosFormal1	里特司神職人員的服裝。神職人員大多待在教會，這套衣服可說是他們的便服。\n服裝上精緻的花紋代表對神龍的敬意。【男女配對套裝】
MAID_LithosFormal1M	白花長衣
MAID_H_LithosFormal1M	里特司神職人員的服裝。神職人員大多待在教會，這套衣服可說是他們的便服。\n服裝上精緻的花紋代表對神龍的敬意，是信徒用供奉神龍的金線繡製而成。
MAID_LithosFormal1F	白花洋裝
MAID_H_LithosFormal1F	里特司神職人員的服裝。神職人員大多待在教會，這套衣服可說是他們的便服。\n服裝上精緻的花紋代表對神龍的敬意，須先淨身才可開始刺繡。
MAID_LithosFormal2	冰面配對套裝
MAID_H_LithosFormal2	里特司神職人員的服裝。用里特司特有的材料加工製成，\n猶如鏡面反射光芒般璀璨耀眼。【男女配對套裝】
MAID_LithosFormal2M	冰面長衣
MAID_H_LithosFormal2M	里特司神職人員的服裝。用里特司特有的材料加工製成，\n猶如鏡面反射光芒般璀璨耀眼。其實觸感相當柔軟，穿起來十分舒適。
MAID_LithosFormal2F	冰面洋裝
MAID_H_LithosFormal2F	里特司神職人員的服裝。用里特司特有的材料加工製成，\n猶如鏡面反射光芒般璀璨耀眼。神職人員常穿這套服裝出席宴會，不適合勞動。
MAID_LithosFormal3	水底配對套裝
MAID_H_LithosFormal3	里特司神職人員的服裝。傳說布料上的深藍色有神龍的力量及護佑。\n胸前的花紋象徵「和諧」，已流傳千年。【男女配對套裝】
MAID_LithosFormal3M	水底長衣
MAID_H_LithosFormal3M	里特司神職人員的服裝。傳說布料上的深藍色有神龍的力量及護佑。\n胸前的花紋象徵「和諧」，帶有對紋章士的敬意及撫慰千年前戰爭中的亡魂之意。
MAID_LithosFormal3F	水底洋裝
MAID_H_LithosFormal3F	里特司神職人員的服裝。傳說布料上的深藍色有神龍的力量及護佑。\n胸前的花紋象徵「和諧」，帶有千年前戰爭中倖存百姓的祈禱。
MAID_Swimwear1	簡單泳裝配對套裝
MAID_H_Swimwear1	造型簡單的泳裝，在水中的阻力較小，適合想享受游泳的人。\n上頭的裝飾能突顯身體曲線。【男女配對套裝】
MAID_Swimwear1M	短褲泳裝
MAID_H_Swimwear1M	短褲造型的泳裝，在水中的阻力較小，適合想享受游泳的人。\n項鍊能突顯身體曲線，緞帶緊緊縫在泳褲上。
MAID_Swimwear1F	紗籠泳裝
MAID_H_Swimwear1F	附有紗籠裙的泳裝，在水中的阻力較小，適合想享受游泳的人。\n亮點是低調的腿圈，各種顏色應有盡有，保證能找到最適合自己的款式。
MAID_Swimwear2	成人泳裝配對套裝
MAID_H_Swimwear2	裸露度較低的泳裝，材質輕薄速乾，穿起來相當舒適。\n除了游泳之外，也可用來享受日光浴及健身。【男女配對套裝】
MAID_Swimwear2M	套裝泳裝
MAID_H_Swimwear2M	附有襯衫的泳裝，裸露度較低。觸感極佳，非常適合用來健身和曬日光浴。\n襯衫採用速乾的布料，碰到水也不會變得笨重。
MAID_Swimwear2F	荷葉邊泳裝
MAID_H_Swimwear2F	胸前布料十分輕柔的泳裝。觸感極佳，非常適合用來健身和曬日光浴。\n容易留下特殊的曬痕，要長時間曬太陽的話，最好在腹部蓋塊布。
MAID_Swimwear3	年輕人泳裝配對套裝
MAID_H_Swimwear3	散發青春活力的泳裝，具有很多別出心裁的設計。\n穿著這件泳裝和朋友聚會的話，保證會是一大焦點。【男女配對套裝】
MAID_Swimwear3M	花圈泳裝
MAID_H_Swimwear3M	散發青春活力的泳裝，具有很多別出心裁的設計。\n花圈使用了南國的鮮花，不太會枯萎，配戴在身上會讓人心情很好。
MAID_Swimwear3F	緞帶泳裝
MAID_H_Swimwear3F	散發青春活力的泳裝，具有很多別出心裁的設計。\n胸前的可愛大蝴蝶結其實非常牢靠，有它在就讓人心情很好。
MAID_Exercisewear	鍛鍊服
MAID_H_Exercisewear	專門用來鍛鍊的服裝。由裝飾品店老闆所構思，品味獨特，穿到任何國家都不會撞衫。\n不僅伸縮性佳、耐穿，還能快速排汗，可讓人專心鍛鍊，乾爽不黏膩。
MAID_NormalGlasses	一般眼鏡
MAID_H_NormalGlasses	一般的眼鏡。伊爾席翁自古便擁有玻璃工藝等發達的工藝技術，所以傳說眼鏡就源自當地。\n鏡片部分打磨得有如晶瑩剔透的冰。
MAID_LowerEdgeGlasses	方形下框眼鏡
MAID_H_LowerEdgeGlasses	特殊設計的眼鏡，往上看時鏡框不會擋住視線。\n想讓眼睛變得清晰動人時的必備道具，戴上後會散發書香氣息。
MAID_BigSunglasses	大太陽眼鏡
MAID_H_BigSunglasses	可阻隔陽光的眼鏡，特色是深色鏡片。\n戴上後讓人無法看清自己的眼睛，因此變裝時也能派上用場。
MAID_BlackTabbyGlasses	粗黑框眼鏡
MAID_H_BlackTabbyGlasses	有點重的粗框眼鏡，戴太久的話耳朵會痛，\n但能讓人印象深刻。推薦給想要改變形象的人。
MAID_ColoredSunglasses	有色太陽眼鏡
MAID_H_ColoredSunglasses	金色鏡框搭配做了褐色漸層處理的鏡片，是副質感滿分的眼鏡。\n推薦給想稍稍阻隔刺眼的陽光，又想追求時髦的人。
MAID_SkullMask	骷髏面罩
MAID_H_SkullMask	骷髏造型的面具，據傳發祥於索爾姆，這是當中最樸素的造型。\n索爾姆的人民會在面具上繪製自己喜歡的花俏圖案，戴上它舉辦盛大的慶典。
MAID_FancyDressMask	變裝面罩
MAID_H_FancyDressMask	參加化裝舞會時，用來遮擋臉部的面具。\n據傳發祥於費列聶，目的是讓身分不同的人可友好交流。
MAID_Eyepatch	遮眼罩
MAID_H_Eyepatch	用來遮蓋單眼的飾品，戴上就會散發神秘氣息。\n據傳發祥於布羅帝亞，最早的用途是在戰爭時遮掩眼睛的傷。
MAID_Mascot_SilkHat	紳士帽
MAID_H_Mascot_SilkHat	溫謙有禮的成熟紳士會戴的高級帽子。\n沉穩的氛圍讓人舉手投足間風采迷人，出入講究的店家也毫不突兀。
MAID_Mascot_Sunglasses	墨鏡
MAID_H_Mascot_Sunglasses	度假時的必備道具，可讓人在泳池邊帥氣享受日光浴。\n利用大大的眼鏡遮掩與生俱來的可愛，徹底展現出守護神的帥氣。
MAID_Mascot_Flower	花冠
