MID_WU_C_1_IN_#001	來到這個世界讓我驚訝的其中一件事，
MID_WU_A_1_HELLO_#002	嗯，為你祈求平安很正常吧。
MID_WU_A_1_HELLO_#003	畢竟我們彼此……
MID_WU_A_1_HELLO_#004	都不希望失去對方啊。
MID_WU_A_2_IN_#001	你要是再賴床下去，
MID_WU_A_2_IN_#002	就會被人奉為睡懶覺之神了喔。
MID_WU_A_2_SOON_#001	呵呵。
MID_WU_A_2_SOON_#002	看來就算是你，
MID_WU_A_2_SOON_#003	也不想當個不光彩的神呢。
MID_WU_A_2_SOON_#004	神龍大人，早安。
MID_WU_A_2_WAKEUP_#001	被說成這樣也不起床，
MID_WU_A_2_WAKEUP_#002	反而讓人有點佩服呢。
MID_WU_A_2_WAKEUP_#003	看來我可能要做好心理準備……
MID_WU_A_2_WAKEUP_#004	成為睡懶覺之神的夥伴了。
MID_WU_A_2_HELLO_#001	你起來了啊。
MID_WU_A_2_HELLO_#002	咦……？
MID_WU_A_2_HELLO_#003	你說在夢中被人奉為奇怪名字的神？
MID_WU_A_2_HELLO_#004	別說夢話了，
MID_WU_A_2_HELLO_#005	趕快去洗把臉吧。
MID_WU_S_1_IN_#001	神龍大人。
MID_WU_S_1_IN_#002	雖然說你是我的搭檔，
MID_WU_S_1_IN_#003	但我可不會對你手下留情喔。
MID_WU_S_1_SOON_#001	早安。
MID_WU_S_1_SOON_#002	今天起得很早呢，真是了不起。
MID_WU_S_1_SOON_#003	既然多出了一些時間……
MID_WU_S_1_SOON_#004	我們就來享受一下兩人世界吧？
MID_WU_S_1_SOON_#005	神龍大人。
MID_WU_S_1_WAKEUP_#001	還是一樣叫都叫不醒呢。
MID_WU_S_1_WAKEUP_#002	其實我……
MID_WU_S_1_WAKEUP_#003	也不想強迫你起床。
MID_WU_S_1_WAKEUP_#004	我想在旁邊看著你的睡臉瞇一下。
MID_WU_S_1_WAKEUP_#005	不過，這個夢想只有在和平的世界中才能實現。
MID_WU_S_1_WAKEUP_#006	所以現在……
MID_WU_S_1_WAKEUP_#007	請你快點起床吧，神龍大人。
MID_WU_S_1_WAKEUP_#008	我喜歡的你，
MID_WU_S_1_WAKEUP_#009	可不是這種賴床鬼喔。
MID_WU_S_1_HELLO_#001	你終於起床了呢。
MID_WU_S_1_HELLO_#002	好了，今天也來繼續完成使命吧。
MID_WU_S_1_HELLO_#003	然後……
MID_WU_S_1_HELLO_#004	如果你能平安回來，
MID_WU_S_1_HELLO_#005	今晚我就……
MID_WU_S_1_HELLO_#006	溫柔地哄你睡覺喔。
MID_WU_S_2_IN_#001	今天起得早，就提前來了。
MID_WU_S_2_IN_#002	神龍大人……
MID_WU_S_2_IN_#003	還在休息呢。
MID_WU_S_2_SOON_#001	對不起。
MID_WU_S_2_SOON_#002	我不是有意要吵醒你。
MID_WU_S_2_SOON_#003	不過……
MID_WU_S_2_SOON_#004	我好開心。
MID_WU_S_2_SOON_#005	因為這樣就像是我們心靈相通一樣。
MID_WU_S_2_SOON_#006	今天我可不可以……
MID_WU_S_2_SOON_#007	在你身邊多待一會？
MID_WU_S_2_WAKEUP_#001	每當我看到你的睡臉，
MID_WU_S_2_WAKEUP_#002	總會忍不住……
MID_WU_S_2_WAKEUP_#003	將你跟原本世界的神龍大人重疊在一起。
MID_WU_S_2_WAKEUP_#004	我最後見到他的時候，
MID_WU_S_2_WAKEUP_#005	他的表情也是如此的安詳……
MID_WU_S_2_WAKEUP_#006	這樣不行呢。
MID_WU_S_2_WAKEUP_#007	明明你還活著，
MID_WU_S_2_WAKEUP_#008	我卻感到不安。
MID_WU_S_2_WAKEUP_#009	神龍大人……請你一定要活著。
MID_WU_S_2_WAKEUP_#010	我不想再與你分離……
MID_WU_S_2_HELLO_#001	太好了。
MID_WU_S_2_HELLO_#002	很高興今天也能見到你。
MID_WU_S_2_HELLO_#003	明明我們每天都會見面……
MID_WU_S_2_HELLO_#004	但只要稍微分離，我就會覺得寂寞……
MID_WU_S_2_HELLO_#005	我就是如此的深愛著你喔。
