MID_WU_C_1_IN_#001	由我來叫您起床真是失禮了……\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	啊……您醒了。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	想必您一定做了場美夢吧……\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	讓您睡醒第一眼就見到我這種人，我很抱歉……\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	哇，神龍大人連睡姿都散發著聖光……太耀眼了……\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	啊，您能自己起床呢……\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	這樣就不需要我了吧……！\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	對不起，我沒搞清楚狀況就過來……\x0E\x04\x00\x00
MID_WU_B_2_SOON_#004	我未經傳喚就跑來，真的萬分抱歉！\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	雖然神龍大人您說生命不分貴賤……\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	但如果將我們放到天秤的兩端……\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	天秤肯定會一口氣傾向神龍大人您的……\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	早安……失禮了，今天是由我來叫您……\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	咦？您說您很開心，真的嗎……？\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	嘿嘿嘿，您這就算是場面話，也是種榮幸呢……\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	您好……是我……\n每當輪到我叫您起床，我總會緊張得睡不著。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	想不到我一叫，您馬上就醒了……\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	神龍大人，您是個大好人呢……\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	我真是高興得不能自已……\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	哈啊～是因為沒睡好嗎？我突然好睏啊……\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	不，我怎能睡呢……可是……\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	嘶～呼～不是，那不是我，是垃圾……\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	……呃！我睡著了嗎！？\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	天啊……我居然在神聖的祭壇站著睡著了！\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	神龍大人，我對不起您～！\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	唉……想到要向神龍大人提出邀約……\x0E\x04\x00\x00
MID_WU_A_2_IN_#002	我的心臟緊張得要跳出來了……\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	哇啊～！\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	我還沒做好心理準備您就醒了……！\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	神龍大人，您要不要跟我一起……\x0E\x04\x00\x00
MID_WU_A_2_SOON_#004	去、去找之前那匹狼玩呢……？\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	仔細想想，我拿著肉乾來這裡真是形跡可疑……\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	不，不能退縮。要自然一點……\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	用自己的方式邀請神龍大人。加油，史塔盧克……！\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	早……早安，神龍大人……\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	那個、這是……肉。嘿嘿，您……\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	要不要和我一起去找之前那匹狼玩？\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#004	……我說出口了～！\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	是我……史塔盧克……\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	早安，很高興您起床了。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	……您真的是很漂亮呢。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	美得我無論過多久都會被您驚豔。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	雖然我總下意識認為自己很卑微……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	但至少我們在這裡獨處時，\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	我會努力不要說那些話。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	畢竟……您選擇了我。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	……我一定會成為配得上您的男人。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	請做好心理準備，我會讓您重新愛上我的。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	啊，早安！\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	咦？我剛剛說了什麼嗎？\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	……抱歉，請讓我保密吧。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	一旦時機成熟了，我就會讓您見識到的。\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	是我，很高興能來喊最重要的人起床……\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	您、您怎麼這麼快就醒來了，\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	這不就讓您見到我傻笑的樣子了嗎？\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	……唉，我只想讓您見到我帥氣的一面啊。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	看來我還有得學習呢……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	……您把我送您的寶石放在這了啊。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	嗯，真的很適合您呢。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	父王也會很開心吧……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	要是琉彌艾爾大人還在世，\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	我應該是要與他打招呼的吧？\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	我想我會很緊張，但還是會跟他說……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#007	神龍大人是我最重要的人，我會讓他幸福的。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	哇……哇──您聽到我剛剛說的話了！？\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	好難為情啊……可、可是……\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	這是我的真心話，我問心無愧。\x0E\x04\x00\x00
