MID_ACHIEVE_RELIANCE_FIRST	觸發了與\x0E\x01\x00\x00的支援對話。
MID_ACHIEVE_CHAIN_FIRST	首次發動連鎖攻擊。
MID_ACHIEVE_CHAIN_COUNT	發動了\x0E\x01\x00\x00次連鎖攻擊。
MID_ACHIEVE_CHAIN_UNIT_COUNT	發動了\x0E\x01\x00\x00名單位的連鎖攻擊。
MID_ACHIEVE_BREAK_FIRST	首次發動打破。
MID_ACHIEVE_BREAK_COUNT	發動了\x0E\x01\x00\x00次打破。
MID_ACHIEVE_SMASH_FIRST	首次發動猛擊。
MID_ACHIEVE_SMASH_COUNT	發動了\x0E\x01\x00\x00次猛擊。
MID_ACHIEVE_MINIGAME_FIRST	首次遊玩活動。
MID_ACHIEVE_MINIGAME_COUNT	遊玩了\x0E\x01\x00\x00次活動。
MID_ACHIEVE_RING_FORM_FIRST	首次精煉戒指。
MID_ACHIEVE_RING_FORM_COUNT	精煉了\x0E\x01\x00\x00次戒指。
MID_ACHIEVE_RING_MIX_FIRST	首次合成戒指。
MID_ACHIEVE_RING_MIX_COUNT	合成了\x0E\x01\x00\x00次戒指。
MID_ACHIEVE_BONDSRING_C_COUNT	獲得了\x0E\x01\x00\x00件階級C的牽絆戒指。
MID_ACHIEVE_BONDSRING_B_COUNT	獲得了\x0E\x01\x00\x00件階級B的牽絆戒指。
MID_ACHIEVE_BONDSRING_A_COUNT	獲得了\x0E\x01\x00\x00件階級A的牽絆戒指。
MID_ACHIEVE_BONDSRING_S_FIRST	首次獲得階級S的牽絆戒指。
MID_ACHIEVE_BONDSRING_S_COUNT	獲得了\x0E\x01\x00\x00件階級S的牽絆戒指。
MID_ACHIEVE_RING_CLEANING_FIRST	首次研磨戒指\x0E\x01\x08\x00。
MID_ACHIEVE_RING_CLEANING_COUNT	研磨了\x0E\x01\x00\x00次戒指\x0E\x01\x08\x00。
MID_ACHIEVE_INVESTMENT_FILENE	投資了費列聶。
MID_ACHIEVE_INVESTMENT_BRODIA	投資了布羅帝亞。
MID_ACHIEVE_INVESTMENT_IRCION	投資了伊爾席翁。
MID_ACHIEVE_INVESTMENT_SOLUM	投資了索爾姆。
MID_ACHIEVE_INVESTMENT_FILENE_STAGE_COUNT	費列聶的投資等級提升至\x0E\x01\x00\x00。
MID_ACHIEVE_INVESTMENT_BRODIA_STAGE_COUNT	布羅帝亞的投資等級提升至\x0E\x01\x00\x00。
MID_ACHIEVE_INVESTMENT_IRCION_STAGE_COUNT	伊爾席翁的投資等級提升至\x0E\x01\x00\x00。
MID_ACHIEVE_INVESTMENT_SOLUM_STAGE_COUNT	索爾姆的投資等級提升至\x0E\x01\x00\x00。
MID_ACHIEVE_INVESTMENT_ALL_STAGE_MAX	所有國家的投資等級皆已達上限。
MID_ACHIEVE_INVESTMENT_MONEY_COUNT	投資金額總計為\x0E\x01\x00\x00G。
MID_ACHIEVE_COOK_FIRST	首次製作料理。
MID_ACHIEVE_COOK_COUNT	製作了\x0E\x01\x00\x00次料理。
MID_ACHIEVE_COOK_RANK_FIRST	首次製作品質為\x0E\x01\x00\x00的料理。
MID_ACHIEVE_COOK_RANK_COUNT	製作了\x0E\x01\x01\x00次品質為\x0E\x01\x00\x00的料理。
MID_ACHIEVE_SLEEP_FIRST	首次觸發喚醒對話。
MID_ACHIEVE_SLEEP_COUNT	觸發了\x0E\x01\x00\x00次喚醒對話。
MID_ACHIEVE_WAKEUP_EVENT_C_COUNT	觸發了與\x0E\x01\x00\x00名夥伴等級C的喚醒對話。
MID_ACHIEVE_WAKEUP_EVENT_B_COUNT	觸發了與\x0E\x01\x00\x00名夥伴等級B的喚醒對話。
MID_ACHIEVE_WAKEUP_EVENT_A_COUNT	觸發了與\x0E\x01\x00\x00名夥伴等級A的喚醒對話。
MID_ACHIEVE_WAKEUP_EVENT_S	觸發了與夥伴的喚醒對話\x0E\x08\x02\x1A\x18RelianceRing。
MID_ACHIEVE_ARENA_UNIT_BATTLE_FIRST	首次在鍛鍊之間與夥伴戰鬥。
MID_ACHIEVE_ARENA_UNIT_BATTLE_COUNT	在鍛鍊之間與夥伴戰鬥了\x0E\x01\x00\x00次。
MID_ACHIEVE_ARENA_UNIT_WIN_FIRST	首次在鍛鍊之間戰勝夥伴。
MID_ACHIEVE_ARENA_UNIT_WIN_COUNT	在鍛鍊之間戰勝了夥伴\x0E\x01\x00\x00次。
MID_ACHIEVE_ARENA_GOD_BATTLE_FIRST	首次在鍛鍊之間與紋章士戰鬥。
MID_ACHIEVE_ARENA_GOD_BATTLE_COUNT	在鍛鍊之間與紋章士戰鬥了\x0E\x01\x00\x00次。
MID_ACHIEVE_ARENA_GOD_WIN_FIRST	首次在鍛鍊之間戰勝紋章士。
MID_ACHIEVE_ARENA_GOD_WIN_COUNT	在鍛鍊之間戰勝了紋章士\x0E\x01\x00\x00次。
MID_ACHIEVE_WEAPON_BUY_FIRST	首次購買武器。
MID_ACHIEVE_WEAPON_BUY_COUNT	購買了\x0E\x01\x00\x00件武器。
MID_ACHIEVE_SWORD_BUY_COUNT	購買了\x0E\x01\x00\x00件劍類武器。
MID_ACHIEVE_LANCE_BUY_COUNT	購買了\x0E\x01\x00\x00件槍類武器。
MID_ACHIEVE_AXE_BUY_COUNT	購買了\x0E\x01\x00\x00件斧類武器。
MID_ACHIEVE_BOW_BUY_COUNT	購買了\x0E\x01\x00\x00件弓類武器。
MID_ACHIEVE_KNIFE_BUY_COUNT	購買了\x0E\x01\x00\x00件短劍類武器。
MID_ACHIEVE_MAGIC_BUY_COUNT	購買了\x0E\x01\x00\x00件魔道書類武器。
MID_ACHIEVE_FIST_BUY_COUNT	購買了\x0E\x01\x00\x00件體術類武器。
MID_ACHIEVE_WEAPON_SELL_FIRST	首次販售武器。
MID_ACHIEVE_WEAPON_SELL_COUNT	販售了\x0E\x01\x00\x00件武器。
MID_ACHIEVE_ITEM_BUY_FIRST	首次購買道具。
MID_ACHIEVE_ITEM_BUY_COUNT	購買了\x0E\x01\x00\x00件道具。
MID_ACHIEVE_ROD_BUY_COUNT	購買了\x0E\x01\x00\x00件杖。
MID_ACHIEVE_ITEM_SELL_FIRST	首次販售道具。
MID_ACHIEVE_ITEM_SELL_COUNT	販售了\x0E\x01\x00\x00件道具。
MID_ACHIEVE_ACCESSORIES_BUY_FIRST	首次購買裝飾品。
MID_ACHIEVE_ACCESSORIES_BUY_COUNT	購買了\x0E\x01\x00\x00件裝飾品。
MID_ACHIEVE_ACCESSORIES_CHANGE_FIRST	首次更換裝飾品。
MID_ACHIEVE_ACCESSORIES_CHANGE_COUNT	更換了裝飾品\x0E\x01\x00\x00次。
MID_ACHIEVE_WEAPON_FORGING_FIRST	首次鍛造武器。
MID_ACHIEVE_WEAPON_FORGING_COUNT	鍛造了\x0E\x01\x00\x00次武器。
MID_ACHIEVE_SWORD_FORGING_COUNT	鍛造了\x0E\x01\x00\x00次劍類武器。
MID_ACHIEVE_LANCE_FORGING_COUNT	鍛造了\x0E\x01\x00\x00次槍類武器。
MID_ACHIEVE_AXE_FORGING_COUNT	鍛造了\x0E\x01\x00\x00次斧類武器。
MID_ACHIEVE_BOW_FORGING_COUNT	鍛造了\x0E\x01\x00\x00次弓類武器。
MID_ACHIEVE_KNIFE_FORGING_COUNT	鍛造了\x0E\x01\x00\x00次短劍類武器。
MID_ACHIEVE_MAGIC_FORGING_COUNT	鍛造了\x0E\x01\x00\x00次魔道書類武器。
MID_ACHIEVE_FIST_FORGING_COUNT	鍛造了\x0E\x01\x00\x00次體術類武器。
MID_ACHIEVE_ENGRAVE_FIRST	首次在武器刻上紋章。
MID_ACHIEVE_ENGRAVE_COUNT	在武器刻上紋章\x0E\x01\x00\x00次。
MID_ACHIEVE_NETMATCH_FIRST	首次挑戰異界的試煉。
MID_ACHIEVE_NETMATCH_COUNT	挑戰了\x0E\x01\x00\x00次異界的試煉。
MID_ACHIEVE_NETMATCH_WIN_FIRST	首次於異界的試煉中獲勝。
MID_ACHIEVE_NETMATCH_WIN_COUNT	於異界的試煉中獲勝了\x0E\x01\x00\x00次。
MID_ACHIEVE_RELAYBATTLE_FIRST	首次挑戰續戰的試煉。
MID_ACHIEVE_RELAYBATTLE_COUNT	挑戰了\x0E\x01\x00\x00次續戰的試煉。
MID_ACHIEVE_RELAYBATTLE_WIN_FIRST	首次於續戰的試煉中獲勝。
MID_ACHIEVE_RELAYBATTLE_WIN_COUNT	於續戰的試煉中獲勝了\x0E\x01\x00\x00次。
MID_ACHIEVE_SERIESBATTLE_RANK1	於連戰的試煉「\x0E\x01\x00\x00」最低難度中大獲全勝。
MID_ACHIEVE_SERIESBATTLE_RANK	於連戰的試煉「\x0E\x01\x00\x00」難度\x0E\x01\x01\x00中大獲全勝。
